bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|01,1004,110,,11.0,,66.1,68.2,X
1|02,1273,141,,11.1,,106.1,76.9,X
1|03,892,89,,10.0,,90.9,76.2,X
1|04,929,68,,7.3,,76.6,76.1,X
1|05,794,57,,7.2,,70.1,79.8,X
1|06,779,52,,6.7,,72.6,97.4,O
1|07,725,49,,6.8,,83.0,82.5,O
1|08,679,46,,6.8,,78.4,67.6,X
1|09,603,31,,5.1,,51.3,87.6,O
1|10,534,27,,5.1,,107.9,87.2,O
1|11,497,21,,4.2,,55.1,73.3,X
1|12,405,20,,4.9,,98.6,84.1,O
1|13,334,16,,4.8,,100.8,97.0,O
1|14,278,7,,2.5,,43.4,87.4,O
1|15,194,5,,2.6,,64.3,69.6,X
1|16,112,1,,0.9,,7.3,82.6,O
2|01,573,67,,11.7,,78.5,78.7,X
2|02,702,87,,12.4,,106.9,89.3,O
2|03,519,54,,10.4,,66.7,80.5,O
2|04,487,33,,6.8,,59.0,78.0,X
2|05,438,31,,7.1,,94.0,78.4,X
2|06,432,27,,6.2,,71.7,69.5,X
2|07,413,28,,6.8,,96.4,93.9,O
2|08,384,21,,5.5,,124.2,73.4,X
2|09,308,14,,4.5,,42.0,78.6,X
2|10,284,19,,6.7,,78.3,94.9,O
2|11,303,11,,3.6,,22.1,59.6,X
2|12,255,14,,5.5,,116.9,88.1,O
2|13,192,7,,3.6,,33.2,38.2,X
2|14,159,6,,3.8,,83.3,93.5,O
2|15,113,3,,2.7,,11.6,63.1,X
2|16,60,4,,6.7,,144.6,117.7,O
3|00,56,2,,3.6,,33.7,70.5,X
3|01,1271,147,,11.6,,74.1,68.3,X
3|02,1561,166,,10.6,,93.1,81.3,O
3|03,1159,92,,7.9,,65.3,72.2,X
3|04,1025,85,,8.3,,76.0,91.0,O
3|05,955,58,,6.1,,74.2,71.0,X
3|06,909,70,,7.7,,120.0,84.5,O
3|07,895,58,,6.5,,104.7,88.9,O
3|08,853,34,,4.0,,60.2,85.3,O
3|09,794,47,,5.9,,99.8,81.7,O
3|10,704,39,,5.5,,129.6,84.9,O
3|11,589,28,,4.8,,72.4,79.8,X
3|12,530,23,,4.3,,71.1,75.7,X
3|13,429,23,,5.4,,128.0,113.7,O
3|14,359,14,,3.9,,87.0,55.3,X
3|15,254,12,,4.7,,153.8,83.9,O
3|16,157,5,,3.2,,133.8,89.9,O
4|01,177,20,,11.3,,74.1,76.5,X
4|02,218,27,,12.4,,96.8,76.2,X
4|03,162,19,,11.7,,65.5,100.2,O
4|04,142,14,,9.9,,81.4,88.0,O
4|05,121,9,,7.4,,95.0,65.3,X
4|06,127,6,,4.7,,105.7,57.7,X
4|07,94,6,,6.4,,68.7,51.5,X
4|08,100,4,,4.0,,51.7,70.8,X
4|09,84,6,,7.1,,56.7,45.3,X
4|10,93,1,,1.1,,3.2,38.4,X
4|11,65,3,,4.6,,39.0,59.4,X
4|12,66,0,,0.0,,0.0,61.9,X
4|13,49,0,,0.0,,0.0,53.6,X
4|14,31,2,,6.5,,136.4,53.3,X
4|15,32,0,,0.0,,0.0,33.1,X
9|01,135,15,,11.1,,52.2,91.2,O
9|02,132,20,,15.2,,81.8,62.1,X
9|03,84,7,,8.3,,32.6,66.1,X
9|04,72,4,,5.6,,59.5,56.9,X
9|05,73,5,,6.8,,106.9,96.7,O
9|06,68,4,,5.9,,56.2,63.2,X
9|07,62,3,,4.8,,30.2,67.7,X
9|08,67,2,,3.0,,16.5,45.5,X
9|09,51,0,,0.0,,0.0,11.9,X
9|10,48,3,,6.2,,137.8,116.9,O
9|11,62,0,,0.0,,0.0,71.9,X
9|12,35,2,,5.7,,272.2,146.3,O
9|13,36,2,,5.6,,81.0,129.9,O
