bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1,1035,71,,6.9,,94.8,89.2,O
1|2,1158,84,,7.3,,75.8,77.4,X
1|3,1250,80,,6.4,,65.1,77.0,X
1|4,1379,95,,6.9,,74.7,71.2,X
1|5,1444,101,,7.0,,70.8,76.7,X
1|6,1483,125,,8.4,,101.1,94.4,O
1|7,1555,114,,7.3,,76.6,70.7,X
1|8,1606,122,,7.6,,70.8,81.3,O
2|1,573,44,,7.7,,78.8,69.4,X
2|2,712,51,,7.2,,84.1,84.2,O
2|3,732,68,,9.3,,92.0,89.1,O
2|4,788,78,,9.9,,118.9,81.2,O
2|5,814,46,,5.7,,50.5,86.7,O
2|6,807,49,,6.1,,87.6,75.2,X
2|7,829,57,,6.9,,46.5,70.9,X
2|8,808,56,,6.9,,77.1,77.0,X
3|1,1297,85,,6.6,,87.7,66.2,X
3|2,1464,80,,5.5,,79.2,72.7,X
3|3,1515,96,,6.3,,81.5,83.3,O
3|4,1679,116,,6.9,,86.2,79.9,X
3|5,1698,106,,6.2,,75.0,81.0,O
3|6,1818,144,,7.9,,86.3,75.6,X
3|7,1881,145,,7.7,,111.0,85.6,O
3|8,1927,159,,8.3,,94.4,91.0,O
4|1,165,7,,4.2,,36.4,43.3,X
4|2,165,10,,6.1,,88.9,44.4,X
4|3,207,10,,4.8,,33.4,83.7,O
4|4,217,16,,7.4,,83.6,62.4,X
4|5,242,19,,7.9,,67.8,66.6,X
4|6,204,17,,8.3,,60.2,61.6,X
4|7,235,20,,8.5,,63.6,79.0,X
4|8,253,28,,11.1,,159.9,83.3,O
9|1,102,4,,3.9,,26.3,32.5,X
9|2,117,5,,4.3,,98.6,95.7,O
9|3,140,12,,8.6,,94.8,84.9,O
9|4,158,12,,7.6,,52.9,74.6,X
9|5,130,3,,2.3,,6.6,60.7,X
9|6,144,7,,4.9,,26.5,73.1,X
9|7,137,11,,8.0,,61.4,76.9,X
9|8,153,14,,9.2,,70.3,67.0,X
