bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|01,199,48,,24.1,,89.1,86.9,O
1|02,234,26,,11.1,,69.6,84.0,O
1|03,253,37,,14.6,,92.3,108.0,O
1|04,245,23,,9.4,,67.3,63.0,X
1|05,249,18,,7.2,,80.9,88.8,O
1|06,255,18,,7.1,,52.3,73.6,X
1|07,279,15,,5.4,,134.9,76.5,X
1|08,226,9,,4.0,,51.9,63.8,X
1|09,216,5,,2.3,,70.6,59.5,X
1|10,206,11,,5.3,,102.4,67.5,X
1|11,170,9,,5.3,,168.4,115.0,O
1|12,141,1,,0.7,,9.4,65.4,X
1|13,97,6,,6.2,,188.7,121.8,O
1|14,83,4,,4.8,,78.5,84.3,O
1|15,44,0,,0.0,,0.0,54.5,X
2|01,153,33,,21.6,,78.0,74.0,X
2|02,174,30,,17.2,,68.5,96.9,O
2|03,166,23,,13.9,,99.9,92.3,O
2|04,172,19,,11.0,,73.7,84.6,O
2|05,161,12,,7.5,,123.9,62.7,X
2|06,138,3,,2.2,,93.9,72.5,X
2|07,161,11,,6.8,,86.0,89.0,O
2|08,123,4,,3.3,,36.7,122.8,O
2|09,134,3,,2.2,,39.2,86.8,O
2|10,119,5,,4.2,,68.4,65.9,X
2|11,119,3,,2.5,,46.0,57.4,X
2|12,92,3,,3.3,,58.6,87.2,O
2|13,55,0,,0.0,,0.0,69.7,X
2|14,41,1,,2.4,,230.2,111.9,O
2|15,36,2,,5.6,,105.3,94.3,O
3|01,290,61,,21.0,,72.1,77.8,X
3|02,317,45,,14.2,,73.0,71.4,X
3|03,329,35,,10.6,,82.5,69.6,X
3|04,327,23,,7.0,,66.5,84.6,O
3|05,343,30,,8.7,,75.9,74.1,X
3|06,326,25,,7.7,,101.4,83.9,O
3|07,296,12,,4.1,,89.4,72.4,X
3|08,304,12,,3.9,,48.3,85.2,O
3|09,310,12,,3.9,,48.9,79.3,X
3|10,270,8,,3.0,,64.6,65.5,X
3|11,268,10,,3.7,,41.7,62.5,X
3|12,205,4,,2.0,,89.6,59.6,X
3|13,148,5,,3.4,,32.6,73.6,X
3|14,130,2,,1.5,,108.4,49.6,X
3|15,72,2,,2.8,,55.1,39.0,X
4|01,47,11,,23.4,,73.5,62.2,X
4|02,47,9,,19.1,,88.0,99.5,O
4|03,43,7,,16.3,,70.8,95.9,O
4|04,39,4,,10.3,,100.6,91.1,O
4|05,40,3,,7.5,,43.4,73.8,X
4|06,51,3,,5.9,,58.1,41.7,X
4|07,39,2,,5.1,,107.2,78.1,X
4|08,50,3,,6.0,,182.0,79.4,X
4|09,44,1,,2.3,,28.2,71.6,X
4|10,41,4,,9.8,,152.5,61.1,X
4|12,30,1,,3.3,,29.9,34.2,X
9|01,39,15,,38.5,,143.1,140.9,O
9|03,37,3,,8.1,,24.0,60.1,X
9|05,38,1,,2.6,,10.1,103.6,O
9|08,31,3,,9.7,,43.8,30.7,X
9|09,37,1,,2.7,,30.1,165.7,O
