bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|1,5130,550,,10.7,,75.6,79.1,X
A|2,16856,1784,,10.6,,74.7,79.5,X
A|3,18471,1397,,7.6,,73.0,79.3,X
A|4,11491,661,,5.8,,81.2,77.8,X
B|1,3873,389,,10.0,,77.2,78.3,X
B|2,10969,986,,9.0,,78.9,77.0,X
B|3,13443,835,,6.2,,87.9,80.9,O
B|4,9371,402,,4.3,,74.8,75.0,X
C|1,2659,208,,7.8,,69.7,76.0,X
C|2,7338,512,,7.0,,72.8,80.8,O
C|3,10237,535,,5.2,,78.6,84.5,O
C|4,7248,258,,3.6,,71.5,72.9,X
D|1,428,17,,4.0,,28.2,56.9,X
D|2,1197,66,,5.5,,56.7,53.0,X
D|3,1748,74,,4.2,,81.5,67.2,X
D|4,1325,44,,3.3,,70.6,70.4,X
S|0,44,7,,15.9,,43.6,93.9,O
S|1,4539,796,,17.5,,81.7,76.7,X
S|2,15547,2644,,17.0,,81.1,79.2,X
S|3,15176,1932,,12.7,,81.6,83.2,O
S|4,7637,685,,9.0,,74.5,77.7,X
