bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.1|1.0,436,8,,1.8,,114.4,82.0,O
0.1|10.0,356,10,,2.8,,138.8,104.0,O
0.1|11.0,365,9,,2.5,,147.8,73.8,X
0.1|12.0,325,5,,1.5,,140.4,85.2,O
0.1|13.0,296,4,,1.4,,88.1,91.9,O
0.1|14.0,220,0,,0.0,,0.0,54.1,X
0.1|15.0,161,1,,0.6,,110.4,84.8,O
0.1|16.0,120,3,,2.5,,157.4,119.4,O
0.1|2.0,98,2,,2.0,,23.5,14.9,X
0.1|3.0,135,4,,3.0,,103.3,80.7,O
0.1|4.0,222,5,,2.3,,82.9,51.5,X
0.1|5.0,306,6,,2.0,,76.5,84.1,O
0.1|6.0,374,2,,0.5,,38.3,86.4,O
0.1|7.0,430,7,,1.6,,43.4,70.5,X
0.1|8.0,395,3,,0.8,,42.4,91.2,O
0.1|9.0,445,5,,1.1,,53.6,70.7,X
0.2|1.0,1725,29,,1.7,,59.6,56.3,X
0.2|10.0,1499,27,,1.8,,88.3,89.3,O
0.2|11.0,1313,24,,1.8,,79.5,88.3,O
0.2|12.0,1138,20,,1.8,,95.0,92.7,O
0.2|13.0,980,15,,1.5,,65.8,83.4,O
0.2|14.0,795,10,,1.3,,32.6,73.6,X
0.2|15.0,606,13,,2.1,,72.7,78.2,X
0.2|16.0,396,3,,0.8,,107.7,74.2,X
0.2|17.0,61,0,,0.0,,0.0,28.5,X
0.2|18.0,49,2,,4.1,,458.2,193.7,O
0.2|2.0,545,7,,1.3,,56.7,87.7,O
0.2|3.0,777,12,,1.5,,81.8,67.3,X
0.2|4.0,1105,14,,1.3,,58.4,77.4,X
0.2|5.0,1431,27,,1.9,,75.3,72.5,X
0.2|6.0,1649,36,,2.2,,93.5,82.0,O
0.2|7.0,1763,31,,1.8,,98.9,82.6,O
0.2|8.0,1771,30,,1.7,,75.9,73.2,X
0.2|9.0,1591,30,,1.9,,76.3,81.1,O
0.3|1.0,652,15,,2.3,,91.6,66.2,X
0.3|10.0,514,14,,2.7,,123.4,75.1,X
0.3|11.0,422,9,,2.1,,72.6,52.1,X
0.3|12.0,389,4,,1.0,,48.0,84.0,O
0.3|13.0,339,8,,2.4,,82.0,112.6,O
0.3|14.0,288,7,,2.4,,95.9,55.1,X
0.3|15.0,185,4,,2.2,,114.4,39.7,X
0.3|16.0,107,3,,2.8,,47.5,59.7,X
0.3|2.0,273,4,,1.5,,24.3,49.8,X
0.3|3.0,393,10,,2.5,,117.1,78.3,X
0.3|4.0,455,9,,2.0,,81.8,74.6,X
0.3|5.0,575,11,,1.9,,72.2,95.6,O
0.3|6.0,676,12,,1.8,,59.7,71.4,X
0.3|7.0,694,16,,2.3,,56.0,86.8,O
0.3|8.0,635,14,,2.2,,56.6,76.0,X
0.3|9.0,537,11,,2.0,,64.4,69.9,X
0.4|1.0,1840,58,,3.2,,80.8,68.9,X
