bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|1.0,138,8,,5.8,,33.8,68.2,X
10|10.0,148,3,,2.0,,57.0,83.9,O
10|11.0,108,3,,2.8,,104.4,103.2,O
10|12.0,86,7,,8.1,,314.4,102.9,O
10|13.0,80,1,,1.2,,3.7,44.0,X
10|14.0,62,2,,3.2,,82.2,131.1,O
10|15.0,50,1,,2.0,,25.4,20.9,X
10|2.0,152,18,,11.8,,48.8,78.3,X
10|3.0,154,14,,9.1,,32.0,57.1,X
10|4.0,189,15,,7.9,,58.0,78.9,X
10|5.0,201,14,,7.0,,64.5,88.3,O
10|6.0,186,3,,1.6,,6.4,92.9,O
10|7.0,191,8,,4.2,,30.4,69.8,X
10|8.0,169,10,,5.9,,99.4,67.8,X
10|9.0,167,3,,1.8,,12.1,59.0,X
11|1.0,118,4,,3.4,,15.6,42.0,X
11|10.0,119,7,,5.9,,162.8,85.9,O
11|11.0,106,2,,1.9,,11.2,53.8,X
11|12.0,81,0,,0.0,,0.0,68.2,X
11|13.0,69,2,,2.9,,74.0,59.4,X
11|14.0,48,3,,6.2,,235.3,86.2,O
11|15.0,31,1,,3.2,,105.9,64.9,X
11|2.0,114,21,,18.4,,68.6,67.0,X
11|3.0,162,21,,13.0,,126.4,80.2,O
11|4.0,188,11,,5.9,,71.1,86.6,O
11|5.0,174,11,,6.3,,95.9,103.3,O
11|6.0,215,8,,3.7,,142.6,84.5,O
11|7.0,170,11,,6.5,,120.8,93.9,O
11|8.0,177,6,,3.4,,46.0,70.3,X
11|9.0,142,7,,4.9,,47.7,103.5,O
12|1.0,101,2,,2.0,,66.1,77.9,X
12|10.0,126,9,,7.1,,89.2,100.6,O
12|11.0,93,2,,2.2,,63.6,100.8,O
12|12.0,77,2,,2.6,,39.2,41.1,X
12|13.0,65,1,,1.5,,19.2,37.7,X
12|14.0,54,1,,1.9,,12.0,83.9,O
12|15.0,35,1,,2.9,,13.8,52.1,X
12|2.0,104,18,,17.3,,101.2,99.6,O
12|3.0,139,16,,11.5,,84.3,92.0,O
12|4.0,173,12,,6.9,,83.1,74.0,X
12|5.0,144,8,,5.6,,47.0,93.1,O
12|6.0,147,3,,2.0,,42.7,47.3,X
12|7.0,148,5,,3.4,,49.8,64.5,X
