bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0|01,462,39,,8.4,,99.0,66.7,X
0|03,700,49,,7.0,,49.6,71.5,X
0|04,272,19,,7.0,,62.4,47.8,X
0|05,99,8,,8.1,,59.7,98.3,O
0|07,89,7,,7.9,,34.4,42.5,X
1|01,1248,149,,11.9,,71.7,78.9,X
1|03,1876,229,,12.2,,73.4,78.2,X
1|04,818,111,,13.6,,86.6,72.3,X
1|05,318,38,,11.9,,115.1,94.6,O
1|06,38,4,,10.5,,30.2,52.9,X
1|07,270,30,,11.1,,69.0,72.5,X
2|01,2640,311,,11.8,,116.7,93.3,O
2|03,4411,470,,10.7,,75.0,78.8,X
2|04,1969,185,,9.4,,83.6,84.3,O
2|05,744,79,,10.6,,92.2,69.4,X
2|06,87,5,,5.7,,14.0,86.0,O
2|07,689,75,,10.9,,111.0,82.8,O
3|01,2802,229,,8.2,,81.3,89.0,O
3|03,4601,309,,6.7,,66.2,75.0,X
3|04,2056,187,,9.1,,82.8,80.7,O
3|05,773,67,,8.7,,68.1,69.2,X
3|06,114,9,,7.9,,113.2,80.9,O
3|07,688,46,,6.7,,70.2,69.6,X
4|01,1603,106,,6.6,,89.8,82.6,O
4|03,2665,146,,5.5,,64.9,73.7,X
4|04,1358,78,,5.7,,72.7,69.8,X
4|05,429,20,,4.7,,50.5,55.5,X
4|06,65,0,,0.0,,0.0,48.3,X
4|07,372,24,,6.5,,73.0,85.6,O
