bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1.0,371,46,,12.4,,118.3,99.0,O
1|10.0,188,16,,8.5,,51.9,67.5,X
1|11.0,192,12,,6.2,,98.6,74.4,X
1|12.0,150,18,,12.0,,141.8,92.4,O
1|13.0,146,14,,9.6,,123.6,74.8,X
1|14.0,118,10,,8.5,,56.1,119.3,O
1|15.0,95,8,,8.4,,35.3,59.0,X
1|16.0,64,0,,0.0,,0.0,26.5,X
1|2.0,561,80,,14.3,,46.8,63.1,X
1|3.0,486,78,,16.0,,75.9,73.8,X
1|4.0,342,42,,12.3,,71.3,65.1,X
1|5.0,317,43,,13.6,,90.9,89.9,O
1|6.0,312,31,,9.9,,59.1,70.9,X
1|7.0,264,28,,10.6,,66.8,59.6,X
1|8.0,242,21,,8.7,,55.1,81.2,O
1|9.0,238,35,,14.7,,81.8,69.8,X
2|1.0,979,102,,10.4,,80.8,77.0,X
2|10.0,422,36,,8.5,,93.6,88.0,O
2|11.0,334,31,,9.3,,142.4,99.8,O
2|12.0,306,15,,4.9,,75.6,97.3,O
2|13.0,276,21,,7.6,,32.1,56.4,X
2|14.0,241,16,,6.6,,48.0,87.2,O
2|15.0,170,16,,9.4,,209.5,105.8,O
2|16.0,133,12,,9.0,,139.4,94.4,O
2|2.0,1256,175,,13.9,,60.9,72.5,X
2|3.0,1142,156,,13.7,,76.9,81.1,O
2|4.0,955,116,,12.1,,83.9,83.7,O
2|5.0,807,79,,9.8,,72.8,93.5,O
2|6.0,741,75,,10.1,,98.0,99.0,O
2|7.0,643,73,,11.4,,155.8,86.2,O
2|8.0,572,55,,9.6,,75.5,69.3,X
2|9.0,495,43,,8.7,,110.6,91.0,O
3|1.0,772,65,,8.4,,58.3,63.4,X
3|10.0,553,28,,5.1,,33.8,78.1,X
3|11.0,464,24,,5.2,,118.4,78.1,X
3|12.0,348,17,,4.9,,64.3,58.7,X
3|13.0,316,20,,6.3,,61.3,55.7,X
3|14.0,227,11,,4.8,,67.9,64.5,X
3|15.0,163,11,,6.7,,89.7,142.6,O
3|16.0,117,2,,1.7,,22.5,83.3,O
3|2.0,786,102,,13.0,,78.0,82.9,O
3|3.0,1015,107,,10.5,,74.1,87.1,O
3|4.0,1001,86,,8.6,,74.1,77.4,X
3|5.0,986,80,,8.1,,73.6,87.6,O
3|6.0,953,75,,7.9,,85.5,82.6,O
3|7.0,849,54,,6.4,,84.3,87.1,O
3|8.0,728,44,,6.0,,72.5,70.9,X
3|9.0,626,35,,5.6,,97.8,75.3,X
4|1.0,305,24,,7.9,,79.3,63.4,X
4|10.0,332,18,,5.4,,121.2,86.1,O
4|11.0,281,8,,2.8,,50.2,80.2,O
4|12.0,227,3,,1.3,,5.4,53.3,X
4|13.0,183,10,,5.5,,52.8,94.9,O
4|14.0,153,1,,0.7,,3.3,51.9,X
4|15.0,114,3,,2.6,,14.7,58.7,X
4|16.0,67,3,,4.5,,136.2,90.1,O
4|2.0,327,34,,10.4,,56.5,60.0,X
4|3.0,428,39,,9.1,,75.4,73.7,X
4|4.0,509,47,,9.2,,132.8,105.1,O
4|5.0,548,31,,5.7,,67.4,67.6,X
4|6.0,546,39,,7.1,,116.1,82.8,O
4|7.0,502,16,,3.2,,73.3,77.4,X
4|8.0,513,24,,4.7,,46.6,73.0,X
4|9.0,423,18,,4.3,,51.3,57.5,X
