bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1,33,8,,24.2,,127.8,107.9,O
1|11,184,25,,13.6,,82.8,56.6,X
1|111,233,35,,15.0,,68.5,68.6,X
1|121,735,106,,14.4,,121.5,88.1,O
1|122,1119,139,,12.4,,80.9,81.2,O
1|132,573,55,,9.6,,71.8,85.2,O
1|133,355,35,,9.9,,58.3,62.8,X
1|2,52,8,,15.4,,40.4,105.1,O
1|21,796,113,,14.2,,77.7,78.3,X
1|211,287,38,,13.2,,56.8,83.0,O
1|212,99,18,,18.2,,69.3,81.3,O
1|213,108,21,,19.4,,222.6,111.7,O
1|22,349,61,,17.5,,120.4,91.1,O
1|221,693,85,,12.3,,71.8,75.7,X
1|222,1439,183,,12.7,,70.1,78.7,X
1|223,77,14,,18.2,,102.6,76.4,X
1|232,663,91,,13.7,,83.1,78.9,X
1|233,764,98,,12.8,,76.1,71.4,X
1|32,510,63,,12.4,,70.5,79.5,X
1|321,102,17,,16.7,,141.8,105.2,O
1|322,170,34,,20.0,,114.4,82.6,O
1|323,64,8,,12.5,,73.6,84.9,O
1|33,109,12,,11.0,,147.2,58.3,X
1|332,82,11,,13.4,,77.7,55.5,X
1|333,32,2,,6.2,,45.5,48.0,X
2|1,49,5,,10.2,,95.0,155.5,O
2|11,205,27,,13.2,,55.6,79.3,X
2|111,463,54,,11.7,,81.4,79.6,X
2|121,1209,121,,10.0,,73.4,85.6,O
2|122,2008,219,,10.9,,73.7,81.9,O
2|132,1069,95,,8.9,,66.4,81.1,O
2|133,785,80,,10.2,,105.0,76.3,X
2|2,68,6,,8.8,,61.8,82.0,O
2|21,1227,145,,11.8,,83.7,82.1,O
2|211,402,42,,10.4,,119.1,87.2,O
2|212,121,18,,14.9,,81.8,71.4,X
2|213,154,15,,9.7,,56.1,75.3,X
2|22,723,90,,12.4,,92.0,76.8,X
2|221,1026,129,,12.6,,100.9,82.9,O
2|222,2213,259,,11.7,,83.4,80.0,O
2|223,122,10,,8.2,,50.0,53.0,X
2|232,1150,125,,10.9,,62.8,71.3,X
2|233,1221,114,,9.3,,71.9,75.3,X
2|32,1021,94,,9.2,,54.4,69.2,X
2|321,193,21,,10.9,,76.1,77.3,X
2|322,268,35,,13.1,,167.2,85.1,O
2|323,165,15,,9.1,,78.5,54.6,X
2|33,215,18,,8.4,,76.3,79.0,X
2|332,108,11,,10.2,,85.0,102.1,O
2|333,83,11,,13.3,,63.5,53.0,X
3|1,84,2,,2.4,,51.6,117.3,O
3|11,375,39,,10.4,,62.0,76.0,X
3|111,747,87,,11.6,,110.4,80.4,O
3|121,2167,228,,10.5,,76.0,73.0,X
3|122,3151,327,,10.4,,75.8,82.2,O
3|132,1909,166,,8.7,,74.4,84.0,O
3|133,1415,119,,8.4,,72.6,73.2,X
3|2,92,11,,12.0,,63.3,82.0,O
3|21,2041,229,,11.2,,90.2,80.0,O
3|211,600,88,,14.7,,129.1,88.6,O
3|212,239,37,,15.5,,94.5,94.2,O
3|213,249,30,,12.0,,66.0,73.4,X
3|22,1161,107,,9.2,,59.8,70.8,X
3|221,1520,153,,10.1,,88.7,83.9,O
3|222,3458,373,,10.8,,79.2,80.9,O
3|223,154,11,,7.1,,19.9,67.2,X
3|232,1850,174,,9.4,,88.8,79.3,X
3|233,2117,221,,10.4,,74.2,72.0,X
3|32,1837,174,,9.5,,107.8,78.0,X
3|321,249,21,,8.4,,75.0,80.3,O
3|322,362,25,,6.9,,53.1,69.0,X
3|323,265,18,,6.8,,40.6,59.0,X
3|33,382,37,,9.7,,85.4,74.1,X
3|332,261,19,,7.3,,53.7,60.1,X
3|333,107,7,,6.5,,71.1,78.4,X
5|1,104,7,,6.7,,46.1,80.8,O
5|11,538,47,,8.7,,85.5,68.6,X
5|111,991,115,,11.6,,89.9,81.4,O
5|112,42,3,,7.1,,103.2,81.0,O
5|113,41,4,,9.8,,31.6,95.1,O
5|121,3123,287,,9.2,,96.3,86.2,O
5|122,4508,402,,8.9,,77.6,80.1,O
5|132,2934,246,,8.4,,80.2,83.4,O
5|133,2007,170,,8.5,,84.5,82.7,O
5|2,147,17,,11.6,,67.7,103.7,O
5|21,3144,300,,9.5,,89.3,76.8,X
5|211,803,85,,10.6,,63.4,81.7,O
5|212,425,50,,11.8,,88.8,87.4,O
5|213,420,39,,9.3,,73.9,74.3,X
5|22,1722,151,,8.8,,80.0,70.7,X
5|221,2229,209,,9.4,,76.3,81.9,O
5|222,5230,484,,9.3,,70.6,79.3,X
5|223,254,28,,11.0,,172.7,93.3,O
5|232,2867,260,,9.1,,91.9,86.5,O
5|233,3255,279,,8.6,,67.2,76.9,X
5|311,32,5,,15.6,,96.8,104.8,O
5|32,2960,253,,8.5,,79.8,76.0,X
5|321,335,32,,9.6,,71.1,68.4,X
5|322,576,46,,8.0,,75.7,78.4,X
5|323,441,40,,9.1,,125.0,80.6,O
5|33,609,44,,7.2,,72.9,77.3,X
5|332,338,29,,8.6,,56.8,85.2,O
5|333,199,10,,5.0,,32.4,69.8,X
6|1,30,6,,20.0,,149.0,249.0,O
6|11,229,14,,6.1,,48.0,76.3,X
6|111,374,38,,10.2,,85.2,87.9,O
6|121,1099,95,,8.6,,75.3,78.9,X
6|122,1748,149,,8.5,,77.2,76.5,X
6|132,1161,87,,7.5,,62.3,74.4,X
6|133,778,62,,8.0,,83.6,75.3,X
6|2,57,3,,5.3,,46.8,46.3,X
6|21,1248,96,,7.7,,63.3,80.0,O
6|211,348,37,,10.6,,118.9,87.2,O
6|212,141,17,,12.1,,55.0,63.3,X
6|213,181,20,,11.0,,123.4,97.6,O
6|22,706,46,,6.5,,50.3,77.7,X
6|221,840,87,,10.4,,88.9,88.4,O
6|222,1915,166,,8.7,,78.4,81.4,O
6|223,117,9,,7.7,,53.6,52.6,X
6|232,1100,89,,8.1,,63.0,75.7,X
6|233,1294,95,,7.3,,75.3,81.7,O
6|32,1299,102,,7.9,,79.5,69.8,X
6|321,124,10,,8.1,,104.0,107.6,O
6|322,242,21,,8.7,,43.4,66.9,X
6|323,197,18,,9.1,,88.1,69.5,X
6|33,266,15,,5.6,,70.7,76.6,X
6|332,135,14,,10.4,,107.9,70.7,X
6|333,71,8,,11.3,,65.2,66.1,X
7|1,38,2,,5.3,,24.5,47.5,X
7|11,239,29,,12.1,,120.7,87.6,O
7|111,422,33,,7.8,,78.0,74.5,X
7|121,1049,98,,9.3,,84.0,89.3,O
7|122,1777,147,,8.3,,76.5,82.8,O
