bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0|1,2467,598,,24.2,,86.7,80.1,O
0|2,2688,479,,17.8,,81.5,79.5,X
0|3,3104,356,,11.5,,79.0,79.4,X
0|4,3602,281,,7.8,,71.3,74.8,X
0|5,3903,274,,7.0,,78.2,78.1,X
0|6,4073,228,,5.6,,85.7,74.6,X
1|1,3754,1065,,28.4,,81.7,82.6,O
1|2,3699,705,,19.1,,78.6,80.8,O
1|3,3659,474,,13.0,,70.9,79.8,X
1|4,3521,362,,10.3,,81.3,76.8,X
1|5,3481,263,,7.6,,76.4,78.2,X
1|6,3340,189,,5.7,,64.0,71.7,X
2|1,5395,1591,,29.5,,74.0,83.4,O
2|2,5133,938,,18.3,,72.7,78.7,X
2|3,4928,672,,13.6,,80.5,83.3,O
2|4,4747,523,,11.0,,84.6,80.0,O
2|5,4511,365,,8.1,,78.6,78.3,X
2|6,4373,274,,6.3,,80.3,80.0,O
3|1,137,44,,32.1,,88.2,90.9,O
3|2,122,25,,20.5,,78.0,83.4,O
3|3,143,28,,19.6,,109.9,87.1,O
3|4,117,7,,6.0,,32.9,82.7,O
3|5,105,12,,11.4,,114.6,77.9,X
3|6,102,6,,5.9,,79.7,75.3,X
5|1,3900,1177,,30.2,,83.3,85.6,O
5|2,3951,716,,18.1,,78.4,83.8,O
5|3,3724,487,,13.1,,69.2,78.3,X
5|4,3536,352,,10.0,,73.1,79.3,X
5|5,3410,270,,7.9,,71.8,75.6,X
5|6,3272,238,,7.3,,88.7,82.4,O
6|2,39,6,,15.4,,93.3,94.6,O
6|3,36,6,,16.7,,78.4,57.7,X
6|5,48,6,,12.5,,102.4,83.0,O
6|6,32,1,,3.1,,21.4,88.9,O
