bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|01,269,108,,40.1,,89.2,82.3,O
1|02,384,122,,31.8,,64.2,81.6,O
1|03,214,71,,33.2,,80.1,88.6,O
1|04,209,72,,34.4,,98.3,100.3,O
1|05,109,30,,27.5,,63.1,86.4,O
1|06,92,24,,26.1,,45.8,84.4,O
1|07,85,21,,24.7,,71.6,67.1,X
1|08,44,17,,38.6,,74.5,63.2,X
1|09,39,14,,35.9,,112.6,87.4,O
1|10,32,11,,34.4,,81.3,85.6,O
2|01,1473,381,,25.9,,74.9,78.6,X
2|02,2089,480,,23.0,,70.4,79.4,X
2|03,1473,362,,24.6,,80.1,81.8,O
2|04,1250,247,,19.8,,74.7,79.1,X
2|05,923,205,,22.2,,77.5,78.3,X
2|06,682,121,,17.7,,79.6,83.0,O
2|07,656,112,,17.1,,66.7,84.2,O
2|08,505,93,,18.4,,67.7,86.1,O
2|09,382,68,,17.8,,67.1,89.1,O
2|10,347,66,,19.0,,100.6,87.8,O
2|11,245,44,,18.0,,64.4,63.5,X
2|12,206,34,,16.5,,60.7,57.3,X
2|13,145,25,,17.2,,75.6,78.4,X
2|14,104,16,,15.4,,64.1,71.0,X
2|15,68,4,,5.9,,18.9,57.9,X
2|16,32,8,,25.0,,139.9,76.0,X
3|00,454,17,,3.7,,27.8,68.3,X
3|01,14093,1528,,10.8,,70.6,75.2,X
3|02,18594,1950,,10.5,,82.0,78.9,X
3|03,14105,1346,,9.5,,74.3,77.8,X
3|04,13180,1227,,9.3,,76.2,79.0,X
3|05,11809,960,,8.1,,78.1,79.6,X
3|06,11287,866,,7.7,,74.9,82.7,O
3|07,11117,821,,7.4,,80.3,84.5,O
3|08,9907,654,,6.6,,81.1,77.5,X
3|09,9064,597,,6.6,,80.6,80.8,O
3|10,8178,524,,6.4,,90.3,81.6,O
3|11,7264,381,,5.2,,69.2,75.1,X
3|12,6262,365,,5.8,,84.5,78.8,X
3|13,5280,302,,5.7,,82.1,77.5,X
3|14,4086,182,,4.5,,69.4,69.9,X
3|15,3052,139,,4.6,,85.1,78.1,X
3|16,1736,78,,4.5,,65.1,74.4,X
3|17,187,7,,3.7,,39.3,72.0,X
3|18,105,1,,1.0,,9.7,93.2,O
4|01,212,6,,2.8,,96.6,53.3,X
4|02,227,6,,2.6,,60.2,61.1,X
4|03,159,5,,3.1,,106.7,54.5,X
4|04,191,9,,4.7,,145.0,109.3,O
4|05,218,4,,1.8,,91.3,63.2,X
4|06,169,5,,3.0,,84.1,56.9,X
4|07,214,6,,2.8,,64.5,104.8,O
4|08,233,4,,1.7,,82.7,60.6,X
4|09,213,5,,2.3,,91.3,46.4,X
4|10,213,12,,5.6,,222.4,78.1,X
4|11,181,4,,2.2,,43.7,73.4,X
4|12,186,2,,1.1,,31.6,72.0,X
4|13,163,5,,3.1,,36.5,97.6,O
4|14,150,2,,1.3,,103.6,63.5,X
4|15,111,0,,0.0,,0.0,74.7,X
4|16,78,3,,3.8,,326.1,83.1,O
