bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1,929,392,,42.2,,83.3,87.7,O
1|2,345,79,,22.9,,68.3,82.1,O
1|3,147,26,,17.7,,61.4,76.1,X
1|4,71,7,,9.9,,62.5,73.4,X
1|5,35,5,,14.3,,74.0,73.2,X
2|1,4005,1373,,34.3,,78.9,84.0,O
2|2,2387,481,,20.2,,73.9,77.8,X
2|3,1548,219,,14.1,,69.0,78.6,X
2|4,946,114,,12.1,,64.7,75.1,X
2|5,646,63,,9.8,,79.5,78.3,X
2|6,407,38,,9.3,,64.8,72.9,X
2|7,289,25,,8.7,,97.4,87.3,O
3|1,10946,3041,,27.8,,80.0,84.5,O
3|2,13122,2189,,16.7,,77.2,82.6,O
3|3,14120,1716,,12.2,,76.8,78.6,X
3|4,14708,1288,,8.8,,73.8,80.0,O
3|5,14784,1062,,7.2,,79.4,79.3,X
3|6,14499,866,,6.0,,79.4,77.5,X
3|7,13737,657,,4.8,,76.7,78.1,X
4|3,41,5,,12.2,,321.5,118.4,O
4|4,87,3,,3.4,,36.6,69.4,X
4|5,141,9,,6.4,,104.9,58.7,X
4|6,223,10,,4.5,,134.7,71.3,X
4|7,263,5,,1.9,,36.3,68.2,X
