bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|01,697,285,,40.9,,79.6,88.2,O
1|02,326,107,,32.8,,82.5,87.7,O
1|03,184,47,,25.5,,65.2,68.7,X
1|04,118,26,,22.0,,73.3,90.6,O
1|05,69,15,,21.7,,67.9,77.2,X
1|06,46,11,,23.9,,106.0,91.9,O
1|07,37,5,,13.5,,41.3,58.1,X
2|01,3138,994,,31.7,,72.4,82.6,O
2|02,2051,482,,23.5,,75.7,84.7,O
2|03,1457,293,,20.1,,82.7,78.1,X
2|04,1055,186,,17.6,,83.3,83.1,O
2|05,811,125,,15.4,,74.4,77.1,X
2|06,616,85,,13.8,,70.7,72.1,X
2|07,410,42,,10.2,,41.5,70.8,X
2|08,384,42,,10.9,,62.0,70.4,X
2|09,282,30,,10.6,,56.0,60.6,X
2|10,209,28,,13.4,,98.7,86.7,O
2|11,198,24,,12.1,,87.3,74.9,X
2|12,121,13,,10.7,,96.1,89.5,O
2|13,97,5,,5.2,,28.6,65.7,X
2|14,81,6,,7.4,,115.9,77.3,X
2|15,48,5,,10.4,,120.7,125.0,O
3|01,12030,2520,,20.9,,75.2,81.0,O
3|02,13374,2042,,15.3,,81.1,82.0,O
3|03,13946,1639,,11.8,,77.0,80.1,O
3|04,14217,1257,,8.8,,76.7,78.8,X
3|05,14120,1126,,8.0,,83.1,82.1,O
3|06,13814,941,,6.8,,79.4,77.2,X
3|07,13323,740,,5.6,,78.2,78.7,X
3|08,12444,592,,4.8,,75.1,76.8,X
3|09,11453,530,,4.6,,81.0,82.0,O
3|10,10195,421,,4.1,,76.4,77.4,X
3|11,8900,324,,3.6,,82.2,77.9,X
3|12,7457,237,,3.2,,73.9,73.6,X
3|13,6012,196,,3.3,,90.0,77.4,X
3|14,4691,133,,2.8,,67.6,75.5,X
3|15,3369,108,,3.2,,79.6,68.8,X
3|16,1918,50,,2.6,,84.6,78.7,X
4|01,62,5,,8.1,,117.9,87.6,O
4|02,122,6,,4.9,,55.0,77.4,X
4|03,165,3,,1.8,,21.3,44.0,X
4|04,192,5,,2.6,,89.1,92.2,O
4|05,257,9,,3.5,,118.7,98.1,O
4|06,305,9,,3.0,,74.5,77.4,X
4|07,327,9,,2.8,,85.0,74.1,X
4|08,371,5,,1.3,,35.7,58.0,X
4|09,389,9,,2.3,,129.0,48.3,X
4|10,427,11,,2.6,,114.6,60.0,X
4|11,366,5,,1.4,,14.7,58.6,X
4|12,318,3,,0.9,,27.3,52.3,X
4|13,281,5,,1.8,,46.7,55.7,X
4|14,255,4,,1.6,,104.4,88.6,O
4|15,207,4,,1.9,,64.9,78.1,X
4|16,120,5,,4.2,,225.4,99.2,O
