bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0|01,244,29,,11.9,,75.3,71.4,X
1.0|02,327,38,,11.6,,61.1,80.9,O
1.0|03,319,47,,14.7,,69.7,76.6,X
1.0|04,380,68,,17.9,,75.8,80.4,O
1.0|05,539,96,,17.8,,55.9,70.8,X
1.0|06,356,67,,18.8,,78.5,74.2,X
1.0|07,221,30,,13.6,,88.4,83.2,O
1.0|08,161,27,,16.8,,97.1,111.1,O
1.0|09,242,42,,17.4,,67.7,90.4,O
1.0|10,99,23,,23.2,,115.7,94.8,O
2.0|01,274,40,,14.6,,55.7,68.5,X
2.0|02,334,57,,17.1,,90.2,75.8,X
2.0|03,322,59,,18.3,,84.1,79.8,X
2.0|04,362,63,,17.4,,68.5,77.4,X
2.0|05,526,104,,19.8,,73.3,86.9,O
2.0|06,390,63,,16.2,,94.0,82.6,O
2.0|07,169,35,,20.7,,106.0,97.2,O
2.0|08,149,40,,26.8,,104.9,115.9,O
2.0|09,229,65,,28.4,,142.0,104.2,O
2.0|10,101,22,,21.8,,82.0,67.3,X
3.0|01,257,62,,24.1,,65.6,86.1,O
3.0|02,382,101,,26.4,,72.9,73.1,X
3.0|03,310,38,,12.3,,63.8,78.1,X
3.0|04,396,59,,14.9,,85.6,74.5,X
3.0|05,531,75,,14.1,,54.8,66.3,X
3.0|06,369,45,,12.2,,56.3,82.3,O
3.0|07,188,25,,13.3,,77.8,76.0,X
3.0|08,164,28,,17.1,,70.9,71.9,X
3.0|09,178,26,,14.6,,87.1,83.5,O
3.0|10,102,18,,17.6,,126.8,90.6,O
4.0|01,1296,70,,5.4,,66.4,74.8,X
4.0|02,2014,126,,6.3,,82.5,81.4,O
4.0|03,675,55,,8.1,,88.1,86.5,O
4.0|04,813,56,,6.9,,66.2,84.7,O
4.0|05,1102,87,,7.9,,96.6,80.0,O
4.0|06,670,51,,7.6,,83.3,70.1,X
4.0|07,463,38,,8.2,,71.6,83.9,O
4.0|08,455,37,,8.1,,83.0,73.5,X
4.0|09,571,59,,10.3,,108.5,87.0,O
4.0|10,256,23,,9.0,,118.4,85.5,O
4.0|30,54,3,,5.6,,17.0,57.3,X
4.0|45,36,0,,0.0,,0.0,52.0,X
5.0|01,223,13,,5.8,,126.7,94.0,O
5.0|02,234,16,,6.8,,85.8,75.5,X
5.0|03,861,55,,6.4,,42.2,64.9,X
5.0|04,1038,66,,6.4,,63.4,75.8,X
5.0|05,1210,78,,6.4,,115.0,81.6,O
5.0|06,1106,55,,5.0,,83.8,72.3,X
5.0|07,589,30,,5.1,,95.4,81.7,O
5.0|08,383,16,,4.2,,39.0,67.2,X
5.0|09,601,49,,8.2,,83.4,90.5,O
5.0|10,340,27,,7.9,,93.2,82.6,O
5.0|45,31,1,,3.2,,226.2,118.9,O
5.0|50,48,2,,4.2,,38.8,64.7,X
6.0|01,201,10,,5.0,,71.8,85.5,O
6.0|02,166,6,,3.6,,41.2,77.7,X
6.0|03,688,38,,5.5,,87.0,79.2,X
6.0|04,927,44,,4.7,,69.5,83.1,O
6.0|05,1165,50,,4.3,,91.2,77.0,X
6.0|06,950,37,,3.9,,64.3,69.4,X
6.0|07,460,26,,5.7,,63.5,71.0,X
6.0|08,322,17,,5.3,,103.3,87.7,O
6.0|09,482,28,,5.8,,70.7,71.8,X
6.0|10,278,18,,6.5,,106.0,78.2,X
7.0|01,79,3,,3.8,,28.5,64.8,X
7.0|02,72,3,,4.2,,66.4,29.3,X
7.0|03,260,6,,2.3,,56.3,91.3,O
7.0|04,281,11,,3.9,,86.7,85.6,O
7.0|05,488,16,,3.3,,59.8,70.3,X
7.0|06,321,14,,4.4,,152.1,77.2,X
7.0|07,118,10,,8.5,,239.3,130.3,O
7.0|08,96,7,,7.3,,89.3,97.8,O
7.0|09,110,9,,8.2,,85.6,135.9,O
7.0|10,65,2,,3.1,,38.1,73.1,X
8.0|01,56,3,,5.4,,152.5,126.3,O
8.0|02,63,1,,1.6,,6.7,68.8,X
8.0|03,51,4,,7.8,,59.9,40.7,X
8.0|04,64,3,,4.7,,57.5,56.3,X
8.0|05,163,5,,3.1,,54.8,76.1,X
8.0|06,116,2,,1.7,,18.3,93.0,O
8.0|08,37,0,,0.0,,0.0,84.5,O
9.0|02,31,0,,0.0,,0.0,50.3,X
