bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|10.0,74,6,,8.1,,70.1,68.9,X
1|11.0,61,6,,9.8,,50.0,109.1,O
1|14.0,42,3,,7.1,,30.5,56.8,X
1|15.0,82,4,,4.9,,47.1,59.4,X
1|16.0,94,5,,5.3,,40.0,67.4,X
1|17.0,126,14,,11.1,,81.0,76.6,X
1|18.0,92,6,,6.5,,199.2,120.4,O
1|19.0,39,9,,23.1,,184.0,81.8,O
1|21.0,49,2,,4.1,,84.6,82.0,O
1|22.0,100,8,,8.0,,24.6,77.5,X
1|23.0,94,8,,8.5,,97.8,111.5,O
1|24.0,114,10,,8.8,,86.7,50.5,X
1|25.0,92,11,,12.0,,257.7,106.2,O
1|26.0,31,1,,3.2,,1.1,101.0,O
1|29.0,49,4,,8.2,,78.1,68.5,X
1|30.0,45,3,,6.7,,55.3,69.8,X
1|31.0,44,2,,4.5,,60.5,60.6,X
2|10.0,74,9,,12.2,,169.0,133.6,O
2|11.0,71,9,,12.7,,97.1,111.7,O
2|15.0,71,6,,8.5,,105.9,71.3,X
2|16.0,95,9,,9.5,,70.0,83.1,O
2|17.0,108,6,,5.6,,90.0,85.3,O
2|18.0,92,6,,6.5,,23.3,42.3,X
2|19.0,33,3,,9.1,,24.8,75.7,X
2|21.0,37,4,,10.8,,64.6,69.7,X
2|22.0,98,6,,6.1,,94.9,72.0,X
2|23.0,104,19,,18.3,,157.0,86.5,O
2|24.0,101,10,,9.9,,94.1,104.8,O
2|25.0,70,13,,18.6,,127.6,90.3,O
2|29.0,40,5,,12.5,,77.8,68.1,X
2|30.0,58,11,,19.0,,223.7,99.5,O
2|31.0,43,6,,14.0,,130.0,134.0,O
3|10.0,46,1,,2.2,,1.7,64.1,X
3|11.0,63,5,,7.9,,36.6,79.8,X
3|14.0,35,5,,14.3,,105.6,175.5,O
3|15.0,55,6,,10.9,,82.1,49.0,X
3|16.0,95,8,,8.4,,114.4,62.3,X
3|17.0,102,8,,7.8,,32.9,51.9,X
3|18.0,79,10,,12.7,,158.3,104.2,O
3|19.0,35,5,,14.3,,102.0,62.5,X
3|21.0,30,1,,3.3,,2.7,156.1,O
3|22.0,76,7,,9.2,,101.3,99.6,O
3|23.0,88,12,,13.6,,70.0,56.7,X
3|24.0,80,16,,20.0,,195.6,128.8,O
3|25.0,63,2,,3.2,,4.4,92.4,O
3|29.0,48,7,,14.6,,54.6,83.8,O
3|30.0,49,5,,10.2,,97.1,59.4,X
3|31.0,40,4,,10.0,,38.6,141.6,O
4|10.0,54,3,,5.6,,32.5,72.9,X
4|11.0,56,3,,5.4,,34.6,69.1,X
4|14.0,48,6,,12.5,,73.7,69.3,X
4|15.0,61,2,,3.3,,60.0,59.5,X
4|16.0,81,10,,12.3,,65.3,79.0,X
4|17.0,103,8,,7.8,,49.1,92.9,O
4|18.0,78,6,,7.7,,70.3,83.4,O
4|19.0,40,3,,7.5,,37.9,76.4,X
4|21.0,37,3,,8.1,,103.5,51.5,X
4|22.0,83,11,,13.3,,110.5,81.4,O
4|23.0,83,8,,9.6,,162.3,85.1,O
4|24.0,89,19,,21.3,,162.8,123.6,O
4|25.0,73,5,,6.8,,51.5,83.7,O
4|29.0,54,9,,16.7,,73.0,91.0,O
4|30.0,45,7,,15.6,,89.2,94.5,O
4|31.0,40,6,,15.0,,67.9,81.5,O
5|10.0,65,3,,4.6,,23.3,17.9,X
5|11.0,55,6,,10.9,,100.5,66.7,X
5|14.0,43,6,,14.0,,48.0,67.7,X
5|15.0,68,5,,7.4,,82.3,105.0,O
5|16.0,71,6,,8.5,,39.9,84.6,O
5|17.0,91,12,,13.2,,77.0,100.6,O
5|18.0,74,7,,9.5,,81.4,101.4,O
5|21.0,50,4,,8.0,,28.8,64.9,X
5|22.0,71,8,,11.3,,83.7,69.9,X
5|23.0,94,8,,8.5,,75.1,65.0,X
5|24.0,100,8,,8.0,,147.3,112.7,O
5|25.0,60,9,,15.0,,69.3,85.9,O
5|29.0,38,6,,15.8,,99.3,72.0,X
5|30.0,44,4,,9.1,,88.8,72.6,X
5|31.0,45,6,,13.3,,77.9,52.9,X
6|10.0,50,2,,4.0,,44.2,61.6,X
6|11.0,40,3,,7.5,,31.3,37.9,X
6|14.0,37,5,,13.5,,116.6,113.4,O
6|15.0,62,5,,8.1,,56.6,53.5,X
6|16.0,81,9,,11.1,,168.8,103.2,O
6|17.0,90,4,,4.4,,39.7,68.5,X
6|18.0,81,3,,3.7,,17.2,53.7,X
6|21.0,30,3,,10.0,,112.3,150.2,O
6|22.0,68,12,,17.6,,199.5,99.7,O
6|23.0,78,4,,5.1,,10.0,110.6,O
6|24.0,99,13,,13.1,,99.0,116.4,O
6|25.0,58,1,,1.7,,3.3,47.1,X
6|29.0,35,1,,2.9,,28.9,97.1,O
6|30.0,35,4,,11.4,,73.0,46.0,X
6|31.0,47,3,,6.4,,104.2,58.9,X
6|32.0,45,6,,13.3,,198.3,175.6,O
7|10.0,43,5,,11.6,,152.4,110.9,O
7|11.0,42,5,,11.9,,114.9,64.2,X
7|14.0,30,3,,10.0,,135.0,53.4,X
7|15.0,64,3,,4.7,,26.9,79.8,X
7|16.0,88,10,,11.4,,101.0,83.9,O
7|17.0,98,5,,5.1,,32.9,95.5,O
7|18.0,77,7,,9.1,,103.7,113.9,O
7|21.0,31,4,,12.9,,75.2,61.1,X
7|22.0,100,11,,11.0,,39.4,58.9,X
7|23.0,77,7,,9.1,,52.3,35.2,X
7|24.0,83,10,,12.0,,228.2,113.2,O
7|25.0,72,6,,8.3,,46.5,63.8,X
7|29.0,35,5,,14.3,,116.6,103.8,O
7|30.0,48,3,,6.2,,18.8,83.0,O
7|31.0,32,4,,12.5,,102.2,58.3,X
8|10.0,38,4,,10.5,,67.7,145.5,O
8|11.0,40,1,,2.5,,119.4,81.7,O
8|14.0,34,1,,2.9,,19.8,21.5,X
8|15.0,52,5,,9.6,,67.0,98.1,O
8|16.0,57,4,,7.0,,49.1,56.6,X
8|17.0,68,5,,7.4,,82.6,73.3,X
8|18.0,87,5,,5.7,,19.7,64.1,X
8|22.0,62,8,,12.9,,71.3,80.8,O
8|23.0,86,9,,10.5,,82.2,100.2,O
8|24.0,81,5,,6.2,,27.9,77.5,X
8|25.0,59,6,,10.2,,48.6,87.1,O
8|29.0,31,2,,6.5,,109.3,59.6,X
8|30.0,48,1,,2.1,,59.8,25.5,X
8|31.0,45,5,,11.1,,64.7,68.7,X
