bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1,1327,154,,11.6,,67.2,85.1,O
1|2,4252,523,,12.3,,70.6,77.7,X
1|3,5044,442,,8.8,,80.8,85.1,O
1|4,3696,248,,6.7,,87.3,83.2,O
2|1,1310,209,,16.0,,84.6,82.6,O
2|2,4310,618,,14.3,,73.6,79.8,X
2|3,5089,521,,10.2,,89.3,83.9,O
2|4,3338,222,,6.7,,68.0,76.0,X
3|1,1367,183,,13.4,,87.0,85.9,O
3|2,4323,597,,13.8,,77.5,76.8,X
3|3,4992,505,,10.1,,80.1,86.4,O
3|4,3122,204,,6.5,,87.9,79.1,X
4|1,1335,184,,13.8,,77.7,88.9,O
4|2,4398,569,,12.9,,71.0,78.6,X
4|3,4811,445,,9.2,,80.6,86.1,O
4|4,2998,204,,6.8,,71.2,75.0,X
5|1,1329,166,,12.5,,79.6,83.6,O
5|2,4268,553,,13.0,,82.2,83.4,O
5|3,4663,422,,9.0,,82.4,78.7,X
5|4,2844,176,,6.2,,79.7,85.2,O
6|1,1310,189,,14.4,,77.5,69.1,X
6|2,4253,505,,11.9,,84.1,84.0,O
6|3,4523,410,,9.1,,85.4,82.5,O
6|4,2612,154,,5.9,,63.4,73.6,X
7|1,1230,172,,14.0,,82.2,71.1,X
7|2,3883,471,,12.1,,76.2,79.7,X
7|3,4220,333,,7.9,,79.1,77.2,X
7|4,2541,147,,5.8,,71.6,69.0,X
8|1,1106,120,,10.8,,62.3,63.2,X
8|2,3554,387,,10.9,,79.8,81.6,O
8|3,3996,315,,7.9,,65.9,77.5,X
8|4,2325,121,,5.2,,75.7,75.0,X
