bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|111,108,10,,9.3,,48.5,55.6,X
1|121,50,1,,2.0,,2.2,76.4,X
1|122,85,11,,12.9,,62.8,93.2,O
1|132,32,4,,12.5,,44.1,18.7,X
1|211,253,14,,5.5,,94.1,93.1,O
1|22,190,31,,16.3,,149.2,90.5,O
1|221,376,46,,12.2,,127.2,89.6,O
1|222,6611,646,,9.8,,80.8,84.2,O
1|223,423,49,,11.6,,63.1,68.0,X
1|232,2021,165,,8.2,,66.8,76.0,X
1|233,1577,134,,8.5,,68.1,84.5,O
1|32,115,6,,5.2,,33.6,56.2,X
1|322,284,25,,8.8,,66.3,70.6,X
1|323,533,53,,9.9,,96.1,90.6,O
1|33,138,13,,9.4,,48.2,69.4,X
1|332,247,23,,9.3,,82.0,96.4,O
1|333,972,96,,9.9,,81.1,80.0,O
2|111,96,10,,10.4,,44.3,107.8,O
2|121,68,11,,16.2,,89.1,85.1,O
2|122,82,8,,9.8,,86.5,71.5,X
2|211,213,14,,6.6,,50.7,63.5,X
2|212,34,1,,2.9,,18.3,51.6,X
2|22,186,19,,10.2,,93.6,94.3,O
2|221,330,31,,9.4,,70.9,101.1,O
2|222,6479,785,,12.1,,84.7,82.5,O
2|223,430,59,,13.7,,75.6,67.4,X
2|232,1989,199,,10.0,,81.6,73.6,X
2|233,1495,148,,9.9,,89.1,83.1,O
2|32,79,12,,15.2,,91.7,68.9,X
2|321,30,2,,6.7,,116.9,126.0,O
2|322,296,34,,11.5,,44.8,77.9,X
2|323,578,66,,11.4,,58.5,85.9,O
2|33,126,16,,12.7,,92.9,78.1,X
2|332,262,21,,8.0,,33.7,91.8,O
2|333,951,96,,10.1,,64.0,77.8,X
3|111,102,6,,5.9,,55.8,68.6,X
3|121,40,6,,15.0,,127.4,110.6,O
3|122,74,6,,8.1,,85.4,67.9,X
3|132,30,1,,3.3,,7.9,32.1,X
3|211,219,11,,5.0,,49.9,59.1,X
3|22,221,24,,10.9,,83.2,64.7,X
3|221,340,52,,15.3,,102.4,83.0,O
3|222,6490,733,,11.3,,86.7,84.2,O
3|223,377,42,,11.1,,78.5,73.7,X
3|232,1878,201,,10.7,,91.3,83.5,O
3|233,1513,149,,9.8,,67.7,87.0,O
3|32,93,7,,7.5,,41.2,87.7,O
3|322,255,38,,14.9,,133.4,89.6,O
3|323,558,53,,9.5,,66.7,84.2,O
3|33,127,11,,8.7,,28.7,61.7,X
3|332,251,29,,11.6,,97.0,78.0,X
3|333,885,88,,9.9,,56.0,70.1,X
4|111,77,7,,9.1,,173.9,85.5,O
4|121,51,2,,3.9,,55.5,80.2,O
4|122,69,4,,5.8,,64.3,44.6,X
4|211,209,19,,9.1,,91.1,95.0,O
4|22,165,19,,11.5,,183.4,107.0,O
4|221,337,42,,12.5,,72.5,75.0,X
4|222,6255,717,,11.5,,74.2,82.8,O
4|223,414,46,,11.1,,91.3,91.8,O
4|232,1861,166,,8.9,,71.3,75.4,X
4|233,1437,113,,7.9,,53.3,76.0,X
4|32,102,15,,14.7,,106.3,100.8,O
4|322,276,33,,12.0,,75.2,77.8,X
4|323,553,60,,10.8,,54.1,73.0,X
4|33,124,11,,8.9,,136.1,82.1,O
4|332,267,18,,6.7,,39.8,84.2,O
4|333,953,86,,9.0,,76.0,85.2,O
5|111,116,17,,14.7,,191.8,122.4,O
5|121,45,8,,17.8,,69.8,75.9,X
5|122,85,10,,11.8,,118.0,71.8,X
5|211,181,22,,12.2,,111.8,82.8,O
5|22,199,29,,14.6,,114.9,88.4,O
5|221,325,41,,12.6,,80.0,73.6,X
5|222,6063,595,,9.8,,72.6,84.6,O
5|223,399,60,,15.0,,113.9,84.2,O
5|232,1776,163,,9.2,,83.5,88.4,O
5|233,1316,130,,9.9,,79.7,80.0,O
5|32,80,11,,13.8,,181.3,97.3,O
5|322,271,28,,10.3,,88.7,80.8,O
5|323,580,49,,8.4,,60.5,70.2,X
5|33,117,9,,7.7,,45.6,48.8,X
5|332,281,26,,9.3,,76.8,73.9,X
5|333,911,80,,8.8,,75.0,65.6,X
6|111,102,17,,16.7,,118.6,78.8,X
6|121,44,9,,20.5,,192.5,92.0,O
6|122,84,10,,11.9,,139.3,78.2,X
6|211,207,12,,5.8,,71.8,99.3,O
6|22,182,18,,9.9,,65.8,104.6,O
6|221,311,32,,10.3,,60.0,68.9,X
6|222,5763,619,,10.7,,82.4,82.0,O
6|223,433,43,,9.9,,68.1,80.5,O
6|232,1734,164,,9.5,,74.3,69.3,X
6|233,1392,114,,8.2,,79.9,84.9,O
6|32,96,9,,9.4,,42.3,56.8,X
6|322,279,20,,7.2,,47.6,85.8,O
6|323,440,48,,10.9,,72.9,69.9,X
6|33,129,14,,10.9,,82.4,45.6,X
6|332,256,16,,6.2,,90.7,96.4,O
6|333,874,79,,9.0,,73.7,76.9,X
7|111,90,4,,4.4,,24.8,35.5,X
7|121,42,3,,7.1,,40.5,56.4,X
7|122,69,4,,5.8,,30.4,83.8,O
7|211,192,15,,7.8,,54.1,74.6,X
7|22,168,21,,12.5,,71.3,58.3,X
7|221,342,32,,9.4,,101.5,90.9,O
7|222,5413,564,,10.4,,79.2,76.3,X
7|223,373,29,,7.8,,77.3,68.7,X
7|232,1587,138,,8.7,,74.9,73.9,X
7|233,1271,108,,8.5,,59.9,73.3,X
7|32,85,7,,8.2,,61.7,82.6,O
7|322,231,24,,10.4,,68.8,77.9,X
7|323,471,43,,9.1,,98.6,61.3,X
7|33,123,9,,7.3,,139.0,104.7,O
7|332,228,20,,8.8,,86.0,77.9,X
7|333,844,69,,8.2,,87.7,73.6,X
8|111,84,6,,7.1,,29.2,114.5,O
8|121,37,2,,5.4,,67.5,89.4,O
8|122,67,8,,11.9,,74.6,57.0,X
8|211,164,7,,4.3,,22.7,84.3,O
8|22,167,16,,9.6,,51.6,71.7,X
8|221,257,29,,11.3,,98.6,86.5,O
8|222,5009,426,,8.5,,63.3,75.5,X
8|223,364,30,,8.2,,39.9,75.4,X
8|232,1497,126,,8.4,,96.9,77.8,X
8|233,1202,98,,8.2,,79.7,78.1,X
8|32,76,7,,9.2,,84.2,75.6,X
8|322,220,19,,8.6,,48.6,95.1,O
8|323,438,39,,8.9,,100.8,73.7,X
8|33,126,11,,8.7,,116.8,78.4,X
8|332,214,16,,7.5,,46.3,70.8,X
8|333,753,73,,9.7,,83.6,67.9,X
