bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|0.0,4623,548,,11.9,,81.9,80.5,O
1|10.0,262,22,,8.4,,66.0,88.8,O
1|11.0,306,34,,11.1,,106.1,99.4,O
1|12.0,355,23,,6.5,,42.5,68.4,X
1|13.0,116,7,,6.0,,69.1,71.9,X
1|14.0,381,38,,10.0,,123.4,90.4,O
1|15.0,146,10,,6.8,,58.6,108.5,O
1|16.0,66,4,,6.1,,56.4,75.2,X
1|17.0,432,37,,8.6,,65.8,78.1,X
1|18.0,197,11,,5.6,,43.0,79.5,X
1|19.0,84,4,,4.8,,34.1,35.4,X
1|20.0,514,50,,9.7,,115.8,102.3,O
1|21.0,90,5,,5.6,,33.0,88.6,O
1|22.0,187,16,,8.6,,68.8,65.4,X
1|23.0,90,6,,6.7,,105.7,68.1,X
1|24.0,60,2,,3.3,,23.5,47.2,X
1|25.0,602,59,,9.8,,96.7,90.4,O
1|26.0,39,3,,7.7,,132.7,108.8,O
1|27.0,126,7,,5.6,,77.6,100.8,O
1|28.0,38,0,,0.0,,0.0,115.7,O
1|29.0,237,21,,8.9,,54.9,64.8,X
1|3.0,37,4,,10.8,,255.3,79.2,X
1|30.0,109,7,,6.4,,38.8,79.1,X
1|31.0,69,6,,8.7,,53.6,87.4,O
1|33.0,723,85,,11.8,,70.9,95.0,O
1|36.0,94,5,,5.3,,61.4,69.5,X
1|38.0,139,5,,3.6,,26.1,72.4,X
1|4.0,96,6,,6.2,,52.5,77.4,X
1|40.0,233,26,,11.2,,86.6,107.3,O
1|42.0,38,3,,7.9,,63.7,91.4,O
1|43.0,121,8,,6.6,,39.6,106.5,O
1|44.0,66,5,,7.6,,88.0,53.2,X
1|45.0,37,3,,8.1,,40.9,47.2,X
1|5.0,161,9,,5.6,,42.3,81.9,O
1|50.0,835,87,,10.4,,94.9,80.3,O
1|56.0,46,3,,6.5,,32.6,47.3,X
1|57.0,56,7,,12.5,,180.6,106.0,O
1|6.0,257,17,,6.6,,107.8,70.5,X
1|60.0,107,8,,7.5,,45.4,53.6,X
1|62.0,41,2,,4.9,,24.4,97.7,O
1|67.0,269,30,,11.2,,85.4,81.7,O
1|7.0,206,17,,8.3,,102.0,107.0,O
1|71.0,30,3,,10.0,,82.9,74.3,X
1|75.0,111,12,,10.8,,78.3,75.0,X
1|8.0,274,20,,7.3,,85.8,83.6,O
1|80.0,37,3,,8.1,,27.3,93.7,O
1|9.0,199,13,,6.5,,33.9,69.7,X
1|99.9,585,49,,8.4,,70.9,82.9,O
2|0.0,4396,592,,13.5,,84.4,84.3,O
2|10.0,227,26,,11.5,,88.2,97.7,O
2|11.0,285,21,,7.4,,46.5,71.6,X
2|12.0,363,34,,9.4,,69.1,78.8,X
2|13.0,106,8,,7.5,,108.7,99.5,O
2|14.0,411,58,,14.1,,100.1,74.7,X
2|15.0,134,9,,6.7,,109.6,94.3,O
2|16.0,58,2,,3.4,,22.5,44.3,X
2|17.0,474,49,,10.3,,74.0,72.0,X
2|18.0,173,17,,9.8,,92.7,90.7,O
2|19.0,91,4,,4.4,,12.1,61.0,X
2|20.0,540,63,,11.7,,89.7,92.0,O
2|21.0,111,11,,9.9,,87.3,88.2,O
2|22.0,195,21,,10.8,,52.8,64.8,X
2|23.0,91,9,,9.9,,93.8,81.1,O
2|24.0,52,3,,5.8,,26.5,63.9,X
2|25.0,557,63,,11.3,,74.1,77.4,X
2|26.0,45,6,,13.3,,115.0,71.7,X
2|27.0,128,9,,7.0,,78.1,72.4,X
2|28.0,33,3,,9.1,,46.4,76.2,X
2|29.0,225,25,,11.1,,78.6,72.7,X
2|3.0,50,3,,6.0,,43.6,34.9,X
2|30.0,79,11,,13.9,,144.3,87.7,O
2|31.0,69,2,,2.9,,46.1,54.7,X
2|33.0,701,88,,12.6,,92.9,87.7,O
2|35.0,39,3,,7.7,,41.4,47.1,X
2|36.0,72,5,,6.9,,35.4,71.4,X
2|38.0,145,15,,10.3,,134.6,73.7,X
2|4.0,81,2,,2.5,,204.0,110.6,O
2|40.0,245,38,,15.5,,52.4,88.9,O
2|42.0,45,4,,8.9,,80.4,85.5,O
2|43.0,95,7,,7.4,,93.1,86.6,O
2|44.0,56,10,,17.9,,82.9,125.1,O
2|5.0,183,9,,4.9,,23.5,101.3,O
2|50.0,810,74,,9.1,,72.1,73.6,X
2|55.0,34,1,,2.9,,9.2,73.1,X
2|56.0,47,2,,4.3,,84.9,120.2,O
2|57.0,49,8,,16.3,,208.0,113.2,O
2|6.0,207,15,,7.2,,45.3,73.0,X
2|60.0,111,12,,10.8,,41.3,74.0,X
