bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0,109,2,,1.8,,78.3,49.3,X
1.0,31,1,,3.2,,110.1,41.8,X
10.0,344,21,,6.1,,136.4,64.5,X
11.0,480,21,,4.4,,67.2,66.6,X
12.0,620,31,,5.0,,72.6,56.0,X
13.0,684,39,,5.7,,117.6,83.6,O
14.0,857,30,,3.5,,36.0,65.3,X
15.0,998,47,,4.7,,65.0,57.4,X
16.0,1175,62,,5.3,,94.8,74.6,X
17.0,1364,83,,6.1,,87.7,85.6,O
18.0,1556,98,,6.3,,83.7,69.9,X
19.0,1659,86,,5.2,,100.9,79.4,X
2.0,60,2,,3.3,,48.6,49.2,X
20.0,1932,133,,6.9,,94.3,68.3,X
21.0,2218,133,,6.0,,73.7,88.7,O
22.0,2462,162,,6.6,,77.6,79.5,X
23.0,2655,173,,6.5,,94.9,82.3,O
24.0,3043,209,,6.9,,82.0,73.4,X
25.0,3253,240,,7.4,,88.2,79.2,X
26.0,3379,227,,6.7,,55.0,75.4,X
27.0,3748,290,,7.7,,81.5,74.6,X
28.0,4066,305,,7.5,,80.7,76.6,X
29.0,4252,332,,7.8,,64.6,74.2,X
3.0,75,2,,2.7,,2.9,71.7,X
30.0,4565,391,,8.6,,74.4,74.8,X
31.0,4620,368,,8.0,,74.0,72.1,X
32.0,4827,405,,8.4,,85.3,87.0,O
33.0,4965,445,,9.0,,83.7,77.9,X
34.0,5037,444,,8.8,,75.1,77.0,X
35.0,5163,446,,8.6,,71.4,79.9,X
36.0,5154,460,,8.9,,76.7,78.7,X
37.0,5260,506,,9.6,,85.0,79.4,X
38.0,5240,477,,9.1,,77.5,77.2,X
39.0,5252,508,,9.7,,72.8,77.7,X
4.0,121,4,,3.3,,118.6,118.4,O
40.0,5224,502,,9.6,,88.4,81.9,O
41.0,4995,481,,9.6,,68.0,80.1,O
42.0,5031,486,,9.7,,79.7,80.2,O
43.0,4877,490,,10.0,,73.3,76.4,X
44.0,4848,502,,10.4,,75.8,81.9,O
45.0,4617,492,,10.7,,80.1,84.7,O
46.0,4407,410,,9.3,,59.4,73.9,X
47.0,4223,487,,11.5,,79.5,81.3,O
48.0,4035,417,,10.3,,87.8,79.6,X
49.0,3811,391,,10.3,,81.9,75.8,X
5.0,113,7,,6.2,,68.3,96.6,O
50.0,3540,367,,10.4,,78.2,76.6,X
51.0,3305,395,,12.0,,88.6,83.6,O
52.0,3168,352,,11.1,,90.1,86.2,O
53.0,2848,284,,10.0,,72.0,82.5,O
54.0,2658,267,,10.0,,68.7,81.1,O
55.0,2423,236,,9.7,,76.4,86.9,O
56.0,2126,221,,10.4,,78.0,79.2,X
57.0,2005,203,,10.1,,79.6,79.2,X
58.0,1813,186,,10.3,,90.8,83.1,O
59.0,1606,179,,11.1,,82.9,77.9,X
6.0,152,5,,3.3,,64.4,77.9,X
60.0,1438,119,,8.3,,66.9,71.2,X
61.0,1248,132,,10.6,,87.1,83.4,O
62.0,1157,129,,11.1,,92.0,85.4,O
63.0,1013,88,,8.7,,73.3,85.2,O
64.0,869,77,,8.9,,78.9,86.1,O
65.0,824,83,,10.1,,82.3,90.6,O
66.0,710,59,,8.3,,69.9,81.3,O
67.0,597,55,,9.2,,67.8,73.1,X
68.0,512,33,,6.4,,56.9,71.4,X
69.0,427,26,,6.1,,78.2,74.4,X
7.0,198,7,,3.5,,19.5,78.4,X
70.0,386,28,,7.3,,60.6,78.7,X
71.0,342,32,,9.4,,96.3,101.4,O
72.0,292,17,,5.8,,47.5,66.0,X
73.0,225,24,,10.7,,117.6,94.0,O
74.0,208,15,,7.2,,65.4,72.5,X
75.0,166,10,,6.0,,41.2,74.1,X
76.0,130,13,,10.0,,157.0,77.2,X
77.0,104,9,,8.7,,106.6,110.1,O
78.0,71,6,,8.5,,100.8,67.5,X
79.0,60,4,,6.7,,26.5,63.0,X
8.0,235,11,,4.7,,82.9,52.9,X
80.0,49,5,,10.2,,106.0,86.8,O
81.0,38,2,,5.3,,49.2,59.1,X
82.0,31,0,,0.0,,0.0,60.3,X
9.0,275,9,,3.3,,27.1,40.1,X
