bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0|3,39,0,,0.0,,0.0,20.5,X
10.0|1,33,5,,15.2,,281.9,109.0,O
10.0|2,73,5,,6.8,,31.5,56.2,X
10.0|3,78,4,,5.1,,73.6,38.6,X
10.0|4,53,2,,3.8,,38.2,12.2,X
11.0|1,47,3,,6.4,,8.3,103.9,O
11.0|2,88,7,,8.0,,257.0,95.9,O
11.0|3,120,8,,6.7,,57.7,67.2,X
11.0|4,87,1,,1.1,,16.8,34.5,X
12.0|1,54,3,,5.6,,147.0,63.6,X
12.0|2,96,6,,6.2,,93.7,116.0,O
12.0|3,144,5,,3.5,,15.8,21.5,X
12.0|4,102,5,,4.9,,81.3,72.6,X
13.0|1,67,1,,1.5,,2.2,29.3,X
13.0|2,137,7,,5.1,,90.1,60.6,X
13.0|3,174,15,,8.6,,132.0,74.6,X
13.0|4,118,3,,2.5,,114.8,93.2,O
14.0|1,68,1,,1.5,,1.6,72.7,X
14.0|2,140,7,,5.0,,25.2,66.8,X
14.0|3,224,13,,5.8,,47.4,54.8,X
14.0|4,140,1,,0.7,,3.0,60.0,X
15.0|1,87,7,,8.0,,49.3,43.1,X
15.0|2,199,10,,5.0,,65.0,69.0,X
15.0|3,246,15,,6.1,,92.4,55.3,X
15.0|4,162,2,,1.2,,40.7,72.3,X
16.0|1,95,10,,10.5,,94.2,37.8,X
16.0|2,226,19,,8.4,,115.8,90.8,O
16.0|3,313,16,,5.1,,114.3,69.6,X
16.0|4,199,7,,3.5,,88.3,61.8,X
17.0|1,100,11,,11.0,,94.7,130.6,O
17.0|2,301,28,,9.3,,87.2,71.8,X
17.0|3,374,18,,4.8,,39.0,65.8,X
17.0|4,236,7,,3.0,,116.9,80.9,O
18.0|1,120,8,,6.7,,90.5,47.3,X
18.0|2,341,33,,9.7,,89.0,53.0,X
18.0|3,438,25,,5.7,,86.0,85.4,O
18.0|4,256,9,,3.5,,132.4,86.1,O
19.0|1,131,9,,6.9,,82.7,99.2,O
19.0|2,376,28,,7.4,,93.9,70.4,X
19.0|3,491,22,,4.5,,107.0,94.5,O
19.0|4,271,6,,2.2,,86.3,49.7,X
20.0|1,143,9,,6.3,,22.3,79.3,X
20.0|2,457,45,,9.8,,130.6,74.7,X
20.0|3,537,33,,6.1,,80.8,74.3,X
20.0|4,361,16,,4.4,,98.5,69.1,X
21.0|1,175,14,,8.0,,106.9,78.2,X
21.0|2,485,39,,8.0,,63.6,103.0,O
21.0|3,653,39,,6.0,,91.9,86.4,O
21.0|4,400,9,,2.2,,21.4,70.9,X
22.0|1,227,20,,8.8,,74.0,66.6,X
22.0|2,585,42,,7.2,,40.5,84.1,O
22.0|3,695,45,,6.5,,76.6,69.7,X
22.0|4,460,14,,3.0,,64.6,76.2,X
23.0|1,231,23,,10.0,,73.1,87.4,O
23.0|2,650,54,,8.3,,98.2,70.4,X
23.0|3,796,44,,5.5,,83.9,87.2,O
23.0|4,467,22,,4.7,,117.3,91.7,O
24.0|1,270,28,,10.4,,59.8,67.4,X
24.0|2,758,65,,8.6,,68.2,75.0,X
24.0|3,846,53,,6.3,,116.6,85.9,O
24.0|4,567,19,,3.4,,51.8,43.6,X
25.0|1,273,25,,9.2,,55.5,70.3,X
25.0|2,808,74,,9.2,,78.5,74.9,X
25.0|3,997,69,,6.9,,95.6,75.6,X
25.0|4,603,27,,4.5,,111.0,80.4,O
26.0|1,289,26,,9.0,,73.3,65.9,X
26.0|2,920,83,,9.0,,50.5,69.7,X
26.0|3,1036,51,,4.9,,64.7,90.6,O
26.0|4,615,27,,4.4,,40.4,65.5,X
27.0|1,309,34,,11.0,,112.3,84.8,O
27.0|2,956,99,,10.4,,62.3,66.8,X
27.0|3,1189,76,,6.4,,79.6,80.2,O
27.0|4,760,40,,5.3,,91.4,73.4,X
28.0|1,355,30,,8.5,,63.7,59.7,X
28.0|2,1071,103,,9.6,,92.2,89.8,O
28.0|3,1278,83,,6.5,,54.9,72.0,X
28.0|4,799,44,,5.5,,120.8,82.9,O
29.0|1,365,39,,10.7,,61.4,80.1,O
29.0|2,1136,111,,9.8,,61.5,71.0,X
29.0|3,1353,102,,7.5,,73.2,79.2,X
29.0|4,793,33,,4.2,,70.0,76.6,X
30.0|1,373,43,,11.5,,101.4,74.4,X
30.0|2,1285,139,,10.8,,72.6,81.8,O
30.0|3,1467,94,,6.4,,73.0,74.0,X
30.0|4,891,46,,5.2,,60.3,64.8,X
31.0|1,379,43,,11.3,,90.9,67.5,X
31.0|2,1276,133,,10.4,,70.9,81.8,O
31.0|3,1541,111,,7.2,,82.3,68.6,X
31.0|4,905,34,,3.8,,45.0,60.4,X
32.0|1,457,42,,9.2,,46.8,81.1,O
32.0|2,1399,134,,9.6,,98.0,84.3,O
32.0|3,1537,120,,7.8,,77.6,87.4,O
32.0|4,954,44,,4.6,,95.2,92.5,O
33.0|1,458,59,,12.9,,108.4,81.0,O
33.0|2,1429,161,,11.3,,92.2,72.9,X
33.0|3,1688,119,,7.0,,73.4,78.6,X
33.0|4,966,48,,5.0,,56.1,75.5,X
34.0|1,466,62,,13.3,,57.2,76.4,X
34.0|2,1427,156,,10.9,,65.0,73.1,X
34.0|3,1695,135,,8.0,,83.8,80.0,O
34.0|4,1043,49,,4.7,,71.5,81.0,O
35.0|1,471,50,,10.6,,87.6,80.1,O
35.0|2,1533,177,,11.5,,70.3,82.7,O
35.0|3,1786,137,,7.7,,81.7,78.6,X
35.0|4,1021,50,,4.9,,55.3,74.7,X
36.0|1,473,52,,11.0,,68.3,63.1,X
36.0|2,1556,180,,11.6,,75.5,80.4,O
36.0|3,1766,142,,8.0,,85.7,86.3,O
36.0|4,1057,56,,5.3,,71.3,75.5,X
37.0|1,483,57,,11.8,,69.1,70.9,X
37.0|2,1591,190,,11.9,,88.0,86.1,O
37.0|3,1890,159,,8.4,,76.9,78.8,X
37.0|4,1057,72,,6.8,,101.1,72.0,X
38.0|1,501,65,,13.0,,78.2,93.2,O
38.0|2,1686,174,,10.3,,73.3,75.4,X
38.0|3,1808,149,,8.2,,68.9,75.2,X
38.0|4,1053,62,,5.9,,93.6,77.9,X
39.0|1,482,54,,11.2,,43.3,65.8,X
39.0|2,1676,218,,13.0,,81.6,78.3,X
