bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|380,98,4,,4.1,,76.3,74.8,X
01|400,556,25,,4.5,,67.0,92.2,O
01|420,2788,219,,7.9,,84.0,83.6,O
01|440,6919,551,,8.0,,78.0,79.3,X
01|460,10971,993,,9.1,,78.2,81.9,O
01|480,10092,1027,,10.2,,91.0,83.0,O
01|500,6484,664,,10.2,,72.9,78.4,X
01|520,2639,296,,11.2,,84.6,88.2,O
01|540,595,58,,9.7,,109.3,79.5,X
01|560,103,13,,12.6,,132.4,66.3,X
02|440,73,8,,11.0,,76.1,52.8,X
02|460,78,10,,12.8,,206.7,136.0,O
02|480,74,5,,6.8,,90.2,42.7,X
02|500,60,4,,6.7,,27.5,94.2,O
02|520,36,3,,8.3,,23.8,122.3,O
03|380,99,1,,1.0,,110.6,46.4,X
03|400,1000,51,,5.1,,80.3,61.6,X
03|420,4406,261,,5.9,,60.8,74.7,X
03|440,11284,855,,7.6,,73.5,75.1,X
03|460,17483,1563,,8.9,,78.5,76.2,X
03|480,18056,1758,,9.7,,81.0,81.3,O
03|500,11138,1064,,9.6,,71.0,78.2,X
03|520,4456,497,,11.2,,86.8,81.6,O
03|540,1136,123,,10.8,,96.9,75.8,X
03|560,222,28,,12.6,,88.6,83.6,O
03|580,40,4,,10.0,,47.5,72.8,X
04|380,54,2,,3.7,,28.8,30.4,X
04|400,415,20,,4.8,,50.2,60.0,X
04|420,2149,128,,6.0,,70.5,74.4,X
04|440,5206,418,,8.0,,85.3,81.5,O
04|460,8311,711,,8.6,,78.5,78.6,X
04|480,7505,692,,9.2,,74.1,76.9,X
04|500,4886,506,,10.4,,82.6,83.4,O
04|520,1946,195,,10.0,,74.5,80.0,O
04|540,406,48,,11.8,,90.3,84.7,O
04|560,70,8,,11.4,,58.2,72.6,X
05|400,186,7,,3.8,,47.6,58.3,X
05|420,861,62,,7.2,,59.4,71.5,X
05|440,2176,196,,9.0,,89.8,82.9,O
05|460,3099,231,,7.5,,57.3,68.5,X
05|480,2589,233,,9.0,,78.3,78.3,X
05|500,1488,144,,9.7,,72.5,79.6,X
05|520,528,53,,10.0,,103.0,82.1,O
05|540,118,7,,5.9,,18.9,62.7,X
06|400,34,2,,5.9,,62.1,71.6,X
06|420,110,8,,7.3,,53.5,52.1,X
06|440,231,18,,7.8,,77.4,64.8,X
06|460,402,27,,6.7,,59.5,106.7,O
06|480,319,23,,7.2,,44.1,61.1,X
06|500,219,13,,5.9,,33.8,63.9,X
06|520,82,7,,8.5,,54.6,59.4,X
07|400,91,4,,4.4,,88.1,80.8,O
07|420,605,39,,6.4,,70.0,76.4,X
07|440,1713,129,,7.5,,58.9,71.1,X
07|460,2839,253,,8.9,,75.8,81.4,O
07|480,2612,231,,8.8,,80.4,77.3,X
07|500,1504,146,,9.7,,91.2,79.3,X
07|520,623,79,,12.7,,61.1,66.4,X
07|540,162,18,,11.1,,157.4,94.2,O
07|560,31,3,,9.7,,59.4,70.5,X
11|480,39,7,,17.9,,64.3,66.3,X
11|500,34,3,,8.8,,15.2,28.7,X
