bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|1,4595,395,,8.6,,80.9,76.6,X
01|2,5010,438,,8.7,,87.8,84.2,O
01|3,5290,456,,8.6,,73.1,80.0,O
01|4,5586,484,,8.7,,72.9,75.7,X
01|5,5835,557,,9.5,,83.6,82.1,O
01|6,5995,606,,10.1,,92.7,85.2,O
01|7,6139,558,,9.1,,79.8,83.9,O
01|8,6318,659,,10.4,,84.7,82.9,O
02|2,48,3,,6.2,,14.9,133.8,O
02|3,51,3,,5.9,,169.7,146.0,O
02|4,49,5,,10.2,,186.6,54.8,X
02|5,48,4,,8.3,,93.6,51.4,X
02|6,48,5,,10.4,,64.1,89.1,O
02|7,48,5,,10.4,,64.0,40.8,X
02|8,63,8,,12.7,,68.8,82.1,O
03|1,7471,603,,8.1,,73.0,74.8,X
03|2,8333,655,,7.9,,73.6,74.1,X
03|3,8989,743,,8.3,,74.6,75.3,X
03|4,9393,845,,9.0,,75.2,75.3,X
03|5,9932,856,,8.6,,76.4,77.4,X
03|6,9970,972,,9.7,,82.5,82.7,O
03|7,10304,934,,9.1,,80.0,78.0,X
03|8,10523,1029,,9.8,,83.7,81.7,O
04|1,3426,287,,8.4,,86.4,74.5,X
04|2,3742,315,,8.4,,93.9,80.8,O
04|3,3957,312,,7.9,,66.9,82.2,O
04|4,4217,366,,8.7,,75.5,77.5,X
04|5,4327,372,,8.6,,71.2,78.9,X
04|6,4594,413,,9.0,,81.6,83.7,O
04|7,4509,389,,8.6,,71.8,76.0,X
04|8,4568,443,,9.7,,82.2,78.7,X
05|1,1223,87,,7.1,,68.7,85.6,O
05|2,1325,117,,8.8,,82.7,76.6,X
05|3,1497,112,,7.5,,64.8,70.9,X
05|4,1462,106,,7.3,,53.3,74.7,X
05|5,1475,155,,10.5,,91.2,74.9,X
05|6,1564,137,,8.8,,72.4,71.8,X
05|7,1600,128,,8.0,,60.4,76.6,X
05|8,1703,154,,9.0,,86.7,77.6,X
06|1,163,5,,3.1,,9.0,52.3,X
06|2,184,18,,9.8,,116.1,111.2,O
06|3,184,10,,5.4,,32.7,88.5,O
06|4,176,8,,4.5,,30.3,42.9,X
06|5,193,17,,8.8,,39.9,63.8,X
06|6,194,14,,7.2,,28.0,83.7,O
06|7,219,23,,10.5,,117.4,89.5,O
06|8,213,14,,6.6,,36.8,60.1,X
07|1,1140,88,,7.7,,81.4,75.7,X
07|2,1183,102,,8.6,,88.8,81.6,O
07|3,1222,105,,8.6,,98.3,81.8,O
07|4,1380,116,,8.4,,81.9,65.9,X
07|5,1442,137,,9.5,,65.9,74.1,X
07|6,1597,146,,9.1,,81.2,84.6,O
07|7,1545,136,,8.8,,52.2,71.9,X
07|8,1520,143,,9.4,,71.7,79.4,X
11|4,30,4,,13.3,,81.7,64.5,X
