bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
400|1,109,19,,17.4,,76.9,84.4,O
400|2,121,15,,12.4,,131.6,72.3,X
400|3,164,14,,8.5,,39.2,68.0,X
400|4,182,16,,8.8,,105.9,71.2,X
400|5,190,12,,6.3,,69.8,76.6,X
400|6,183,7,,3.8,,34.3,73.8,X
420|1,699,128,,18.3,,70.2,73.3,X
420|2,774,125,,16.1,,70.4,76.1,X
420|3,878,108,,12.3,,80.0,73.8,X
420|4,950,84,,8.8,,85.3,82.7,O
420|5,990,57,,5.8,,68.1,76.3,X
420|6,987,63,,6.4,,67.3,73.1,X
440|1,2195,469,,21.4,,74.3,82.0,O
440|2,2283,351,,15.4,,66.8,79.4,X
440|3,2375,284,,12.0,,79.1,78.0,X
440|4,2514,271,,10.8,,82.7,78.2,X
440|5,2392,180,,7.5,,64.3,76.5,X
440|6,2446,160,,6.5,,71.8,83.5,O
460|1,3842,934,,24.3,,84.8,83.5,O
460|2,3789,651,,17.2,,79.7,79.6,X
460|3,3916,558,,14.2,,74.2,77.9,X
460|4,3791,365,,9.6,,67.7,78.9,X
460|5,3838,309,,8.1,,75.9,79.1,X
460|6,3789,242,,6.4,,63.0,72.2,X
480|1,3971,963,,24.3,,76.1,80.5,O
480|2,3933,790,,20.1,,90.0,82.8,O
480|3,3769,525,,13.9,,75.2,79.9,X
480|4,3725,420,,11.3,,83.9,83.2,O
480|5,3609,293,,8.1,,75.7,76.2,X
480|6,3408,237,,7.0,,81.5,82.5,O
500|1,2562,637,,24.9,,79.5,79.4,X
500|2,2545,508,,20.0,,79.7,82.8,O
500|3,2376,345,,14.5,,72.2,78.1,X
500|4,2298,243,,10.6,,73.1,79.0,X
500|5,2265,185,,8.2,,71.0,83.0,O
500|6,2132,179,,8.4,,91.4,81.0,O
520|1,1118,315,,28.2,,94.8,90.8,O
520|2,1010,220,,21.8,,94.6,81.6,O
520|3,975,140,,14.4,,70.0,74.8,X
520|4,922,107,,11.6,,67.3,84.2,O
520|5,919,88,,9.6,,80.2,81.8,O
520|6,876,86,,9.8,,80.9,83.1,O
540|1,271,74,,27.3,,76.3,85.5,O
540|2,237,38,,16.0,,63.7,70.1,X
540|3,209,38,,18.2,,77.7,85.5,O
540|4,223,18,,8.1,,59.5,67.3,X
540|5,202,24,,11.9,,110.7,80.3,O
540|6,193,18,,9.3,,96.0,91.1,O
560|1,54,17,,31.5,,69.9,95.6,O
560|2,50,11,,22.0,,86.5,68.9,X
560|3,42,3,,7.1,,13.9,43.1,X
560|5,42,3,,7.1,,33.1,81.4,O
560|6,40,3,,7.5,,58.2,44.2,X
