bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1-3|1.0,5629,664,,11.8,,74.5,67.0,X
1-3|10.0,2177,191,,8.8,,74.0,83.4,O
1-3|11.0,1832,155,,8.5,,98.4,86.5,O
1-3|12.0,1644,102,,6.2,,61.6,75.2,X
1-3|13.0,1378,116,,8.4,,101.6,76.3,X
1-3|14.0,1157,79,,6.8,,58.6,71.5,X
1-3|15.0,891,70,,7.9,,70.6,74.5,X
1-3|16.0,615,44,,7.2,,94.2,80.7,O
1-3|17.0,80,10,,12.5,,63.8,76.2,X
1-3|18.0,62,6,,9.7,,185.1,115.7,O
1-3|2.0,7196,1298,,18.0,,66.1,76.1,X
1-3|3.0,5776,883,,15.3,,76.3,78.7,X
1-3|4.0,4806,628,,13.1,,73.8,78.8,X
1-3|5.0,4184,519,,12.4,,83.5,79.5,X
1-3|6.0,3656,366,,10.0,,73.4,84.5,O
1-3|7.0,3263,305,,9.3,,86.2,86.3,O
1-3|8.0,2824,226,,8.0,,70.4,73.8,X
1-3|9.0,2511,223,,8.9,,87.5,80.8,O
10+|1.0,3311,228,,6.9,,65.0,65.4,X
10+|10.0,2187,82,,3.7,,80.7,88.6,O
10+|11.0,1851,66,,3.6,,83.5,74.8,X
10+|12.0,1558,55,,3.5,,114.5,85.2,O
10+|13.0,1389,52,,3.7,,75.6,90.9,O
10+|14.0,1092,39,,3.6,,74.4,68.0,X
10+|15.0,775,26,,3.4,,96.0,78.9,X
10+|16.0,493,17,,3.4,,77.3,77.2,X
10+|17.0,91,3,,3.3,,118.1,91.9,O
10+|18.0,63,3,,4.8,,263.7,115.5,O
10+|2.0,1878,217,,11.6,,69.6,75.9,X
10+|3.0,2493,255,,10.2,,94.3,78.8,X
10+|4.0,3016,223,,7.4,,75.1,72.2,X
10+|5.0,3223,214,,6.6,,78.3,85.2,O
10+|6.0,3137,173,,5.5,,83.7,76.8,X
10+|7.0,2976,160,,5.4,,89.9,81.5,O
10+|8.0,2804,110,,3.9,,68.7,71.9,X
10+|9.0,2546,100,,3.9,,68.0,73.6,X
4-6|1.0,3553,364,,10.2,,74.7,75.8,X
4-6|10.0,1654,104,,6.3,,71.0,81.0,O
4-6|11.0,1458,95,,6.5,,72.1,84.1,O
4-6|12.0,1176,59,,5.0,,78.8,83.6,O
4-6|13.0,981,47,,4.8,,86.5,82.0,O
4-6|14.0,769,44,,5.7,,55.1,77.3,X
4-6|15.0,559,28,,5.0,,73.8,69.0,X
4-6|16.0,349,18,,5.2,,61.5,77.2,X
4-6|17.0,50,2,,4.0,,73.0,64.0,X
4-6|18.0,37,1,,2.7,,19.9,24.5,X
4-6|2.0,4117,664,,16.1,,73.8,79.6,X
4-6|3.0,4151,532,,12.8,,75.1,81.5,O
4-6|4.0,3945,435,,11.0,,75.0,83.2,O
4-6|5.0,3622,320,,8.8,,72.2,78.6,X
4-6|6.0,3185,273,,8.6,,92.4,83.6,O
4-6|7.0,2793,190,,6.8,,81.1,83.7,O
4-6|8.0,2402,143,,6.0,,71.5,86.6,O
4-6|9.0,2066,133,,6.4,,99.0,87.3,O
7-9|1.0,2695,236,,8.8,,74.0,69.2,X
7-9|10.0,1638,83,,5.1,,131.2,84.5,O
7-9|11.0,1382,62,,4.5,,72.9,87.2,O
7-9|12.0,1135,49,,4.3,,70.8,79.5,X
7-9|13.0,900,36,,4.0,,69.7,92.9,O
7-9|14.0,741,37,,5.0,,74.6,76.8,X
7-9|15.0,482,18,,3.7,,49.7,73.6,X
7-9|16.0,311,11,,3.5,,138.6,83.7,O
7-9|17.0,52,3,,5.8,,50.5,70.5,X
7-9|18.0,43,2,,4.7,,132.8,127.8,O
7-9|2.0,2354,345,,14.7,,76.0,77.8,X
7-9|3.0,2857,325,,11.4,,82.7,84.4,O
7-9|4.0,2968,248,,8.4,,83.3,76.7,X
7-9|5.0,2919,195,,6.7,,69.3,84.1,O
7-9|6.0,2654,189,,7.1,,80.3,84.8,O
7-9|7.0,2483,140,,5.6,,71.3,77.2,X
7-9|8.0,2248,128,,5.7,,84.7,82.1,O
7-9|9.0,1922,106,,5.5,,80.3,84.1,O
