bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1-3|111,430,47,,10.9,,80.2,84.5,O
1-3|121,211,26,,12.3,,94.4,74.7,X
1-3|122,359,52,,14.5,,115.2,82.0,O
1-3|132,101,17,,16.8,,77.2,74.3,X
1-3|133,50,7,,14.0,,85.7,55.9,X
1-3|211,804,81,,10.1,,67.6,77.9,X
1-3|212,89,4,,4.5,,27.7,53.2,X
1-3|22,802,115,,14.3,,79.9,82.2,O
1-3|221,1380,188,,13.6,,92.7,80.3,O
1-3|222,25555,3143,,12.3,,72.7,78.8,X
1-3|223,1570,206,,13.1,,83.8,74.9,X
1-3|232,6848,778,,11.4,,78.2,76.2,X
1-3|233,5508,567,,10.3,,64.4,75.7,X
1-3|311,35,7,,20.0,,95.7,43.3,X
1-3|32,400,53,,13.2,,94.5,83.9,O
1-3|321,79,12,,15.2,,172.5,119.2,O
1-3|322,1188,154,,13.0,,92.0,82.1,O
1-3|323,2092,231,,11.0,,68.4,66.3,X
1-3|33,469,45,,9.6,,63.6,59.7,X
1-3|332,1036,114,,11.0,,79.1,77.6,X
1-3|333,3482,391,,11.2,,81.7,77.6,X
10+|111,268,13,,4.9,,60.2,89.9,O
10+|121,144,8,,5.6,,49.2,58.9,X
10+|122,203,11,,5.4,,127.8,85.4,O
10+|132,60,5,,8.3,,70.1,50.7,X
10+|211,632,34,,5.4,,83.8,80.1,O
10+|212,60,3,,5.0,,84.2,40.9,X
10+|22,531,39,,7.3,,69.1,80.2,O
10+|221,982,67,,6.8,,96.2,97.6,O
10+|222,16436,1023,,6.2,,84.5,81.0,O
10+|223,1281,86,,6.7,,87.4,81.3,O
10+|232,5749,307,,5.3,,82.5,74.0,X
10+|233,4394,224,,5.1,,62.3,65.5,X
10+|32,248,14,,5.6,,58.3,67.8,X
10+|321,70,5,,7.1,,221.0,84.4,O
10+|322,675,42,,6.2,,72.1,81.6,O
10+|323,1653,90,,5.4,,75.7,73.4,X
10+|33,412,26,,6.3,,124.4,71.9,X
10+|332,682,30,,4.4,,62.6,84.2,O
10+|333,3090,147,,4.8,,57.1,68.1,X
4-6|111,299,32,,10.7,,96.4,92.9,O
4-6|121,136,18,,13.2,,107.8,78.3,X
4-6|122,235,23,,9.8,,82.0,68.5,X
4-6|132,68,10,,14.7,,92.5,103.9,O
4-6|211,584,48,,8.2,,75.7,94.1,O
4-6|212,60,6,,10.0,,54.7,113.0,O
4-6|22,562,62,,11.0,,95.1,89.0,O
4-6|221,972,88,,9.1,,66.5,76.8,X
4-6|222,18626,1894,,10.2,,78.9,82.3,O
4-6|223,1211,126,,10.4,,77.8,70.6,X
4-6|232,5471,477,,8.7,,82.4,78.7,X
4-6|233,4285,330,,7.7,,70.3,81.5,O
4-6|32,261,21,,8.0,,48.6,79.4,X
4-6|321,71,6,,8.5,,64.3,49.6,X
4-6|322,832,74,,8.9,,61.0,62.7,X
4-6|323,1635,148,,9.1,,63.4,77.2,X
4-6|33,379,34,,9.0,,70.3,71.1,X
4-6|332,739,62,,8.4,,81.4,80.8,O
4-6|333,2719,217,,8.0,,72.6,77.2,X
7-9|111,227,15,,6.6,,105.0,76.9,X
7-9|121,99,9,,9.1,,61.6,89.0,O
7-9|122,186,16,,8.6,,114.3,90.3,O
7-9|132,53,5,,9.4,,53.8,85.7,O
7-9|211,543,40,,7.4,,97.8,89.5,O
7-9|212,77,4,,5.2,,34.6,83.5,O
7-9|22,454,40,,8.8,,139.9,97.8,O
7-9|221,840,68,,8.1,,71.5,72.4,X
7-9|222,14570,1109,,7.6,,79.0,82.0,O
7-9|223,1044,73,,7.0,,53.2,72.7,X
7-9|232,4641,339,,7.3,,85.1,79.6,X
7-9|233,3503,239,,6.8,,76.4,82.9,O
7-9|32,207,14,,6.8,,133.2,68.4,X
7-9|321,45,1,,2.2,,17.8,50.8,X
7-9|322,604,46,,7.6,,47.2,85.5,O
7-9|323,1372,95,,6.9,,93.4,77.7,X
7-9|33,337,24,,7.1,,62.6,61.1,X
7-9|332,663,45,,6.8,,89.0,93.4,O
7-9|333,2232,168,,7.5,,70.0,75.5,X
