bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|1.0,339,40,,11.8,,59.1,64.1,X
01|10.0,158,12,,7.6,,66.7,80.6,O
01|11.0,124,13,,10.5,,165.5,124.6,O
01|12.0,102,8,,7.8,,32.6,91.2,O
01|13.0,111,11,,9.9,,103.4,59.5,X
01|14.0,100,5,,5.0,,19.1,47.4,X
01|15.0,71,7,,9.9,,92.4,74.5,X
01|16.0,41,3,,7.3,,86.7,111.1,O
01|2.0,497,86,,17.3,,49.0,75.2,X
01|3.0,358,57,,15.9,,63.3,68.2,X
01|4.0,294,45,,15.3,,100.2,73.9,X
01|5.0,247,47,,19.0,,114.5,75.0,X
01|6.0,231,18,,7.8,,44.5,75.9,X
01|7.0,188,20,,10.6,,84.2,74.7,X
01|8.0,168,13,,7.7,,38.9,48.3,X
01|9.0,178,14,,7.9,,66.0,89.3,O
02|1.0,354,47,,13.3,,117.6,82.6,O
02|10.0,180,17,,9.4,,62.5,63.3,X
02|11.0,165,16,,9.7,,81.4,83.6,O
02|12.0,143,8,,5.6,,39.1,39.3,X
02|13.0,129,10,,7.8,,81.6,52.4,X
02|14.0,114,7,,6.1,,80.1,80.0,O
02|15.0,70,7,,10.0,,80.0,76.5,X
02|16.0,55,4,,7.3,,120.7,72.3,X
02|2.0,576,105,,18.2,,80.2,78.4,X
02|3.0,498,95,,19.1,,98.1,83.9,O
02|4.0,375,47,,12.5,,56.3,82.7,O
02|5.0,390,51,,13.1,,96.1,80.4,O
02|6.0,289,31,,10.7,,79.8,95.8,O
02|7.0,279,29,,10.4,,80.3,78.2,X
02|8.0,280,26,,9.3,,114.7,83.0,O
02|9.0,235,26,,11.1,,210.8,107.5,O
03|1.0,233,27,,11.6,,78.5,65.7,X
03|10.0,139,12,,8.6,,42.0,64.0,X
03|11.0,114,5,,4.4,,16.5,60.2,X
03|12.0,107,4,,3.7,,31.7,42.9,X
03|13.0,83,5,,6.0,,83.5,46.5,X
03|14.0,65,3,,4.6,,30.7,78.9,X
03|15.0,51,3,,5.9,,134.9,63.9,X
03|16.0,37,4,,10.8,,596.8,145.3,O
03|2.0,415,85,,20.5,,79.0,82.3,O
03|3.0,396,51,,12.9,,57.2,78.8,X
03|4.0,334,31,,9.3,,37.5,66.9,X
03|5.0,303,44,,14.5,,114.7,92.2,O
03|6.0,243,21,,8.6,,111.1,70.2,X
03|7.0,228,22,,9.6,,66.7,83.1,O
03|8.0,178,11,,6.2,,94.8,70.4,X
03|9.0,197,19,,9.6,,69.6,82.7,O
04|1.0,229,21,,9.2,,67.1,63.8,X
04|10.0,143,14,,9.8,,107.1,87.3,O
04|11.0,103,8,,7.8,,99.7,119.5,O
04|12.0,82,6,,7.3,,70.3,78.2,X
04|13.0,67,2,,3.0,,18.1,140.8,O
04|14.0,74,3,,4.1,,12.3,40.5,X
04|15.0,43,2,,4.7,,276.4,163.9,O
04|16.0,34,2,,5.9,,147.4,167.3,O
04|2.0,340,54,,15.9,,73.3,81.2,O
04|3.0,345,48,,13.9,,76.4,82.9,O
04|4.0,303,39,,12.9,,79.0,88.7,O
04|5.0,288,28,,9.7,,53.1,85.6,O
04|6.0,239,23,,9.6,,105.8,77.0,X
04|7.0,229,16,,7.0,,51.5,92.8,O
04|8.0,196,15,,7.7,,112.8,95.4,O
04|9.0,172,10,,5.8,,114.8,77.4,X
05|1.0,183,17,,9.3,,42.4,59.2,X
05|10.0,118,5,,4.2,,62.1,89.9,O
05|11.0,115,4,,3.5,,148.5,91.4,O
05|12.0,95,7,,7.4,,193.0,105.4,O
05|13.0,74,4,,5.4,,39.3,78.0,X
05|14.0,57,3,,5.3,,78.4,71.9,X
05|15.0,30,0,,0.0,,0.0,40.8,X
05|2.0,275,47,,17.1,,87.8,75.4,X
05|3.0,282,34,,12.1,,58.6,82.2,O
05|4.0,255,20,,7.8,,45.7,74.8,X
05|5.0,236,19,,8.1,,53.4,85.6,O
05|6.0,230,15,,6.5,,139.2,105.8,O
05|7.0,202,23,,11.4,,126.1,94.8,O
05|8.0,161,9,,5.6,,149.0,120.1,O
05|9.0,152,7,,4.6,,25.7,67.0,X
06|1.0,192,18,,9.4,,53.5,78.5,X
06|10.0,107,5,,4.7,,57.4,106.5,O
06|11.0,102,5,,4.9,,66.7,79.7,X
06|12.0,77,2,,2.6,,11.5,104.0,O
06|13.0,67,1,,1.5,,31.3,93.3,O
06|14.0,61,2,,3.3,,5.7,92.4,O
06|15.0,38,1,,2.6,,1.8,107.4,O
06|2.0,207,27,,13.0,,92.4,86.3,O
06|3.0,247,31,,12.6,,61.4,84.0,O
06|4.0,276,28,,10.1,,67.4,78.5,X
06|5.0,257,25,,9.7,,82.7,64.3,X
06|6.0,239,21,,8.8,,107.0,69.6,X
06|7.0,183,8,,4.4,,44.4,82.9,O
06|8.0,158,10,,6.3,,70.3,117.6,O
06|9.0,147,7,,4.8,,229.8,114.8,O
07|1.0,166,14,,8.4,,96.5,85.0,O
07|10.0,128,8,,6.2,,109.0,104.5,O
07|11.0,96,6,,6.2,,169.2,90.0,O
07|12.0,92,6,,6.5,,80.6,100.9,O
07|13.0,73,3,,4.1,,26.5,105.7,O
07|14.0,68,3,,4.4,,28.4,54.0,X
07|15.0,33,0,,0.0,,0.0,36.4,X
07|2.0,164,29,,17.7,,87.2,60.1,X
07|3.0,238,19,,8.0,,66.0,79.4,X
07|4.0,238,20,,8.4,,102.4,83.4,O
07|5.0,199,21,,10.6,,107.3,104.9,O
07|6.0,187,15,,8.0,,73.9,94.6,O
07|7.0,201,10,,5.0,,74.1,88.7,O
07|8.0,160,11,,6.9,,84.8,73.3,X
07|9.0,153,5,,3.3,,27.3,64.4,X
08|1.0,137,12,,8.8,,160.8,86.5,O
08|10.0,121,7,,5.8,,55.6,34.9,X
08|11.0,98,1,,1.0,,10.9,104.3,O
08|12.0,80,2,,2.5,,29.6,55.9,X
08|13.0,61,3,,4.9,,64.8,82.6,O
08|14.0,37,1,,2.7,,22.8,199.5,O
08|15.0,45,3,,6.7,,153.1,72.0,X
08|2.0,133,19,,14.3,,78.0,74.3,X
08|3.0,180,20,,11.1,,68.6,81.9,O
08|4.0,185,5,,2.7,,16.5,68.2,X
08|5.0,206,13,,6.3,,46.3,70.1,X
08|6.0,185,13,,7.0,,76.6,68.8,X
08|7.0,171,6,,3.5,,59.9,68.1,X
08|8.0,143,8,,5.6,,98.6,67.3,X
08|9.0,136,6,,4.4,,83.2,106.8,O
09|1.0,106,13,,12.3,,85.2,76.4,X
09|10.0,119,8,,6.7,,240.8,111.4,O
09|11.0,106,6,,5.7,,58.0,65.6,X
09|12.0,78,3,,3.8,,49.6,53.8,X
09|13.0,50,2,,4.0,,42.0,133.5,O
09|14.0,59,5,,8.5,,128.1,95.7,O
09|15.0,30,0,,0.0,,0.0,49.8,X
09|2.0,135,17,,12.6,,35.8,72.5,X
09|3.0,146,19,,13.0,,86.0,79.9,X
09|4.0,174,18,,10.3,,122.7,84.7,O
09|5.0,158,11,,7.0,,143.6,109.0,O
09|6.0,184,12,,6.5,,85.1,97.5,O
09|7.0,170,10,,5.9,,75.8,57.1,X
09|8.0,169,7,,4.1,,56.1,112.1,O
09|9.0,134,5,,3.7,,49.6,64.7,X
10|1.0,107,8,,7.5,,37.4,57.8,X
10|10.0,102,4,,3.9,,54.8,77.0,X
10|11.0,74,3,,4.1,,12.7,63.2,X
10|12.0,55,1,,1.8,,70.7,47.0,X
10|13.0,63,5,,7.9,,162.6,86.4,O
10|14.0,60,4,,6.7,,59.5,99.1,O
10|15.0,42,1,,2.4,,10.8,14.1,X
10|2.0,92,11,,12.0,,64.4,109.9,O
10|3.0,114,14,,12.3,,52.5,55.9,X
10|4.0,149,10,,6.7,,67.1,90.7,O
10|5.0,138,15,,10.9,,87.8,101.7,O
10|6.0,145,7,,4.8,,30.6,56.8,X
10|7.0,143,8,,5.6,,48.5,82.8,O
10|8.0,129,5,,3.9,,138.7,79.2,X
10|9.0,118,1,,0.8,,6.4,70.4,X
11|1.0,94,8,,8.5,,91.1,62.3,X
11|10.0,82,3,,3.7,,67.9,37.6,X
11|11.0,79,2,,2.5,,134.6,120.6,O
11|12.0,62,3,,4.8,,54.2,88.6,O
11|13.0,52,2,,3.8,,41.3,22.0,X
11|14.0,48,1,,2.1,,54.6,16.7,X
11|15.0,39,1,,2.6,,3.3,54.1,X
11|2.0,70,12,,17.1,,90.4,81.2,O
11|3.0,108,11,,10.2,,61.8,60.1,X
11|4.0,133,9,,6.8,,51.1,85.9,O
11|5.0,127,7,,5.5,,39.8,56.1,X
11|6.0,138,7,,5.1,,66.3,51.9,X
11|7.0,111,4,,3.6,,26.9,106.5,O
11|8.0,109,2,,1.8,,48.3,79.5,X
11|9.0,93,4,,4.3,,107.3,49.4,X
12|1.0,87,5,,5.7,,52.7,64.2,X
12|10.0,87,4,,4.6,,70.6,59.1,X
12|11.0,62,3,,4.8,,106.7,30.9,X
12|12.0,48,2,,4.2,,231.0,107.1,O
12|13.0,58,2,,3.4,,241.8,166.1,O
12|14.0,38,1,,2.6,,3.4,77.9,X
12|2.0,55,6,,10.9,,79.3,91.4,O
12|3.0,70,9,,12.9,,52.9,89.8,O
12|4.0,100,10,,10.0,,189.3,71.6,X
12|5.0,116,6,,5.2,,25.0,61.9,X
12|6.0,101,2,,2.0,,27.1,88.0,O
12|7.0,112,4,,3.6,,54.5,79.5,X
12|8.0,93,6,,6.5,,89.5,50.6,X
12|9.0,75,2,,2.7,,30.5,43.6,X
13|1.0,71,4,,5.6,,34.2,53.7,X
13|10.0,60,2,,3.3,,53.1,50.3,X
13|11.0,58,2,,3.4,,168.6,76.2,X
13|12.0,61,4,,6.6,,126.1,80.9,O
13|13.0,37,1,,2.7,,81.1,59.0,X
13|14.0,36,1,,2.8,,40.8,10.9,X
13|2.0,44,5,,11.4,,36.5,45.5,X
13|3.0,59,8,,13.6,,88.4,62.4,X
13|4.0,76,6,,7.9,,66.7,101.1,O
13|5.0,90,6,,6.7,,75.3,83.6,O
13|6.0,77,4,,5.2,,35.7,66.3,X
13|7.0,66,5,,7.6,,95.3,61.6,X
13|8.0,65,2,,3.1,,232.9,111.0,O
13|9.0,66,2,,3.0,,27.2,44.8,X
14|1.0,62,3,,4.8,,87.4,70.3,X
14|10.0,53,1,,1.9,,64.4,95.7,O
14|11.0,54,1,,1.9,,52.6,72.9,X
14|12.0,34,2,,5.9,,104.8,98.8,O
14|13.0,34,0,,0.0,,0.0,17.2,X
14|3.0,47,0,,0.0,,0.0,26.3,X
14|4.0,45,4,,8.9,,298.2,82.8,O
14|5.0,70,4,,5.7,,37.9,71.2,X
14|6.0,48,4,,8.3,,342.4,148.7,O
14|7.0,66,4,,6.1,,38.6,121.8,O
14|8.0,52,1,,1.9,,58.0,97.9,O
14|9.0,45,4,,8.9,,55.4,88.1,O
15|1.0,44,1,,2.3,,134.1,54.1,X
15|4.0,37,4,,10.8,,88.7,30.4,X
15|5.0,31,3,,9.7,,185.7,132.8,O
