bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
00|新ひだか,30,1,,3.3,,12.8,47.8,X
00|日高,33,0,,0.0,,0.0,113.2,O
00|浦河,49,4,,8.2,,47.2,41.6,X
01|千歳,182,22,,12.1,,47.4,51.5,X
01|安平,262,35,,13.4,,78.8,62.0,X
01|平取,41,7,,17.1,,49.7,70.4,X
01|新ひだか,807,103,,12.8,,86.8,75.8,X
01|新冠,498,59,,11.8,,53.1,72.4,X
01|日高,538,61,,11.3,,55.4,62.8,X
01|浦河,686,85,,12.4,,74.0,85.9,O
01|白老,45,3,,6.7,,11.6,50.9,X
01|米,149,27,,18.1,,69.9,90.6,O
02|むかわ,44,4,,9.1,,62.0,51.2,X
02|千歳,297,39,,13.1,,79.5,80.7,O
02|安平,397,47,,11.8,,45.1,61.4,X
02|平取,71,8,,11.3,,49.8,64.8,X
02|新ひだか,1005,124,,12.3,,130.3,102.7,O
02|新冠,627,71,,11.3,,71.8,76.4,X
02|日高,698,89,,12.8,,83.8,86.3,O
02|浦河,810,107,,13.2,,74.1,73.9,X
02|白老,84,8,,9.5,,41.7,50.9,X
02|米,177,30,,16.9,,103.3,64.0,X
03|千歳,214,29,,13.6,,55.8,62.1,X
03|安平,343,38,,11.1,,52.5,60.0,X
03|平取,52,6,,11.5,,69.3,80.9,O
03|新ひだか,736,83,,11.3,,71.1,76.9,X
03|新冠,440,47,,10.7,,97.8,88.8,O
03|日高,535,65,,12.1,,97.8,71.9,X
03|浦河,629,62,,9.9,,89.5,80.0,O
03|白老,64,4,,6.2,,28.4,44.3,X
03|米,110,16,,14.5,,41.4,70.3,X
04|千歳,224,23,,10.3,,52.5,75.9,X
04|安平,281,33,,11.7,,101.0,75.9,X
04|平取,57,4,,7.0,,143.2,98.2,O
04|新ひだか,714,64,,9.0,,90.6,86.3,O
04|新冠,468,46,,9.8,,76.7,98.1,O
04|日高,478,47,,9.8,,87.8,92.9,O
04|浦河,554,60,,10.8,,90.5,79.5,X
04|白老,66,9,,13.6,,47.9,113.4,O
04|米,86,13,,15.1,,58.5,124.0,O
05|千歳,205,13,,6.3,,90.4,90.3,O
05|安平,227,39,,17.2,,167.0,125.0,O
05|平取,50,7,,14.0,,130.8,89.9,O
05|新ひだか,603,39,,6.5,,118.4,79.3,X
05|新冠,372,38,,10.2,,86.0,79.5,X
05|日高,429,39,,9.1,,79.6,87.5,O
05|浦河,479,31,,6.5,,45.2,82.4,O
05|白老,68,3,,4.4,,12.2,61.2,X
