bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|01,433,36,,8.3,,59.1,81.3,O
01|02,418,34,,8.1,,98.6,63.9,X
01|03,447,32,,7.2,,85.9,68.6,X
01|04,430,29,,6.7,,59.2,78.8,X
01|05,462,38,,8.2,,61.0,62.4,X
01|06,408,33,,8.1,,62.1,74.1,X
01|07,470,46,,9.8,,99.6,81.9,O
01|08,428,41,,9.6,,71.0,89.3,O
01|09,408,31,,7.6,,70.5,78.5,X
01|10,422,37,,8.8,,67.0,89.5,O
01|11,363,34,,9.4,,74.5,74.5,X
01|12,364,28,,7.7,,63.2,87.8,O
01|13,284,23,,8.1,,89.3,103.3,O
01|14,250,22,,8.8,,71.9,67.3,X
01|15,125,10,,8.0,,84.8,79.6,X
01|16,87,4,,4.6,,5.7,49.9,X
02|01,427,31,,7.3,,72.1,61.1,X
02|02,444,42,,9.5,,57.7,79.0,X
02|03,419,43,,10.3,,109.6,58.3,X
02|04,430,43,,10.0,,58.8,77.3,X
02|05,442,39,,8.8,,51.9,73.5,X
02|06,422,51,,12.1,,140.2,95.6,O
02|07,442,42,,9.5,,71.6,88.8,O
02|08,443,44,,9.9,,91.2,96.7,O
02|09,394,40,,10.2,,93.9,71.4,X
02|10,384,31,,8.1,,47.1,65.8,X
02|11,380,35,,9.2,,91.2,70.8,X
02|12,322,26,,8.1,,64.2,74.7,X
02|13,209,19,,9.1,,62.0,66.4,X
02|14,149,13,,8.7,,68.9,77.1,X
02|15,48,3,,6.2,,20.4,24.6,X
02|16,34,1,,2.9,,63.0,57.2,X
03|01,608,45,,7.4,,56.6,61.8,X
03|02,651,55,,8.4,,84.3,96.3,O
03|03,620,42,,6.8,,82.7,72.4,X
03|04,620,47,,7.6,,76.9,77.4,X
03|05,632,52,,8.2,,57.3,66.3,X
03|06,630,38,,6.0,,55.2,54.0,X
03|07,661,53,,8.0,,80.7,71.3,X
03|08,677,58,,8.6,,67.3,77.6,X
03|09,656,50,,7.6,,76.6,76.0,X
03|10,635,54,,8.5,,64.2,75.4,X
03|11,579,42,,7.3,,75.6,79.9,X
03|12,614,52,,8.5,,47.4,77.5,X
03|13,553,53,,9.6,,70.5,74.5,X
03|14,474,30,,6.3,,74.2,80.6,O
03|15,418,30,,7.2,,60.2,72.0,X
03|16,244,17,,7.0,,41.3,68.5,X
04|01,914,68,,7.4,,78.7,68.8,X
04|02,894,68,,7.6,,69.7,84.9,O
04|03,913,72,,7.9,,81.1,74.2,X
04|04,912,78,,8.6,,71.2,85.9,O
04|05,850,71,,8.4,,70.2,75.9,X
04|06,860,94,,10.9,,99.7,83.5,O
04|07,910,69,,7.6,,94.1,94.5,O
04|08,876,79,,9.0,,52.9,74.9,X
04|09,866,78,,9.0,,80.0,77.5,X
04|10,915,94,,10.3,,131.1,87.1,O
04|11,801,71,,8.9,,66.6,76.4,X
04|12,762,60,,7.9,,81.3,86.5,O
04|13,692,61,,8.8,,75.2,75.0,X
04|14,650,45,,6.9,,51.1,67.6,X
04|15,587,59,,10.1,,108.7,92.8,O
04|16,378,33,,8.7,,70.4,74.8,X
05|01,1844,164,,8.9,,73.4,80.3,O
05|02,1849,146,,7.9,,109.8,74.2,X
05|03,1830,168,,9.2,,65.1,74.8,X
05|04,1786,178,,10.0,,89.0,75.2,X
05|05,1798,143,,8.0,,64.0,75.7,X
05|06,1814,173,,9.5,,68.6,77.9,X
05|07,1823,152,,8.3,,71.6,72.0,X
05|08,1833,174,,9.5,,88.4,83.8,O
05|09,1771,159,,9.0,,67.3,70.2,X
05|10,1845,183,,9.9,,90.2,80.2,O
05|11,1782,148,,8.3,,72.8,63.0,X
05|12,1702,165,,9.7,,65.6,82.4,O
05|13,1513,134,,8.9,,71.3,75.7,X
05|14,1518,171,,11.3,,80.7,73.9,X
05|15,1350,119,,8.8,,95.6,81.3,O
05|16,1024,102,,10.0,,81.2,84.0,O
06|01,1824,133,,7.3,,75.8,69.8,X
06|02,1768,140,,7.9,,92.9,75.7,X
06|03,1734,133,,7.7,,74.4,84.6,O
06|04,1801,134,,7.4,,60.2,77.5,X
06|05,1804,134,,7.4,,62.8,72.5,X
06|06,1785,147,,8.2,,71.8,73.8,X
06|07,1803,159,,8.8,,85.4,78.7,X
06|08,1833,156,,8.5,,65.9,67.0,X
06|09,1770,137,,7.7,,55.5,66.9,X
06|10,1698,140,,8.2,,72.9,80.5,O
06|11,1668,137,,8.2,,77.6,77.0,X
06|12,1683,160,,9.5,,67.0,87.2,O
06|13,1608,152,,9.5,,78.4,72.3,X
06|14,1433,139,,9.7,,88.8,77.1,X
06|15,1317,121,,9.2,,68.7,81.8,O
06|16,1019,105,,10.3,,124.1,85.1,O
07|01,1359,103,,7.6,,46.9,69.9,X
07|02,1374,115,,8.4,,72.3,86.7,O
07|03,1341,126,,9.4,,87.6,78.6,X
07|04,1365,135,,9.9,,93.4,75.5,X
07|05,1334,112,,8.4,,84.1,81.7,O
07|06,1347,107,,7.9,,63.1,84.1,O
07|07,1347,135,,10.0,,68.9,71.0,X
07|08,1319,134,,10.2,,68.5,77.8,X
07|09,1251,99,,7.9,,50.5,80.5,O
07|10,1262,112,,8.9,,71.2,89.0,O
07|11,1115,115,,10.3,,99.0,81.4,O
07|12,1101,110,,10.0,,99.8,94.7,O
07|13,1009,98,,9.7,,68.3,89.4,O
07|14,902,77,,8.5,,105.7,86.4,O
07|15,771,58,,7.5,,81.7,88.8,O
07|16,580,54,,9.3,,93.5,80.5,O
08|01,1442,149,,10.3,,75.8,88.5,O
08|02,1379,146,,10.6,,77.5,77.7,X
08|03,1446,142,,9.8,,93.0,85.4,O
08|04,1485,161,,10.8,,109.5,90.0,O
08|05,1491,145,,9.7,,81.2,75.2,X
08|06,1495,151,,10.1,,80.1,84.3,O
08|07,1447,157,,10.9,,77.8,77.5,X
08|08,1449,134,,9.2,,76.4,80.9,O
08|09,1467,146,,10.0,,84.3,78.0,X
08|10,1415,151,,10.7,,87.1,81.7,O
08|11,1329,143,,10.8,,91.7,88.0,O
08|12,1210,115,,9.5,,69.5,87.9,O
08|13,1117,107,,9.6,,76.1,76.9,X
08|14,923,94,,10.2,,78.7,82.7,O
08|15,809,83,,10.3,,89.7,67.6,X
08|16,668,78,,11.7,,65.9,82.2,O
09|01,1773,157,,8.9,,50.8,68.1,X
09|02,1765,173,,9.8,,86.1,79.4,X
09|03,1754,168,,9.6,,71.6,77.5,X
09|04,1737,187,,10.8,,75.7,76.9,X
09|05,1768,169,,9.6,,82.9,81.9,O
09|06,1764,178,,10.1,,81.0,78.7,X
09|07,1767,177,,10.0,,88.0,88.6,O
09|08,1778,180,,10.1,,68.6,88.4,O
09|09,1761,161,,9.1,,82.9,73.1,X
09|10,1657,189,,11.4,,104.4,90.7,O
09|11,1600,174,,10.9,,88.4,80.8,O
09|12,1512,143,,9.5,,83.9,83.5,O
09|13,1350,119,,8.8,,78.0,76.9,X
09|14,1223,114,,9.3,,91.3,92.5,O
09|15,1023,97,,9.5,,84.1,86.7,O
09|16,797,77,,9.7,,102.6,91.4,O
10|01,691,57,,8.2,,79.0,80.7,O
10|02,716,49,,6.8,,98.7,86.7,O
10|03,706,60,,8.5,,92.0,77.8,X
10|04,688,63,,9.2,,90.5,85.1,O
10|05,680,68,,10.0,,85.3,97.1,O
10|06,677,70,,10.3,,103.8,84.0,O
10|07,677,47,,6.9,,56.2,68.3,X
10|08,705,68,,9.6,,76.5,78.7,X
10|09,669,56,,8.4,,59.4,66.3,X
10|10,649,59,,9.1,,66.6,77.0,X
10|11,679,56,,8.2,,84.2,74.4,X
10|12,580,50,,8.6,,91.6,81.4,O
10|13,476,39,,8.2,,94.7,70.1,X
10|14,439,41,,9.3,,60.3,79.8,X
10|15,349,31,,8.9,,75.8,91.9,O
10|16,245,17,,6.9,,56.4,61.0,X
30|07,34,4,,11.8,,173.9,31.5,X
44|03,36,4,,11.1,,153.2,122.5,O
44|04,30,3,,10.0,,69.6,60.9,X
44|06,30,2,,6.7,,105.0,53.0,X
45|01,31,0,,0.0,,0.0,0.0,X
45|02,39,1,,2.6,,80.3,47.8,X
45|04,45,3,,6.7,,231.5,112.2,O
45|05,32,0,,0.0,,0.0,123.8,O
45|06,30,2,,6.7,,97.1,92.6,O
