bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1,2229,734,,32.9,,84.2,84.5,O
1|2,1836,339,,18.5,,73.7,78.6,X
1|3,1597,231,,14.5,,79.8,73.4,X
1|4,1405,155,,11.0,,68.5,74.6,X
1|5,1317,116,,8.8,,83.3,82.6,O
1|6,1205,104,,8.6,,93.6,79.2,X
1|7,1088,65,,6.0,,67.6,80.5,O
2|1,7244,2240,,30.9,,76.3,83.3,O
2|2,6234,1149,,18.4,,76.1,81.7,O
2|3,5644,729,,12.9,,71.5,78.6,X
2|4,5054,489,,9.7,,74.9,76.4,X
2|5,4569,353,,7.7,,72.4,77.4,X
2|6,3948,281,,7.1,,82.8,84.1,O
2|7,3775,206,,5.5,,75.8,73.6,X
3|1,4193,1223,,29.2,,84.1,87.3,O
3|2,5059,855,,16.9,,79.9,85.4,O
3|3,5309,604,,11.4,,76.0,79.3,X
3|4,5615,462,,8.2,,71.6,82.3,O
3|5,5536,411,,7.4,,91.1,83.0,O
3|6,5550,309,,5.6,,77.2,76.0,X
3|7,5118,231,,4.5,,74.4,80.8,O
4|1,1234,316,,25.6,,78.7,83.9,O
4|2,1748,252,,14.4,,76.6,80.2,O
4|3,2307,270,,11.7,,87.9,81.9,O
4|4,2730,216,,7.9,,74.8,82.6,O
4|5,3180,195,,6.1,,71.1,74.2,X
4|6,3431,154,,4.5,,70.4,71.3,X
4|7,3337,132,,4.0,,67.4,76.1,X
