bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|0.0,8228,1018,,12.4,,72.7,75.6,X
1|10.0,323,32,,9.9,,50.7,79.2,X
1|11.0,358,36,,10.1,,45.5,63.5,X
1|12.0,440,53,,12.0,,77.3,76.9,X
1|13.0,79,7,,8.9,,46.3,80.3,O
1|14.0,445,71,,16.0,,113.4,84.7,O
1|15.0,138,13,,9.4,,134.4,71.0,X
1|16.0,37,1,,2.7,,20.5,71.8,X
1|17.0,522,59,,11.3,,69.3,75.1,X
1|18.0,166,11,,6.6,,141.1,83.7,O
1|19.0,78,7,,9.0,,49.1,48.7,X
1|20.0,577,83,,14.4,,85.0,78.6,X
1|21.0,70,6,,8.6,,66.0,60.0,X
1|22.0,145,21,,14.5,,116.1,66.1,X
1|23.0,63,8,,12.7,,48.9,63.5,X
1|24.0,38,2,,5.3,,88.8,97.4,O
1|25.0,625,80,,12.8,,83.1,77.8,X
1|27.0,87,4,,4.6,,11.7,62.1,X
1|29.0,199,24,,12.1,,116.3,85.9,O
1|3.0,63,3,,4.8,,31.3,127.2,O
1|30.0,75,7,,9.3,,35.4,125.5,O
1|31.0,45,1,,2.2,,33.3,33.1,X
1|33.0,660,77,,11.7,,60.6,78.6,X
1|36.0,42,3,,7.1,,76.3,77.2,X
1|38.0,80,10,,12.5,,52.3,68.1,X
1|4.0,148,12,,8.1,,62.2,80.3,O
1|40.0,198,24,,12.1,,41.1,65.7,X
1|43.0,77,8,,10.4,,130.1,109.7,O
1|44.0,37,8,,21.6,,211.5,139.0,O
1|5.0,176,13,,7.4,,46.6,77.6,X
1|50.0,569,70,,12.3,,84.6,82.9,O
1|6.0,269,25,,9.3,,140.3,66.9,X
1|60.0,54,4,,7.4,,22.6,90.4,O
1|67.0,134,17,,12.7,,104.8,74.9,X
1|7.0,307,31,,10.1,,95.5,89.4,O
1|75.0,36,6,,16.7,,64.0,53.0,X
1|8.0,409,42,,10.3,,74.1,78.4,X
1|9.0,243,22,,9.1,,60.4,81.6,O
1|99.9,144,15,,10.4,,80.8,89.7,O
2|0.0,21707,2666,,12.3,,76.7,77.1,X
2|10.0,1020,115,,11.3,,93.0,88.9,O
2|11.0,1156,126,,10.9,,119.8,84.2,O
2|12.0,1416,163,,11.5,,85.2,67.3,X
2|13.0,351,27,,7.7,,70.7,88.0,O
2|14.0,1483,171,,11.5,,81.1,76.8,X
2|15.0,494,42,,8.5,,53.7,81.7,O
2|16.0,180,15,,8.3,,149.3,88.8,O
2|17.0,1680,196,,11.7,,72.8,82.0,O
2|18.0,584,51,,8.7,,66.3,80.4,O
2|19.0,267,16,,6.0,,52.9,62.7,X
2|20.0,1841,218,,11.8,,65.8,73.4,X
2|21.0,320,24,,7.5,,43.1,77.0,X
2|22.0,595,70,,11.8,,93.0,79.8,X
2|23.0,260,16,,6.2,,50.5,65.0,X
2|24.0,148,12,,8.1,,111.6,94.0,O
2|25.0,2122,252,,11.9,,70.9,78.2,X
2|26.0,69,5,,7.2,,63.3,86.8,O
2|27.0,388,39,,10.1,,77.2,100.3,O
2|28.0,73,6,,8.2,,240.5,109.7,O
2|29.0,737,105,,14.2,,88.1,72.3,X
2|3.0,179,11,,6.1,,56.6,77.9,X
2|30.0,286,37,,12.9,,103.6,80.3,O
2|31.0,176,16,,9.1,,80.4,77.1,X
2|32.0,52,8,,15.4,,243.7,125.6,O
2|33.0,2372,278,,11.7,,73.0,81.5,O
2|35.0,58,8,,13.8,,106.6,161.3,O
2|36.0,171,16,,9.4,,32.5,65.2,X
2|38.0,350,38,,10.9,,88.3,80.8,O
2|4.0,412,23,,5.6,,53.5,82.6,O
2|40.0,705,101,,14.3,,71.9,87.3,O
2|41.0,32,1,,3.1,,15.6,29.3,X
2|42.0,71,9,,12.7,,94.1,57.2,X
2|43.0,296,39,,13.2,,60.8,89.4,O
2|44.0,164,18,,11.0,,85.2,60.4,X
2|45.0,65,11,,16.9,,88.0,83.8,O
2|46.0,34,1,,2.9,,0.8,22.4,X
2|47.0,32,1,,3.1,,10.1,44.0,X
2|5.0,652,45,,6.9,,80.7,73.2,X
2|50.0,2254,303,,13.4,,81.7,82.0,O
2|55.0,40,6,,15.0,,55.9,88.4,O
2|56.0,59,4,,6.8,,32.7,61.2,X
2|57.0,108,14,,13.0,,96.3,70.9,X
2|6.0,891,75,,8.4,,65.3,81.2,O
2|60.0,271,31,,11.4,,47.8,89.1,O
2|62.0,69,7,,10.1,,63.6,78.1,X
2|67.0,658,84,,12.8,,81.2,84.3,O
2|7.0,863,82,,9.5,,68.9,85.6,O
2|71.0,46,4,,8.7,,47.5,56.5,X
2|75.0,202,19,,9.4,,56.0,92.3,O
2|8.0,1151,99,,8.6,,58.7,68.1,X
2|80.0,78,6,,7.7,,65.9,74.0,X
2|9.0,873,82,,9.4,,74.1,83.6,O
2|99.9,970,142,,14.6,,92.6,81.8,O
3|0.0,17712,1489,,8.4,,79.9,81.1,O
3|10.0,1128,84,,7.4,,67.7,79.1,X
3|11.0,1327,108,,8.1,,94.3,90.2,O
3|12.0,1731,124,,7.2,,51.6,73.9,X
3|13.0,482,39,,8.1,,111.0,79.9,X
3|14.0,1602,141,,8.8,,107.3,85.8,O
3|15.0,614,28,,4.6,,49.5,88.6,O
3|16.0,303,21,,6.9,,85.6,79.5,X
3|17.0,1815,162,,8.9,,91.7,84.5,O
3|18.0,778,43,,5.5,,42.3,69.1,X
3|19.0,415,21,,5.1,,36.9,67.3,X
3|2.0,38,1,,2.6,,37.8,115.5,O
3|20.0,2069,196,,9.5,,98.6,89.1,O
3|21.0,488,32,,6.6,,55.3,65.3,X
3|22.0,753,63,,8.4,,85.4,78.5,X
3|23.0,401,29,,7.2,,75.3,92.8,O
3|24.0,300,19,,6.3,,69.9,63.5,X
3|25.0,2462,203,,8.2,,83.8,84.5,O
3|26.0,194,17,,8.8,,180.7,95.8,O
3|27.0,548,31,,5.7,,54.8,72.8,X
3|28.0,135,5,,3.7,,53.7,49.1,X
3|29.0,947,71,,7.5,,67.1,81.1,O
3|3.0,284,13,,4.6,,59.1,56.1,X
3|30.0,445,34,,7.6,,58.8,67.3,X
3|31.0,288,23,,8.0,,67.3,79.2,X
3|32.0,123,6,,4.9,,84.0,105.7,O
3|33.0,2831,248,,8.8,,81.4,87.5,O
3|35.0,145,7,,4.8,,71.1,100.1,O
3|36.0,341,20,,5.9,,60.0,60.8,X
3|37.0,57,5,,8.8,,84.0,45.5,X
3|38.0,554,40,,7.2,,83.4,78.1,X
3|39.0,71,3,,4.2,,7.7,73.7,X
3|4.0,514,30,,5.8,,94.0,80.5,O
3|40.0,1051,74,,7.0,,55.0,71.1,X
3|41.0,76,8,,10.5,,81.8,61.4,X
3|42.0,149,17,,11.4,,235.1,92.3,O
3|43.0,468,34,,7.3,,60.2,76.8,X
3|44.0,234,19,,8.1,,95.0,96.6,O
3|45.0,148,11,,7.4,,40.2,73.5,X
3|46.0,95,8,,8.4,,52.9,86.4,O
3|47.0,81,11,,13.6,,72.0,73.6,X
3|48.0,37,3,,8.1,,125.5,144.5,O
3|5.0,751,39,,5.2,,53.4,91.3,O
3|50.0,3419,309,,9.0,,78.5,78.1,X
3|52.0,35,4,,11.4,,127.3,96.2,O
3|53.0,70,8,,11.4,,163.0,151.7,O
3|54.0,51,5,,9.8,,96.1,104.6,O
3|55.0,71,5,,7.0,,23.9,107.4,O
3|56.0,148,4,,2.7,,15.6,85.3,O
3|57.0,231,30,,13.0,,174.4,92.9,O
