bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|16,1638,183,,11.2,,74.7,72.2,X
1|17,1664,165,,9.9,,66.0,81.6,O
1|18,1625,195,,12.0,,73.1,68.1,X
1|19,1644,186,,11.3,,64.0,72.6,X
1|20,1719,210,,12.2,,74.0,75.7,X
1|21,1670,195,,11.7,,74.8,84.6,O
1|22,1678,194,,11.6,,75.4,77.7,X
1|23,1698,209,,12.3,,73.6,73.3,X
1|24,1668,218,,13.1,,75.6,79.5,X
1|25,1632,206,,12.6,,87.0,78.9,X
2|16,5120,584,,11.4,,76.8,79.8,X
2|17,5247,565,,10.8,,76.3,77.3,X
2|18,5121,596,,11.6,,74.2,76.8,X
2|19,5254,608,,11.6,,78.8,77.6,X
2|20,5264,589,,11.2,,80.7,78.6,X
2|21,5394,615,,11.4,,80.1,79.7,X
2|22,5214,631,,12.1,,76.3,78.5,X
2|23,5165,586,,11.3,,72.6,78.4,X
2|24,5143,624,,12.1,,79.5,77.4,X
2|25,5012,596,,11.9,,75.3,80.1,O
3|16,6365,506,,7.9,,87.2,82.3,O
3|17,6300,543,,8.6,,81.2,80.4,O
3|18,5985,471,,7.9,,80.6,85.6,O
3|19,5803,464,,8.0,,77.1,81.6,O
3|20,6101,455,,7.5,,65.5,80.4,O
3|21,6058,491,,8.1,,84.7,80.7,O
3|22,5672,464,,8.2,,68.6,80.2,O
3|23,5640,454,,8.0,,81.1,78.4,X
3|24,5626,468,,8.3,,80.6,82.3,O
3|25,5569,460,,8.3,,90.1,82.7,O
4|16,3832,211,,5.5,,83.7,78.5,X
4|17,3984,210,,5.3,,84.1,81.2,O
4|18,3733,211,,5.7,,84.8,81.0,O
4|19,3775,213,,5.6,,79.9,76.7,X
4|20,3946,235,,6.0,,87.5,79.8,X
4|21,3952,205,,5.2,,66.4,75.0,X
4|22,3475,186,,5.4,,72.6,75.5,X
4|23,3431,209,,6.1,,79.4,78.8,X
4|24,3480,188,,5.4,,73.8,69.2,X
4|25,3498,186,,5.3,,73.7,75.5,X
