bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|11,64,22,,34.4,,93.4,75.6,X
1|111,68,21,,30.9,,93.5,84.8,O
1|121,176,58,,33.0,,84.4,85.4,O
1|122,268,73,,27.2,,71.0,85.7,O
1|132,148,36,,24.3,,84.0,84.6,O
1|133,140,41,,29.3,,93.7,88.7,O
1|21,294,84,,28.6,,77.3,82.2,O
1|211,57,18,,31.6,,80.9,82.4,O
1|212,33,9,,27.3,,64.6,56.7,X
1|213,52,24,,46.2,,151.3,104.4,O
1|22,169,45,,26.6,,68.6,93.8,O
1|221,127,27,,21.3,,55.3,72.8,X
1|222,282,74,,26.2,,72.6,81.3,O
1|223,31,8,,25.8,,61.0,73.0,X
1|232,191,55,,28.8,,70.0,83.5,O
1|233,242,66,,27.3,,70.1,74.1,X
1|32,238,80,,33.6,,86.2,81.4,O
1|321,43,15,,34.9,,106.0,92.5,O
1|322,56,18,,32.1,,98.5,76.3,X
1|323,34,9,,26.5,,74.3,97.9,O
1|33,43,13,,30.2,,72.4,72.5,X
2|11,57,12,,21.1,,88.1,92.2,O
2|111,49,10,,20.4,,86.1,63.6,X
2|121,157,29,,18.5,,80.0,95.8,O
2|122,273,53,,19.4,,71.7,81.9,O
2|132,152,23,,15.1,,89.9,86.7,O
2|133,132,17,,12.9,,58.2,77.3,X
2|21,285,59,,20.7,,85.8,95.0,O
2|211,46,12,,26.1,,97.2,79.6,X
2|212,38,6,,15.8,,28.3,81.5,O
2|213,47,7,,14.9,,107.1,64.8,X
2|22,164,35,,21.3,,93.4,73.9,X
2|221,113,17,,15.0,,60.1,91.8,O
2|222,311,69,,22.2,,96.0,89.9,O
2|223,33,3,,9.1,,14.9,70.8,X
2|232,173,26,,15.0,,60.6,76.4,X
2|233,229,41,,17.9,,77.8,70.7,X
2|32,290,46,,15.9,,65.6,74.6,X
2|321,34,1,,2.9,,10.3,68.3,X
2|322,56,11,,19.6,,85.2,77.9,X
2|323,51,5,,9.8,,47.1,62.5,X
2|33,59,12,,20.3,,108.0,78.7,X
3|11,50,4,,8.0,,36.4,80.6,O
3|111,52,11,,21.2,,124.4,69.1,X
3|121,152,28,,18.4,,109.5,88.0,O
3|122,247,29,,11.7,,58.5,81.8,O
3|132,156,13,,8.3,,56.4,62.5,X
3|133,126,11,,8.7,,45.8,78.7,X
3|21,302,40,,13.2,,101.6,78.6,X
3|211,55,7,,12.7,,77.1,81.2,O
3|212,38,2,,5.3,,8.3,66.1,X
3|213,47,5,,10.6,,186.7,89.5,O
3|22,148,18,,12.2,,56.9,70.9,X
3|221,131,12,,9.2,,49.2,68.2,X
3|222,299,52,,17.4,,105.7,85.6,O
3|232,177,17,,9.6,,88.4,72.4,X
3|233,238,37,,15.5,,86.7,86.8,O
3|32,312,39,,12.5,,77.7,67.8,X
3|322,59,8,,13.6,,86.1,70.6,X
3|323,42,6,,14.3,,126.0,69.9,X
3|33,70,4,,5.7,,46.2,70.4,X
4|11,57,5,,8.8,,52.5,64.5,X
4|111,47,5,,10.6,,77.1,74.5,X
4|121,145,11,,7.6,,72.0,103.4,O
4|122,237,21,,8.9,,51.3,75.1,X
4|132,184,13,,7.1,,63.0,72.1,X
4|133,133,8,,6.0,,51.0,66.3,X
4|21,287,36,,12.5,,107.3,72.2,X
4|211,55,5,,9.1,,123.6,58.7,X
4|212,31,3,,9.7,,42.6,120.2,O
4|213,36,3,,8.3,,142.2,60.0,X
4|22,153,10,,6.5,,38.9,60.1,X
4|221,98,11,,11.2,,76.5,87.7,O
4|222,286,35,,12.2,,86.2,70.9,X
4|223,31,1,,3.2,,28.3,51.5,X
4|232,166,19,,11.4,,113.1,101.6,O
4|233,238,28,,11.8,,98.5,93.6,O
4|32,346,30,,8.7,,72.3,81.8,O
4|322,51,8,,15.7,,165.7,90.2,O
4|323,44,1,,2.3,,5.3,83.4,O
4|33,57,4,,7.0,,45.1,96.3,O
5|11,69,6,,8.7,,89.9,98.6,O
5|111,52,3,,5.8,,43.9,66.1,X
5|121,135,13,,9.6,,108.8,70.4,X
5|122,236,19,,8.1,,63.3,110.0,O
