bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|16,1590,477,,30.0,,79.5,88.3,O
1|17,1585,489,,30.9,,83.1,85.4,O
1|18,1578,482,,30.5,,82.9,88.5,O
1|19,1580,438,,27.7,,71.7,83.0,O
1|20,1609,486,,30.2,,81.9,86.3,O
1|21,1610,473,,29.4,,79.5,82.1,O
1|22,1593,501,,31.5,,82.1,83.4,O
1|23,1562,466,,29.8,,79.8,86.4,O
1|24,1623,498,,30.7,,77.0,82.5,O
1|25,1557,496,,31.9,,82.2,85.3,O
2|16,1590,288,,18.1,,83.0,83.3,O
2|17,1587,273,,17.2,,78.4,85.1,O
2|18,1579,275,,17.4,,78.6,78.8,X
2|19,1575,271,,17.2,,80.2,80.5,O
2|20,1611,278,,17.3,,78.5,80.4,O
2|21,1609,270,,16.8,,74.7,81.5,O
2|22,1587,275,,17.3,,78.0,83.0,O
2|23,1566,267,,17.0,,73.1,81.5,O
2|24,1608,275,,17.1,,73.2,84.1,O
2|25,1561,281,,18.0,,78.5,80.9,O
3|16,1591,186,,11.7,,73.7,82.2,O
3|17,1578,193,,12.2,,76.1,84.4,O
3|18,1583,196,,12.4,,85.7,79.1,X
3|19,1570,193,,12.3,,71.9,75.6,X
3|20,1602,195,,12.2,,78.8,77.2,X
3|21,1605,197,,12.3,,73.0,78.0,X
3|22,1589,213,,13.4,,85.7,74.7,X
3|23,1565,198,,12.7,,74.7,78.5,X
3|24,1621,211,,13.0,,83.0,79.9,X
3|25,1552,184,,11.9,,65.7,81.2,O
4|16,1581,140,,8.9,,77.1,79.9,X
4|17,1587,143,,9.0,,76.4,80.2,O
4|18,1572,149,,9.5,,77.2,83.0,O
4|19,1564,157,,10.0,,82.1,81.8,O
4|20,1601,116,,7.2,,58.3,75.1,X
4|21,1604,140,,8.7,,71.0,77.5,X
4|22,1582,128,,8.1,,58.6,74.2,X
4|23,1560,156,,10.0,,83.5,77.0,X
4|24,1610,156,,9.7,,80.7,86.7,O
4|25,1551,127,,8.2,,70.6,80.6,O
5|16,1562,97,,6.2,,68.5,78.1,X
5|17,1569,123,,7.8,,90.9,82.7,O
5|18,1558,100,,6.4,,63.2,82.0,O
5|19,1566,126,,8.0,,89.5,81.0,O
5|20,1580,123,,7.8,,83.0,76.3,X
5|21,1588,129,,8.1,,86.2,79.9,X
5|22,1557,119,,7.6,,69.6,76.7,X
5|23,1533,110,,7.2,,89.1,84.9,O
5|24,1573,115,,7.3,,81.3,75.8,X
5|25,1520,97,,6.4,,71.5,77.8,X
6|16,1521,102,,6.7,,84.2,77.1,X
6|17,1528,98,,6.4,,85.8,73.8,X
6|18,1516,86,,5.7,,68.3,77.8,X
6|19,1525,104,,6.8,,97.0,78.6,X
6|20,1534,83,,5.4,,64.7,80.3,O
6|21,1541,102,,6.6,,91.5,78.8,X
6|22,1509,93,,6.2,,85.1,80.5,O
6|23,1491,82,,5.5,,76.1,80.1,O
6|24,1513,80,,5.3,,77.9,74.2,X
6|25,1463,85,,5.8,,75.1,73.4,X
7|16,1439,66,,4.6,,85.6,73.6,X
7|17,1476,76,,5.1,,80.3,78.1,X
7|18,1424,73,,5.1,,92.6,77.7,X
7|19,1418,68,,4.8,,73.9,82.4,O
7|20,1471,76,,5.2,,78.9,75.3,X
7|21,1469,63,,4.3,,56.5,67.2,X
7|22,1419,66,,4.7,,78.0,76.7,X
7|23,1405,67,,4.8,,87.6,81.3,O
7|24,1396,60,,4.3,,67.6,77.5,X
7|25,1383,72,,5.2,,79.9,84.6,O
