bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|01,1088,320,,29.4,,84.3,81.0,O
1|02,1060,291,,27.5,,81.5,85.1,O
1|03,1108,293,,26.4,,67.9,78.6,X
1|04,1098,315,,28.7,,80.6,83.9,O
1|05,1099,317,,28.8,,72.4,79.6,X
1|06,1080,309,,28.6,,79.2,79.3,X
1|07,1124,317,,28.2,,75.4,81.9,O
1|08,1102,301,,27.3,,73.2,82.0,O
1|09,1145,305,,26.6,,66.2,81.6,O
1|10,1073,333,,31.0,,85.3,86.9,O
1|11,1047,312,,29.8,,95.4,91.0,O
1|12,982,262,,26.7,,72.6,85.0,O
1|13,909,275,,30.3,,80.9,80.8,O
1|14,783,247,,31.5,,84.7,87.8,O
1|15,701,208,,29.7,,89.0,87.5,O
1|16,480,141,,29.4,,81.9,91.8,O
2|01,1118,199,,17.8,,79.4,83.4,O
2|02,1120,183,,16.3,,74.9,78.1,X
2|03,1134,200,,17.6,,72.9,81.4,O
2|04,1130,211,,18.7,,81.9,78.1,X
2|05,1102,170,,15.4,,70.7,76.9,X
2|06,1120,210,,18.8,,83.5,79.2,X
2|07,1149,230,,20.0,,84.9,76.8,X
2|08,1177,209,,17.8,,75.0,82.8,O
2|09,1101,197,,17.9,,74.6,82.5,O
2|10,1081,202,,18.7,,82.4,83.9,O
2|11,1018,182,,17.9,,72.0,80.9,O
2|12,924,184,,19.9,,83.5,83.4,O
2|13,864,133,,15.4,,60.8,73.9,X
2|14,685,115,,16.8,,65.1,81.0,O
2|15,640,126,,19.7,,81.3,74.6,X
2|16,492,88,,17.9,,79.6,85.3,O
3|01,1143,137,,12.0,,72.7,77.5,X
3|02,1115,140,,12.6,,67.1,74.8,X
3|03,1134,152,,13.4,,77.1,77.5,X
3|04,1093,151,,13.8,,77.8,84.8,O
3|05,1156,155,,13.4,,85.7,85.7,O
3|06,1132,157,,13.9,,88.2,77.5,X
3|07,1090,148,,13.6,,84.5,82.5,O
3|08,1076,147,,13.7,,81.3,84.0,O
3|09,1102,130,,11.8,,70.7,79.2,X
3|10,1073,161,,15.0,,83.9,83.7,O
3|11,987,167,,16.9,,97.7,85.5,O
3|12,1008,139,,13.8,,79.1,80.9,O
3|13,853,128,,15.0,,72.2,74.8,X
3|14,746,96,,12.9,,82.1,82.4,O
3|15,673,86,,12.8,,71.5,71.9,X
3|16,505,83,,16.4,,90.9,95.2,O
4|01,1099,85,,7.7,,56.6,70.9,X
4|02,1062,108,,10.2,,83.5,82.4,O
4|03,1180,117,,9.9,,83.6,82.8,O
4|04,1103,96,,8.7,,64.5,72.4,X
4|05,1156,103,,8.9,,69.6,72.8,X
4|06,1131,113,,10.0,,70.2,78.8,X
4|07,1152,105,,9.1,,76.2,78.6,X
4|08,1178,118,,10.0,,78.4,86.4,O
4|09,1090,109,,10.0,,79.6,74.6,X
4|10,1037,103,,9.9,,74.0,79.7,X
4|11,1029,90,,8.7,,64.8,74.5,X
4|12,979,114,,11.6,,82.2,83.5,O
4|13,835,89,,10.7,,79.8,80.2,O
4|14,741,73,,9.9,,69.4,74.4,X
4|15,653,51,,7.8,,64.6,74.9,X
4|16,429,49,,11.4,,77.3,81.8,O
5|01,1119,72,,6.4,,65.0,63.4,X
5|02,1168,76,,6.5,,65.1,76.1,X
5|03,1134,76,,6.7,,65.3,72.2,X
5|04,1064,91,,8.6,,81.2,81.2,O
5|05,1106,82,,7.4,,70.4,71.3,X
5|06,1072,93,,8.7,,78.3,72.8,X
5|07,1169,87,,7.4,,68.1,79.2,X
5|08,1172,116,,9.9,,92.8,84.9,O
5|09,1089,81,,7.4,,67.7,78.2,X
5|10,1051,84,,8.0,,64.9,77.8,X
5|11,1002,65,,6.5,,68.8,70.9,X
5|12,945,78,,8.3,,68.7,74.7,X
5|13,833,55,,6.6,,68.8,75.6,X
5|14,745,51,,6.8,,63.8,76.7,X
5|15,616,51,,8.3,,98.5,80.6,O
5|16,478,46,,9.6,,112.9,78.2,X
6|01,1008,58,,5.8,,91.4,81.2,O
6|02,1036,58,,5.6,,84.1,75.5,X
6|03,995,53,,5.3,,87.3,65.3,X
6|04,992,63,,6.4,,61.9,78.9,X
6|05,1067,57,,5.3,,66.1,70.7,X
6|06,1076,65,,6.0,,73.1,80.0,O
6|07,1010,71,,7.0,,108.1,96.4,O
6|08,1043,75,,7.2,,72.9,79.1,X
6|09,1064,49,,4.6,,67.1,73.5,X
6|10,1091,59,,5.4,,94.3,79.7,X
6|11,981,59,,6.0,,101.7,85.3,O
6|12,995,65,,6.5,,101.6,85.4,O
6|13,824,45,,5.5,,83.1,82.2,O
6|14,842,56,,6.7,,84.5,72.1,X
6|15,723,39,,5.4,,74.9,79.1,X
6|16,602,35,,5.8,,109.8,72.1,X
