bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-0.1,11352,1084,,9.5,,88.5,81.0,O
-0.2,10171,913,,9.0,,75.6,80.9,O
-0.3,13699,1213,,8.9,,76.8,81.1,O
-0.4,10562,880,,8.3,,84.2,77.9,X
-0.5,7378,608,,8.2,,75.4,80.6,O
-0.6,7236,563,,7.8,,75.4,73.3,X
-0.7,5034,412,,8.2,,76.4,77.8,X
-0.8,3427,236,,6.9,,68.4,83.5,O
-0.9,2423,180,,7.4,,75.2,86.4,O
-1.0,8772,647,,7.4,,73.7,77.0,X
-1.1,1375,104,,7.6,,84.6,71.2,X
-1.2,1059,79,,7.5,,63.9,81.7,O
-1.3,1027,81,,7.9,,74.2,79.5,X
-1.4,753,68,,9.0,,91.1,83.3,O
-1.5,371,32,,8.6,,85.6,81.1,O
-1.6,322,24,,7.5,,106.3,82.8,O
-1.7,117,4,,3.4,,22.5,76.8,X
-1.8,57,5,,8.8,,260.3,131.2,O
-1.9,30,3,,10.0,,155.3,83.4,O
-2.0,908,74,,8.1,,70.7,69.6,X
-2.3,30,1,,3.3,,142.6,69.6,X
-3.0,43,4,,9.3,,79.0,30.8,X
0.0,51802,4800,,9.3,,78.3,79.9,X
0.1,5886,595,,10.1,,79.3,79.0,X
0.2,4766,496,,10.4,,76.4,78.1,X
0.3,5451,585,,10.7,,79.7,76.9,X
0.4,3720,379,,10.2,,74.4,78.0,X
0.5,1848,204,,11.0,,73.0,71.6,X
0.6,1356,157,,11.6,,87.3,77.4,X
0.7,777,89,,11.5,,63.4,70.6,X
0.8,371,49,,13.2,,61.0,72.9,X
0.9,181,18,,9.9,,52.6,77.3,X
1.0,1518,159,,10.5,,59.1,68.9,X
1.2,36,2,,5.6,,29.3,58.0,X
1.3,58,4,,6.9,,37.2,79.5,X
2.0,78,8,,10.3,,31.2,29.1,X
