bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0|千歳,402,61,,15.2,,56.7,78.0,X
1.0|安平,918,223,,24.3,,66.0,74.8,X
1.0|平取,55,11,,20.0,,264.4,89.7,O
1.0|新ひだか,587,75,,12.8,,60.3,82.6,O
1.0|新冠,478,65,,13.6,,140.1,99.0,O
1.0|日高,445,80,,18.0,,86.4,74.0,X
1.0|洞爺湖,42,11,,26.2,,72.6,91.2,O
1.0|浦河,532,66,,12.4,,79.8,79.4,X
1.0|白老,145,26,,17.9,,52.7,78.1,X
1.0|米,50,14,,28.0,,104.5,68.4,X
10.0|千歳,232,15,,6.5,,78.6,71.4,X
10.0|安平,358,32,,8.9,,105.4,66.0,X
10.0|平取,44,4,,9.1,,71.0,90.8,O
10.0|新ひだか,539,18,,3.3,,32.5,49.6,X
10.0|新冠,451,24,,5.3,,65.0,83.1,O
10.0|日高,351,12,,3.4,,24.6,65.3,X
10.0|浦河,397,24,,6.0,,74.7,70.7,X
10.0|白老,58,6,,10.3,,172.1,117.9,O
10.0|米,41,3,,7.3,,83.2,71.8,X
11.0|千歳,201,13,,6.5,,63.4,59.4,X
11.0|安平,353,36,,10.2,,109.9,95.2,O
11.0|平取,44,3,,6.8,,46.1,39.3,X
11.0|新ひだか,456,20,,4.4,,46.6,64.7,X
11.0|新冠,357,16,,4.5,,43.8,61.3,X
11.0|日高,336,16,,4.8,,74.8,66.2,X
11.0|浦河,343,20,,5.8,,121.9,87.6,O
11.0|白老,70,3,,4.3,,27.1,32.9,X
11.0|米,34,5,,14.7,,134.0,53.7,X
12.0|千歳,172,7,,4.1,,79.8,70.4,X
12.0|安平,298,19,,6.4,,72.8,66.3,X
12.0|平取,34,3,,8.8,,45.4,27.5,X
12.0|新ひだか,434,27,,6.2,,82.2,86.5,O
12.0|新冠,310,16,,5.2,,81.8,90.2,O
12.0|日高,311,14,,4.5,,47.5,69.6,X
12.0|浦河,319,14,,4.4,,104.0,80.1,O
12.0|白老,65,3,,4.6,,47.2,46.8,X
13.0|千歳,157,4,,2.5,,20.1,75.8,X
13.0|安平,239,12,,5.0,,60.8,86.4,O
13.0|新ひだか,375,26,,6.9,,102.8,86.9,O
13.0|新冠,285,19,,6.7,,123.8,82.7,O
13.0|日高,264,19,,7.2,,79.9,94.2,O
13.0|浦河,278,16,,5.8,,76.9,101.0,O
13.0|白老,57,4,,7.0,,22.5,108.7,O
13.0|米,35,5,,14.3,,201.0,136.5,O
14.0|千歳,124,7,,5.6,,128.3,65.0,X
14.0|安平,229,15,,6.6,,66.4,71.2,X
14.0|平取,32,1,,3.1,,39.1,41.2,X
14.0|新ひだか,334,18,,5.4,,92.4,72.4,X
14.0|新冠,253,20,,7.9,,138.1,71.5,X
14.0|日高,199,10,,5.0,,161.3,76.6,X
14.0|浦河,225,5,,2.2,,23.8,87.2,O
14.0|白老,44,3,,6.8,,36.3,58.2,X
15.0|千歳,122,5,,4.1,,192.0,95.3,O
15.0|安平,147,5,,3.4,,24.8,59.0,X
15.0|新ひだか,237,10,,4.2,,100.2,80.9,O
15.0|新冠,179,11,,6.1,,140.5,89.1,O
15.0|日高,158,10,,6.3,,57.2,62.3,X
15.0|浦河,179,2,,1.1,,4.1,48.6,X
16.0|千歳,53,4,,7.5,,162.0,136.3,O
16.0|安平,125,5,,4.0,,94.4,54.8,X
16.0|新ひだか,181,4,,2.2,,70.3,89.1,O
16.0|新冠,158,6,,3.8,,95.7,64.4,X
16.0|日高,140,7,,5.0,,62.4,79.0,X
16.0|浦河,143,14,,9.8,,169.7,126.1,O
17.0|安平,46,2,,4.3,,129.5,145.5,O
17.0|新ひだか,44,3,,6.8,,338.2,161.2,O
17.0|新冠,33,2,,6.1,,17.9,30.8,X
17.0|日高,37,2,,5.4,,71.2,68.2,X
17.0|浦河,37,0,,0.0,,0.0,156.1,O
18.0|安平,30,1,,3.3,,20.3,61.5,X
18.0|新ひだか,35,1,,2.9,,4.4,72.6,X
18.0|浦河,34,2,,5.9,,75.4,120.0,O
2.0|千歳,389,45,,11.6,,94.9,89.3,O
2.0|安平,703,114,,16.2,,58.8,77.2,X
2.0|平取,56,4,,7.1,,76.9,46.4,X
2.0|新ひだか,616,71,,11.5,,98.4,82.4,O
2.0|新冠,519,57,,11.0,,81.1,73.8,X
2.0|日高,471,57,,12.1,,59.6,55.6,X
2.0|洞爺湖,39,2,,5.1,,33.9,65.4,X
2.0|浦河,539,57,,10.6,,69.3,76.4,X
2.0|白老,131,21,,16.0,,67.8,67.3,X
2.0|米,52,7,,13.5,,61.2,63.1,X
3.0|むかわ,31,2,,6.5,,30.4,181.2,O
3.0|千歳,356,44,,12.4,,59.1,89.5,O
3.0|安平,623,109,,17.5,,102.0,83.1,O
3.0|平取,62,7,,11.3,,61.9,50.2,X
3.0|新ひだか,680,59,,8.7,,99.8,88.9,O
3.0|新冠,517,70,,13.5,,111.1,79.0,X
3.0|日高,456,45,,9.9,,57.0,69.8,X
3.0|洞爺湖,35,6,,17.1,,121.1,59.1,X
3.0|浦河,540,42,,7.8,,70.3,76.7,X
3.0|白老,127,18,,14.2,,105.9,70.2,X
3.0|米,42,3,,7.1,,50.0,82.6,O
4.0|千歳,353,39,,11.0,,73.8,82.1,O
4.0|安平,594,85,,14.3,,85.6,78.9,X
4.0|平取,55,8,,14.5,,70.0,113.2,O
4.0|新ひだか,663,66,,10.0,,73.5,71.7,X
4.0|新冠,513,44,,8.6,,79.1,83.6,O
4.0|日高,478,47,,9.8,,90.2,99.4,O
4.0|浦河,523,58,,11.1,,80.1,90.3,O
4.0|白老,116,7,,6.0,,12.3,56.6,X
4.0|米,39,4,,10.3,,61.4,77.6,X
5.0|むかわ,36,0,,0.0,,0.0,80.4,O
5.0|千歳,297,26,,8.8,,58.2,81.7,O
5.0|安平,596,59,,9.9,,93.9,67.0,X
5.0|平取,67,4,,6.0,,54.3,48.1,X
5.0|新ひだか,662,68,,10.3,,80.4,77.3,X
5.0|新冠,513,36,,7.0,,85.0,73.7,X
5.0|日高,445,41,,9.2,,94.5,74.7,X
5.0|洞爺湖,35,4,,11.4,,120.7,99.0,O
5.0|浦河,548,34,,6.2,,48.7,59.8,X
5.0|白老,122,12,,9.8,,110.7,96.2,O
5.0|米,39,6,,15.4,,111.7,76.6,X
6.0|千歳,318,31,,9.7,,90.3,72.5,X
6.0|安平,533,44,,8.3,,62.6,72.5,X
6.0|平取,63,6,,9.5,,67.6,96.3,O
6.0|新ひだか,612,52,,8.5,,82.3,64.4,X
6.0|新冠,546,39,,7.1,,107.8,93.6,O
6.0|日高,472,33,,7.0,,107.0,80.9,O
6.0|洞爺湖,36,6,,16.7,,67.8,56.4,X
6.0|浦河,514,55,,10.7,,113.8,78.8,X
6.0|白老,125,9,,7.2,,93.2,66.4,X
6.0|米,38,7,,18.4,,148.7,83.8,O
7.0|むかわ,32,2,,6.2,,296.3,132.6,O
7.0|千歳,285,19,,6.7,,50.1,85.5,O
7.0|安平,514,42,,8.2,,63.9,69.4,X
7.0|平取,54,1,,1.9,,4.1,56.2,X
7.0|新ひだか,682,49,,7.2,,72.6,76.0,X
7.0|新冠,518,30,,5.8,,61.9,100.2,O
7.0|日高,462,27,,5.8,,47.5,78.0,X
7.0|浦河,457,45,,9.8,,108.6,86.5,O
7.0|白老,110,10,,9.1,,101.9,77.6,X
7.0|米,34,2,,5.9,,72.2,26.6,X
8.0|むかわ,35,1,,2.9,,57.7,29.2,X
8.0|千歳,272,31,,11.4,,179.7,98.0,O
8.0|安平,491,39,,7.9,,55.9,62.3,X
8.0|平取,47,2,,4.3,,37.7,31.9,X
8.0|新ひだか,639,29,,4.5,,49.5,71.5,X
8.0|新冠,541,34,,6.3,,85.9,102.4,O
8.0|日高,439,19,,4.3,,49.4,65.1,X
8.0|浦河,480,34,,7.1,,113.8,92.6,O
8.0|白老,93,7,,7.5,,47.6,74.1,X
9.0|千歳,230,13,,5.7,,64.0,84.0,O
9.0|安平,400,27,,6.8,,64.9,69.9,X
9.0|平取,55,3,,5.5,,54.0,51.6,X
9.0|新ひだか,589,41,,7.0,,105.2,90.0,O
9.0|新冠,469,27,,5.8,,76.0,83.1,O
9.0|日高,417,22,,5.3,,74.9,72.6,X
9.0|浦河,459,32,,7.0,,87.8,67.2,X
9.0|白老,103,8,,7.8,,58.7,124.9,O
9.0|米,37,3,,8.1,,19.6,53.4,X
