bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
稍重|1,2380,726,,30.5,,78.2,80.9,O
稍重|10,1500,44,,2.9,,95.3,81.3,O
稍重|11,1206,33,,2.7,,90.5,80.0,O
稍重|12,978,22,,2.2,,76.9,80.5,O
稍重|13,731,17,,2.3,,86.7,79.8,X
稍重|14,530,11,,2.1,,129.1,94.8,O
稍重|15,334,4,,1.2,,93.9,78.1,X
稍重|16,237,8,,3.4,,172.0,107.0,O
稍重|17,90,0,,0.0,,0.0,77.8,X
稍重|18,42,1,,2.4,,123.6,111.1,O
稍重|2,2381,440,,18.5,,76.5,81.7,O
稍重|3,2381,323,,13.6,,76.2,78.2,X
稍重|4,2375,236,,9.9,,79.1,74.7,X
稍重|5,2380,149,,6.3,,65.0,71.0,X
稍重|6,2352,132,,5.6,,78.7,74.9,X
稍重|7,2245,96,,4.3,,80.1,76.3,X
稍重|8,2067,80,,3.9,,74.5,74.2,X
稍重|9,1796,50,,2.8,,67.7,79.5,X
良|1,12260,3952,,32.2,,78.9,84.1,O
良|10,7517,198,,2.6,,84.3,76.1,X
良|11,5921,141,,2.4,,85.8,79.1,X
良|12,4689,104,,2.2,,87.0,79.3,X
良|13,3494,77,,2.2,,108.6,90.3,O
良|14,2533,36,,1.4,,78.3,75.9,X
良|15,1688,20,,1.2,,57.3,74.0,X
良|16,1087,18,,1.7,,68.0,91.3,O
良|17,407,8,,2.0,,117.6,74.5,X
良|18,215,1,,0.5,,41.7,47.5,X
良|2,12255,2326,,19.0,,78.3,81.0,O
良|3,12272,1698,,13.8,,79.9,80.6,O
良|4,12264,1134,,9.2,,75.9,79.4,X
良|5,12212,883,,7.2,,82.1,76.7,X
良|6,12065,611,,5.1,,74.0,73.6,X
良|7,11572,444,,3.8,,71.1,74.8,X
良|8,10526,351,,3.3,,76.2,78.0,X
良|9,9094,232,,2.6,,76.0,72.0,X
重以上|1,1146,303,,26.4,,69.5,75.3,X
重以上|10,762,24,,3.1,,116.6,93.8,O
重以上|11,650,17,,2.6,,102.4,85.2,O
重以上|12,515,11,,2.1,,87.0,85.6,O
重以上|13,380,8,,2.1,,79.9,89.7,O
重以上|14,291,3,,1.0,,24.3,64.8,X
重以上|15,193,6,,3.1,,94.0,82.5,O
重以上|16,139,2,,1.4,,112.1,100.5,O
重以上|17,62,2,,3.2,,340.8,186.8,O
重以上|18,35,0,,0.0,,0.0,132.1,O
重以上|2,1141,212,,18.6,,86.5,85.0,O
重以上|3,1146,153,,13.4,,79.8,82.6,O
重以上|4,1147,120,,10.5,,82.4,74.3,X
重以上|5,1145,88,,7.7,,89.1,77.9,X
重以上|6,1127,80,,7.1,,91.9,83.3,O
重以上|7,1098,46,,4.2,,83.9,79.1,X
重以上|8,1025,38,,3.7,,87.6,76.8,X
重以上|9,899,26,,2.9,,65.8,68.2,X
