bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
稍重|1.2,586,229,,39.1,,79.4,88.2,O
稍重|1.3,805,267,,33.2,,86.0,87.4,O
稍重|1.4,950,228,,24.0,,72.9,80.6,O
稍重|1.5,955,208,,21.8,,85.9,80.2,O
稍重|1.6,971,171,,17.6,,71.9,78.1,X
稍重|1.7,876,145,,16.6,,85.0,74.2,X
稍重|1.8,770,114,,14.8,,86.9,82.7,O
稍重|1.9,722,84,,11.6,,62.2,74.6,X
稍重|10.0,35,0,,0.0,,0.0,292.3,O
稍重|10.1,36,0,,0.0,,0.0,30.1,X
稍重|10.4,32,2,,6.2,,211.6,101.9,O
稍重|10.7,34,0,,0.0,,0.0,152.8,O
稍重|11.1,30,0,,0.0,,0.0,49.5,X
稍重|2.0,678,78,,11.5,,79.5,85.5,O
稍重|2.1,678,67,,9.9,,66.9,70.0,X
稍重|2.2,589,63,,10.7,,80.4,74.6,X
稍重|2.3,626,52,,8.3,,68.1,75.2,X
稍重|2.4,617,46,,7.5,,78.2,74.9,X
稍重|2.5,536,47,,8.8,,90.5,86.2,O
稍重|2.6,529,34,,6.4,,61.8,63.8,X
稍重|2.7,498,25,,5.0,,59.2,74.5,X
稍重|2.8,498,29,,5.8,,75.6,64.9,X
稍重|2.9,508,37,,7.3,,82.5,82.6,O
稍重|3.0,447,19,,4.3,,66.7,78.3,X
稍重|3.1,449,34,,7.6,,112.1,79.5,X
稍重|3.2,449,13,,2.9,,37.3,70.0,X
稍重|3.3,434,23,,5.3,,89.7,79.3,X
稍重|3.4,430,24,,5.6,,133.3,79.8,X
稍重|3.5,411,18,,4.4,,49.9,70.6,X
稍重|3.6,405,12,,3.0,,59.0,84.5,O
稍重|3.7,369,17,,4.6,,84.8,100.0,O
稍重|3.8,331,16,,4.8,,96.9,68.0,X
稍重|3.9,351,17,,4.8,,109.9,59.9,X
稍重|4.0,349,12,,3.4,,54.3,77.4,X
稍重|4.1,328,6,,1.8,,32.3,75.1,X
稍重|4.2,316,15,,4.7,,115.7,78.8,X
稍重|4.3,300,11,,3.7,,49.3,68.4,X
