bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
稍重|1,1111,72,,6.5,,71.8,75.0,X
稍重|2,628,36,,5.7,,61.6,64.2,X
稍重|3,1302,80,,6.1,,70.5,77.3,X
稍重|4,181,17,,9.4,,111.6,63.1,X
稍重|9,151,8,,5.3,,50.4,58.7,X
良|1,5417,373,,6.9,,86.3,78.2,X
良|2,2716,174,,6.4,,81.6,77.5,X
良|3,5689,323,,5.7,,74.1,72.5,X
良|4,793,56,,7.1,,109.9,76.7,X
良|9,652,37,,5.7,,48.5,56.9,X
重以上|1,584,41,,7.0,,108.5,82.7,O
重以上|2,267,24,,9.0,,128.4,94.9,O
重以上|3,687,31,,4.5,,42.5,71.9,X
重以上|4,113,3,,2.7,,14.3,61.9,X
重以上|9,86,5,,5.8,,43.7,57.2,X
