bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05|04,1418,233,,16.4,,83.1,77.4,X
05|05,93,24,,25.8,,79.7,69.2,X
05|06,913,93,,10.2,,74.9,76.8,X
05|11,31,8,,25.8,,39.6,58.1,X
05|12,601,83,,13.8,,64.2,82.0,O
05|14,3773,747,,19.8,,78.7,80.2,O
05|15,33082,2658,,8.0,,79.3,78.5,X
05|17,77,6,,7.8,,66.7,59.3,X
05|18,701,26,,3.7,,59.2,77.3,X
05|32,36,3,,8.3,,71.2,127.5,O
05|34,62,7,,11.3,,29.6,38.9,X
05|35,3833,189,,4.9,,80.5,80.7,O
05|38,228,5,,2.2,,64.2,67.7,X
05|62,60,2,,3.3,,97.1,143.7,O
10|04,574,115,,20.0,,73.0,83.1,O
10|06,202,32,,15.8,,114.4,92.6,O
10|09,250,30,,12.0,,64.8,76.1,X
10|11,2115,379,,17.9,,66.9,74.2,X
10|12,18974,1612,,8.5,,76.4,78.2,X
10|15,130,5,,3.8,,107.9,93.6,O
10|32,1254,48,,3.8,,100.7,72.2,X
10|62,30,1,,3.3,,218.8,82.1,O
16|03,73,15,,20.5,,101.4,85.0,O
16|04,368,48,,13.0,,65.8,66.8,X
16|06,233,24,,10.3,,73.9,66.5,X
16|08,940,145,,15.4,,77.9,75.8,X
16|09,9890,785,,7.9,,92.5,81.7,O
16|12,49,2,,4.1,,34.7,58.4,X
16|29,397,10,,2.5,,58.8,69.4,X
A3|06,50,1,,2.0,,0.7,4.3,X
A3|15,127,8,,6.3,,41.1,112.8,O
A3|17,6242,1434,,23.0,,72.8,80.5,O
A3|18,35980,2870,,8.0,,78.8,78.7,X
A3|37,65,11,,16.9,,106.0,66.1,X
A3|38,5033,236,,4.7,,78.1,80.4,O
OP|01,896,137,,15.3,,56.4,79.9,X
OP|02,1626,173,,10.6,,72.6,78.6,X
OP|03,2653,231,,8.7,,63.6,71.1,X
OP|04,5229,425,,8.1,,88.4,79.5,X
OP|05,579,65,,11.2,,69.0,76.7,X
OP|06,4585,295,,6.4,,79.1,79.1,X
OP|08,67,5,,7.5,,106.7,121.1,O
OP|09,475,31,,6.5,,74.8,82.5,O
OP|12,758,81,,10.7,,80.2,86.8,O
OP|14,247,22,,8.9,,75.4,92.3,O
OP|15,2485,254,,10.2,,82.8,77.1,X
OP|18,75,4,,5.3,,60.1,72.1,X
OP|24,34,1,,2.9,,4.0,93.8,O
OP|26,263,11,,4.2,,83.5,88.8,O
OP|32,50,3,,6.0,,39.5,71.8,X
OP|35,135,4,,3.0,,69.2,45.9,X
