bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05|-1.0,5105,115,,2.3,,84.1,76.9,X
05|0.0,13125,440,,3.4,,78.4,78.4,X
05|0.1,555,26,,4.7,,76.8,82.9,O
05|0.2,633,34,,5.4,,59.0,71.2,X
05|0.3,588,33,,5.6,,108.0,100.7,O
05|0.4,600,39,,6.5,,126.0,83.3,O
05|0.5,605,40,,6.6,,79.0,77.8,X
05|0.6,696,39,,5.6,,79.7,76.4,X
05|0.7,592,34,,5.7,,66.9,82.7,O
05|0.8,603,45,,7.5,,109.4,96.4,O
05|0.9,627,40,,6.4,,82.7,70.8,X
05|1.0,637,44,,6.9,,74.0,69.9,X
05|1.1,686,40,,5.8,,63.0,71.1,X
05|1.2,683,47,,6.9,,58.2,64.3,X
05|1.3,789,74,,9.4,,93.1,83.7,O
05|1.4,723,48,,6.6,,59.8,70.8,X
05|1.5,724,56,,7.7,,65.2,70.2,X
05|1.6,734,57,,7.8,,66.6,85.0,O
05|1.7,782,66,,8.4,,70.2,79.7,X
05|1.8,715,69,,9.7,,77.6,76.3,X
05|1.9,741,60,,8.1,,74.1,73.9,X
05|2.0,774,90,,11.6,,85.3,80.9,O
05|2.1,710,72,,10.1,,80.1,80.2,O
05|2.2,766,81,,10.6,,64.3,75.7,X
05|2.3,778,95,,12.2,,71.7,76.5,X
05|2.4,723,92,,12.7,,71.6,73.5,X
05|2.5,700,101,,14.4,,83.2,81.3,O
05|2.6,752,118,,15.7,,87.3,78.6,X
05|2.7,725,115,,15.9,,86.3,87.7,O
05|2.8,698,102,,14.6,,72.7,73.8,X
05|2.9,630,106,,16.8,,84.9,80.9,O
05|3.0,659,125,,19.0,,81.3,75.9,X
05|3.1,624,121,,19.4,,76.6,79.1,X
05|3.2,632,123,,19.5,,74.6,85.0,O
05|3.3,534,102,,19.1,,67.8,77.8,X
05|3.4,510,128,,25.1,,92.7,89.1,O
05|3.5,486,102,,21.0,,64.0,78.5,X
05|3.6,491,107,,21.8,,71.9,80.4,O
05|3.7,428,119,,27.8,,87.1,79.9,X
05|3.8,390,105,,26.9,,75.9,79.8,X
