bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05|1,2382,170,,7.1,,94.6,80.2,O
05|2,1248,80,,6.4,,61.1,58.3,X
05|3,2830,181,,6.4,,85.9,79.7,X
05|4,379,24,,6.3,,105.4,72.8,X
05|9,328,24,,7.3,,68.6,67.1,X
10|1,240,17,,7.1,,104.7,71.1,X
10|2,132,9,,6.8,,177.9,99.5,O
10|3,252,7,,2.8,,40.7,64.7,X
10|4,39,2,,5.1,,55.6,91.6,O
A1|1,1063,66,,6.2,,81.6,69.5,X
A1|2,450,28,,6.2,,121.6,93.8,O
A1|3,881,37,,4.2,,55.5,60.4,X
A1|4,126,10,,7.9,,74.2,56.1,X
A1|9,130,6,,4.6,,40.2,69.9,X
A3|1,3427,233,,6.8,,79.7,79.7,X
A3|2,1781,117,,6.6,,75.9,82.3,O
A3|3,3715,209,,5.6,,64.0,71.9,X
A3|4,543,40,,7.4,,105.7,75.3,X
A3|9,417,20,,4.8,,36.8,46.9,X
