bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05|00,796,52,,6.5,,95.1,80.6,O
05|01,4227,439,,10.4,,79.6,75.0,X
05|02,5422,601,,11.1,,78.0,82.8,O
05|03,4526,486,,10.7,,71.4,78.7,X
05|04,3865,379,,9.8,,63.8,75.1,X
05|05,3564,376,,10.5,,82.4,79.1,X
05|06,3336,320,,9.6,,79.6,83.5,O
05|07,3484,304,,8.7,,81.6,76.8,X
05|08,2906,249,,8.6,,99.2,81.0,O
05|09,2649,198,,7.5,,79.5,77.6,X
05|10,2288,166,,7.3,,70.2,76.3,X
05|11,2017,140,,6.9,,82.8,74.3,X
05|12,1640,106,,6.5,,77.3,82.9,O
05|13,1475,91,,6.2,,61.2,75.1,X
05|14,1055,75,,7.1,,117.2,81.2,O
05|15,881,61,,6.9,,99.5,88.4,O
05|16,539,29,,5.4,,53.7,65.1,X
05|17,240,12,,5.0,,50.1,64.6,X
05|18,126,6,,4.8,,28.4,73.5,X
10|00,322,20,,6.2,,75.4,91.4,O
10|01,2210,243,,11.0,,94.5,78.2,X
10|02,2811,317,,11.3,,83.9,79.6,X
10|03,2513,306,,12.2,,91.5,83.3,O
10|04,2040,212,,10.4,,72.0,79.1,X
10|05,2038,229,,11.2,,81.2,81.4,O
10|06,1892,173,,9.1,,70.7,73.6,X
10|07,1827,166,,9.1,,65.5,76.2,X
10|08,1681,134,,8.0,,57.5,74.4,X
10|09,1397,114,,8.2,,83.6,68.7,X
10|10,1261,98,,7.8,,51.9,76.3,X
10|11,1033,79,,7.6,,72.2,72.5,X
10|12,825,48,,5.8,,39.0,68.7,X
10|13,676,38,,5.6,,74.2,85.7,O
10|14,477,33,,6.9,,139.3,81.1,O
10|15,341,15,,4.4,,88.1,91.1,O
10|16,229,13,,5.7,,157.4,97.3,O
10|17,81,1,,1.2,,5.1,29.4,X
10|18,44,2,,4.5,,23.2,48.1,X
16|00,181,13,,7.2,,66.7,67.9,X
16|01,1050,108,,10.3,,97.1,80.9,O
16|02,1452,146,,10.1,,90.0,90.6,O
16|03,1217,127,,10.4,,75.8,80.9,O
16|04,990,94,,9.5,,111.4,87.9,O
16|05,986,100,,10.1,,87.9,78.3,X
16|06,907,69,,7.6,,74.3,80.4,O
16|07,933,76,,8.1,,79.2,77.9,X
16|08,806,49,,6.1,,64.0,74.8,X
16|09,721,64,,8.9,,125.3,82.8,O
16|10,589,46,,7.8,,95.9,76.6,X
16|11,536,37,,6.9,,50.8,59.1,X
16|12,498,35,,7.0,,120.7,84.2,O
16|13,373,26,,7.0,,86.7,74.3,X
16|14,298,17,,5.7,,47.5,65.2,X
16|15,217,15,,6.9,,198.7,111.6,O
16|16,139,9,,6.5,,67.8,52.3,X
16|17,65,4,,6.2,,77.6,83.5,O
16|18,45,1,,2.2,,4.5,19.3,X
A3|00,252,22,,8.7,,133.1,73.1,X
A3|01,3647,417,,11.4,,68.5,75.3,X
A3|02,5614,741,,13.2,,84.8,80.0,O
A3|03,4837,570,,11.8,,72.7,76.8,X
A3|04,4143,485,,11.7,,76.7,81.4,O
A3|05,4147,448,,10.8,,71.7,79.1,X
A3|06,3573,365,,10.2,,82.8,78.5,X
A3|07,3929,343,,8.7,,72.9,78.3,X
A3|08,3307,264,,8.0,,86.0,77.3,X
A3|09,2957,230,,7.8,,68.8,77.5,X
A3|10,2689,197,,7.3,,99.1,84.1,O
A3|11,2301,144,,6.3,,70.7,86.1,O
A3|12,1796,86,,4.8,,53.3,67.8,X
A3|13,1515,85,,5.6,,86.8,78.2,X
A3|14,1165,80,,6.9,,106.9,90.5,O
A3|15,794,38,,4.8,,62.6,95.7,O
A3|16,542,39,,7.2,,100.6,87.9,O
A3|17,205,6,,2.9,,47.6,50.9,X
A3|18,96,6,,6.2,,102.0,56.7,X
OP|00,579,48,,8.3,,77.2,77.0,X
OP|01,2190,196,,8.9,,72.0,76.0,X
OP|02,2554,270,,10.6,,98.8,86.7,O
OP|03,2055,198,,9.6,,82.2,81.1,O
OP|04,1710,171,,10.0,,98.6,84.1,O
OP|05,1610,152,,9.4,,69.4,82.9,O
OP|06,1370,109,,8.0,,54.3,75.2,X
OP|07,1362,116,,8.5,,59.8,79.2,X
OP|08,1194,93,,7.8,,82.3,76.5,X
OP|09,1102,92,,8.3,,99.3,79.4,X
OP|10,971,66,,6.8,,56.9,58.2,X
OP|11,877,61,,7.0,,83.1,73.5,X
OP|12,743,39,,5.2,,53.0,76.5,X
OP|13,622,55,,8.8,,89.1,74.5,X
OP|14,517,33,,6.4,,78.7,67.6,X
OP|15,444,22,,5.0,,38.1,53.2,X
OP|16,293,20,,6.8,,107.0,90.2,O
OP|17,142,9,,6.3,,101.8,91.3,O
OP|18,81,3,,3.7,,47.9,133.9,O
