bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05|-10,79,15,,19.0,,50.7,56.3,X
05|0,93,17,,18.3,,71.2,78.5,X
06|-10,226,33,,14.6,,55.5,54.5,X
06|0,270,53,,19.6,,78.0,90.6,O
06|10,37,8,,21.6,,78.0,98.5,O
07|-10,599,95,,15.9,,66.7,67.1,X
07|0,878,131,,14.9,,69.2,70.8,X
07|10,133,23,,17.3,,83.8,87.5,O
08|-10,1665,232,,13.9,,65.6,74.1,X
08|-20,106,13,,12.3,,115.9,113.0,O
08|0,2278,316,,13.9,,75.3,80.5,O
08|10,384,58,,15.1,,73.9,75.5,X
08|20,30,2,,6.7,,44.5,61.0,X
09|-10,2434,282,,11.6,,89.9,82.4,O
09|-20,166,15,,9.0,,118.4,86.9,O
09|0,3402,452,,13.3,,70.2,75.8,X
09|10,488,68,,13.9,,74.8,81.4,O
09|20,50,9,,18.0,,49.9,54.8,X
10|-10,3318,375,,11.3,,73.3,84.3,O
10|-20,230,20,,8.7,,64.0,76.6,X
10|0,4602,534,,11.6,,75.8,76.8,X
10|10,706,84,,11.9,,73.0,73.6,X
10|20,62,13,,21.0,,183.4,106.7,O
11|-10,3611,391,,10.8,,93.6,85.0,O
11|-20,260,28,,10.8,,87.6,78.1,X
11|0,4770,496,,10.4,,78.5,80.8,O
11|10,760,79,,10.4,,58.8,68.9,X
11|20,70,14,,20.0,,100.3,130.8,O
12|-10,3984,376,,9.4,,80.3,80.3,O
12|-20,280,17,,6.1,,55.5,84.4,O
12|0,5521,583,,10.6,,80.0,76.5,X
12|10,795,87,,10.9,,103.1,83.2,O
12|20,68,1,,1.5,,26.6,78.9,X
13|-10,4093,405,,9.9,,79.6,77.4,X
13|-20,327,20,,6.1,,56.6,64.5,X
13|0,5769,517,,9.0,,79.0,78.1,X
13|10,878,84,,9.6,,86.2,81.4,O
13|20,105,13,,12.4,,89.0,64.5,X
14|-10,4554,394,,8.7,,80.1,78.1,X
14|-20,353,29,,8.2,,79.2,92.9,O
14|0,6615,592,,8.9,,80.8,77.1,X
14|10,1095,97,,8.9,,86.6,75.4,X
14|20,120,9,,7.5,,69.1,81.5,O
15|-10,4034,352,,8.7,,88.0,77.5,X
15|-20,325,24,,7.4,,72.5,78.4,X
15|0,5413,456,,8.4,,70.1,75.1,X
15|10,887,74,,8.3,,91.7,91.6,O
15|20,102,7,,6.9,,128.7,73.7,X
16|-10,15164,1193,,7.9,,79.1,78.6,X
16|-20,1396,72,,5.2,,63.2,87.2,O
16|-30,49,3,,6.1,,50.9,76.1,X
16|0,19744,1679,,8.5,,82.1,79.5,X
16|10,3379,264,,7.8,,83.2,81.7,O
16|20,362,30,,8.3,,152.1,100.7,O
16|30,32,3,,9.4,,35.1,50.0,X
17|-10,1947,159,,8.2,,75.0,82.7,O
17|-20,153,13,,8.5,,103.0,60.6,X
17|0,2707,218,,8.1,,68.3,80.3,O
17|10,465,34,,7.3,,54.5,71.8,X
17|20,43,4,,9.3,,40.6,35.8,X
18|-10,9705,729,,7.5,,75.2,74.5,X
18|-20,796,46,,5.8,,85.8,89.0,O
18|-30,42,2,,4.8,,77.4,100.1,O
18|0,12831,1016,,7.9,,78.6,77.9,X
18|10,2170,168,,7.7,,92.2,89.3,O
18|20,240,25,,10.4,,80.8,94.9,O
18|30,32,3,,9.4,,342.5,204.1,O
