bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05|3,39,3,,7.7,,23.4,67.3,X
06|2,37,9,,24.3,,56.7,73.3,X
06|3,132,16,,12.1,,35.0,73.6,X
07|2,95,24,,25.3,,61.9,99.4,O
07|3,244,25,,10.2,,44.4,50.4,X
08|2,227,51,,22.5,,70.7,80.4,O
08|3,581,54,,9.3,,62.4,72.7,X
09|2,378,84,,22.2,,102.3,87.3,O
09|3,1014,84,,8.3,,67.7,72.2,X
10|1,43,16,,37.2,,60.2,107.3,O
10|2,537,105,,19.6,,76.5,76.9,X
10|3,1311,98,,7.5,,83.1,79.7,X
10|4,41,2,,4.9,,56.9,31.7,X
11|1,42,14,,33.3,,86.7,82.4,O
11|2,604,115,,19.0,,109.8,84.6,O
11|3,1646,114,,6.9,,71.6,75.9,X
11|4,32,1,,3.1,,100.7,47.4,X
12|1,43,14,,32.6,,99.6,111.6,O
12|2,749,123,,16.4,,69.8,82.0,O
12|3,1908,129,,6.8,,74.2,70.5,X
12|4,47,3,,6.4,,55.8,120.0,O
13|1,50,22,,44.0,,91.9,93.5,O
13|2,867,128,,14.8,,89.2,83.8,O
13|3,2278,144,,6.3,,80.8,76.7,X
14|1,37,11,,29.7,,66.1,101.3,O
14|2,1377,207,,15.0,,100.8,83.0,O
14|3,3831,233,,6.1,,75.4,74.8,X
14|4,41,0,,0.0,,0.0,44.9,X
15|1,37,11,,29.7,,87.9,89.2,O
15|2,752,106,,14.1,,88.1,77.3,X
15|3,2212,138,,6.2,,84.0,78.8,X
15|4,72,0,,0.0,,0.0,82.6,O
16|1,80,16,,20.0,,72.3,73.6,X
16|2,4324,538,,12.4,,88.7,80.1,O
16|3,10902,642,,5.9,,74.3,78.6,X
16|4,201,4,,2.0,,56.3,58.7,X
17|1,30,6,,20.0,,97.9,60.6,X
17|2,205,40,,19.5,,86.5,81.1,O
17|3,764,33,,4.3,,71.6,68.5,X
18|1,115,29,,25.2,,102.9,85.4,O
18|2,1177,158,,13.4,,80.6,73.9,X
18|3,4255,238,,5.6,,87.4,81.8,O
18|4,151,2,,1.3,,20.6,73.2,X
