bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
08|2,51,9,,17.6,,34.3,63.3,X
09|2,91,9,,9.9,,58.8,96.4,O
09|3,65,6,,9.2,,35.2,108.1,O
09|5,38,3,,7.9,,36.4,50.0,X
10|2,127,15,,11.8,,77.2,75.4,X
10|3,125,13,,10.4,,110.5,74.8,X
10|5,35,5,,14.3,,40.6,56.0,X
11|2,174,19,,10.9,,81.1,67.0,X
11|3,108,22,,20.4,,179.5,77.7,X
11|5,72,3,,4.2,,28.2,65.9,X
12|2,229,20,,8.7,,42.7,77.7,X
12|3,126,20,,15.9,,134.8,73.2,X
12|5,103,11,,10.7,,65.3,66.6,X
13|2,308,33,,10.7,,78.6,87.5,O
13|3,129,13,,10.1,,61.1,80.8,O
13|5,151,11,,7.3,,40.7,70.8,X
14|2,507,58,,11.4,,87.2,76.4,X
14|3,232,21,,9.1,,73.8,81.9,O
14|5,243,20,,8.2,,70.3,56.4,X
15|2,213,25,,11.7,,81.8,75.3,X
15|3,119,9,,7.6,,38.8,59.3,X
15|5,129,14,,10.9,,162.6,83.6,O
16|1,44,5,,11.4,,26.2,86.7,O
16|2,898,79,,8.8,,109.7,89.4,O
16|3,258,26,,10.1,,68.5,77.0,X
16|5,1042,93,,8.9,,68.2,79.7,X
17|2,88,4,,4.5,,79.8,65.7,X
17|5,84,5,,6.0,,46.3,49.9,X
18|2,372,37,,9.9,,82.8,81.3,O
18|5,348,22,,6.3,,41.4,72.2,X
