bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05|1,48,12,,25.0,,77.5,59.0,X
05|2,49,15,,30.6,,119.8,97.2,O
05|3,49,10,,20.4,,55.9,76.0,X
05|4,49,7,,14.3,,42.1,67.2,X
06|1,111,11,,9.9,,84.8,68.8,X
06|2,114,23,,20.2,,48.0,88.7,O
06|3,116,23,,19.8,,50.2,63.5,X
06|4,117,25,,21.4,,64.0,71.4,X
07|1,299,36,,12.0,,84.7,67.8,X
07|2,297,43,,14.5,,68.5,68.7,X
07|3,294,55,,18.7,,83.7,65.0,X
07|4,299,43,,14.4,,47.3,65.3,X
08|1,698,77,,11.0,,76.7,70.6,X
08|2,682,102,,15.0,,72.7,90.2,O
08|3,671,99,,14.8,,60.5,76.7,X
08|4,661,104,,15.7,,76.0,75.5,X
08|5,663,84,,12.7,,65.5,79.9,X
09|1,925,78,,8.4,,61.2,73.4,X
09|2,910,118,,13.0,,80.8,83.9,O
09|3,901,137,,15.2,,83.0,73.6,X
09|4,872,117,,13.4,,72.1,83.0,O
09|5,842,124,,14.7,,94.5,79.0,X
09|6,854,102,,11.9,,66.1,82.0,O
10|1,1130,116,,10.3,,85.2,71.8,X
10|2,1112,146,,13.1,,76.7,78.6,X
10|3,1088,136,,12.5,,84.5,85.5,O
10|4,1084,124,,11.4,,79.7,83.2,O
10|5,1057,123,,11.6,,67.0,79.9,X
10|6,1038,130,,12.5,,72.5,77.8,X
10|7,1003,116,,11.6,,73.9,85.9,O
11|1,1158,111,,9.6,,90.5,81.7,O
11|2,1134,125,,11.0,,76.5,92.6,O
11|3,1128,105,,9.3,,61.7,75.9,X
11|4,1108,139,,12.5,,109.9,83.4,O
11|5,1096,138,,12.6,,79.5,81.4,O
11|6,1046,102,,9.8,,64.0,69.3,X
11|7,1029,116,,11.3,,86.8,86.2,O
11|8,966,113,,11.7,,73.4,84.6,O
12|1,1210,92,,7.6,,83.1,78.0,X
12|2,1197,144,,12.0,,88.5,84.9,O
12|3,1176,118,,10.0,,63.6,74.7,X
12|4,1149,123,,10.7,,82.3,84.2,O
12|5,1128,126,,11.2,,84.8,83.3,O
12|6,1108,118,,10.6,,78.1,73.7,X
12|7,1043,112,,10.7,,67.2,82.2,O
12|8,1031,107,,10.4,,110.2,77.5,X
13|1,1177,95,,8.1,,82.3,80.1,O
13|2,1159,115,,9.9,,64.2,75.1,X
13|3,1135,116,,10.2,,94.5,77.2,X
13|4,1124,144,,12.8,,104.6,85.1,O
13|5,1080,119,,11.0,,68.1,75.3,X
13|6,1086,106,,9.8,,78.6,85.6,O
13|7,1004,95,,9.5,,75.1,83.2,O
13|8,1013,91,,9.0,,70.5,74.0,X
14|1,1243,104,,8.4,,73.8,72.8,X
14|2,1221,120,,9.8,,81.1,72.6,X
14|3,1223,119,,9.7,,84.1,78.5,X
14|4,1183,127,,10.7,,79.3,86.5,O
14|5,1172,115,,9.8,,78.1,76.0,X
14|6,1160,119,,10.3,,74.2,88.3,O
14|7,1110,106,,9.5,,71.9,77.6,X
14|8,1054,88,,8.3,,66.7,78.8,X
15|1,1006,104,,10.3,,87.3,73.7,X
15|2,988,104,,10.5,,74.1,77.5,X
15|3,982,100,,10.2,,77.9,82.4,O
15|4,963,98,,10.2,,82.1,84.4,O
15|5,946,87,,9.2,,71.4,82.9,O
15|6,913,78,,8.5,,61.3,69.7,X
15|7,897,72,,8.0,,76.3,74.5,X
15|8,857,66,,7.7,,77.9,87.2,O
16|1,3571,281,,7.9,,81.4,79.3,X
16|2,3520,326,,9.3,,76.3,74.2,X
16|3,3452,324,,9.4,,78.1,80.3,O
16|4,3417,358,,10.5,,98.5,82.6,O
16|5,3336,313,,9.4,,80.4,79.4,X
16|6,3236,323,,10.0,,96.0,85.2,O
16|7,3151,256,,8.1,,73.2,79.0,X
16|8,3034,258,,8.5,,71.5,79.7,X
17|1,497,43,,8.7,,64.0,71.8,X
17|2,491,59,,12.0,,107.7,86.6,O
17|3,476,37,,7.8,,46.8,61.4,X
17|4,475,50,,10.5,,99.8,90.8,O
17|5,443,48,,10.8,,91.8,85.6,O
17|6,458,33,,7.2,,64.0,71.4,X
17|7,434,33,,7.6,,41.4,71.0,X
17|8,412,40,,9.7,,43.7,74.8,X
18|1,2212,166,,7.5,,64.0,73.6,X
18|2,2183,203,,9.3,,75.5,80.2,O
18|3,2147,207,,9.6,,74.3,79.5,X
18|4,2115,229,,10.8,,85.2,81.2,O
18|5,2057,191,,9.3,,74.5,78.2,X
18|6,2003,189,,9.4,,76.9,72.8,X
18|7,1961,177,,9.0,,90.1,82.6,O
18|8,1819,151,,8.3,,81.4,75.9,X
