bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
2|1,225,95,,42.2,,103.4,97.7,O
2|2,2368,460,,19.4,,94.3,87.1,O
2|3,6749,420,,6.2,,78.3,72.0,X
2|4,284,5,,1.8,,42.1,80.6,O
3|1,207,53,,25.6,,91.7,84.5,O
3|2,4673,730,,15.6,,89.9,80.3,O
3|3,11854,834,,7.0,,76.4,76.6,X
3|4,240,5,,2.1,,49.7,54.5,X
4|1,54,10,,18.5,,35.7,63.6,X
4|2,2383,314,,13.2,,78.8,76.1,X
4|3,5825,365,,6.3,,68.7,78.8,X
4|4,65,2,,3.1,,31.7,36.3,X
5|1,31,5,,16.1,,31.8,103.5,O
5|2,1310,148,,11.3,,91.4,83.1,O
5|3,4023,220,,5.5,,81.3,79.5,X
5|4,38,1,,2.6,,22.1,84.0,O
6|2,429,34,,7.9,,83.7,69.4,X
6|3,1781,90,,5.1,,90.7,88.8,O
7|2,147,10,,6.8,,112.1,78.7,X
7|3,665,15,,2.3,,52.4,63.2,X
8|2,34,1,,2.9,,34.4,32.6,X
8|3,173,6,,3.5,,128.8,122.8,O
9|3,40,1,,2.5,,25.5,20.8,X
