bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
2|A,2936,477,,16.2,,85.0,78.5,X
2|B,1638,167,,10.2,,89.2,84.4,O
2|C,1499,110,,7.3,,84.9,72.5,X
2|D,1527,102,,6.7,,79.3,69.8,X
2|E,482,15,,3.1,,52.2,53.2,X
3|A,6218,739,,11.9,,78.0,75.8,X
3|B,3510,305,,8.7,,79.4,76.6,X
3|C,3104,259,,8.3,,92.2,84.6,O
3|D,2478,187,,7.5,,73.8,73.2,X
3|E,713,54,,7.6,,83.6,93.2,O
4|A,3383,335,,9.9,,82.7,78.4,X
4|B,1666,141,,8.5,,67.7,78.0,X
4|C,1336,84,,6.3,,55.9,75.5,X
4|D,1187,78,,6.6,,50.0,78.8,X
4|E,315,23,,7.3,,139.8,93.6,O
5|A,2082,168,,8.1,,90.6,75.9,X
5|B,1109,69,,6.2,,70.7,94.9,O
5|C,881,54,,6.1,,90.4,84.2,O
5|D,749,49,,6.5,,58.6,68.1,X
5|E,311,14,,4.5,,49.1,83.1,O
6|A,756,45,,6.0,,70.2,76.7,X
6|B,476,28,,5.9,,67.8,80.9,O
6|C,387,22,,5.7,,83.9,99.6,O
6|D,366,24,,6.6,,198.5,91.4,O
6|E,109,3,,2.8,,23.9,123.2,O
7|A,298,11,,3.7,,70.4,59.3,X
7|B,184,6,,3.3,,74.1,87.2,O
7|C,118,5,,4.2,,41.6,49.9,X
7|D,108,2,,1.9,,22.9,80.1,O
7|E,47,0,,0.0,,0.0,52.0,X
8|A,72,3,,4.2,,133.5,187.7,O
8|B,46,1,,2.2,,24.1,18.2,X
8|C,40,3,,7.5,,341.6,107.6,O
