bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
2|0,34431,3514,,10.2,,78.3,77.8,X
2|1,3277,382,,11.7,,95.2,83.0,O
2|9,882,101,,11.5,,78.3,75.4,X
3|0,36200,3141,,8.7,,79.1,78.5,X
3|1,20129,2189,,10.9,,79.8,77.5,X
3|2,3928,638,,16.2,,77.2,79.9,X
3|3,1017,124,,12.2,,58.6,68.4,X
3|9,2735,324,,11.8,,84.0,82.4,O
4|0,660,41,,6.2,,77.6,91.6,O
4|1,14844,1240,,8.4,,74.3,79.3,X
4|2,8981,981,,10.9,,79.8,80.1,O
4|3,4147,499,,12.0,,89.5,82.9,O
4|9,3107,333,,10.7,,71.7,77.5,X
5|0,112,7,,6.2,,55.4,65.8,X
5|1,6666,438,,6.6,,85.7,79.8,X
5|2,6788,468,,6.9,,75.4,77.8,X
5|3,4159,313,,7.5,,92.2,83.0,O
5|9,4123,363,,8.8,,82.3,79.1,X
6|1,1807,73,,4.0,,65.1,72.5,X
6|2,3029,137,,4.5,,74.8,67.9,X
6|3,2275,115,,5.1,,86.9,81.2,O
6|9,2879,161,,5.6,,69.7,81.3,O
7|1,394,17,,4.3,,110.8,93.3,O
7|2,890,26,,2.9,,74.9,70.9,X
7|3,803,26,,3.2,,112.3,63.0,X
7|9,1438,56,,3.9,,79.6,67.8,X
8|1,54,0,,0.0,,0.0,90.5,O
8|2,244,4,,1.6,,16.9,94.0,O
8|3,211,4,,1.9,,78.4,60.4,X
8|9,488,19,,3.9,,113.2,75.7,X
9|2,47,3,,6.4,,136.8,72.8,X
9|3,65,1,,1.5,,28.3,56.0,X
9|9,99,2,,2.0,,10.9,34.4,X
