bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
2|A,2497,246,,9.9,,86.5,79.2,X
2|B,2467,168,,6.8,,88.6,72.7,X
2|C,1146,55,,4.8,,62.0,67.3,X
2|D,553,23,,4.2,,74.9,63.1,X
2|S,2940,486,,16.5,,81.9,83.0,O
3|A,4980,457,,9.2,,86.6,75.3,X
3|B,3958,284,,7.2,,78.2,74.4,X
3|C,2244,106,,4.7,,54.2,77.6,X
3|D,853,34,,4.0,,81.8,70.0,X
3|S,4907,741,,15.1,,85.9,83.1,O
4|A,2586,211,,8.2,,72.0,76.4,X
4|B,1897,127,,6.7,,71.9,75.7,X
4|C,1010,42,,4.2,,65.2,81.6,O
4|D,322,10,,3.1,,23.8,49.2,X
4|S,2477,299,,12.1,,77.6,82.8,O
5|A,1610,106,,6.6,,79.7,71.0,X
5|B,1363,72,,5.3,,105.8,88.6,O
5|C,713,34,,4.8,,70.2,100.3,O
5|D,245,7,,2.9,,79.8,52.8,X
5|S,1446,154,,10.7,,75.2,80.7,O
6|A,658,37,,5.6,,86.0,97.3,O
6|B,579,22,,3.8,,72.2,87.2,O
6|C,309,14,,4.5,,155.1,97.0,O
6|D,104,3,,2.9,,24.2,78.4,X
6|S,571,48,,8.4,,76.2,59.4,X
7|A,222,8,,3.6,,94.6,88.5,O
7|B,213,4,,1.9,,55.9,64.4,X
7|C,137,0,,0.0,,0.0,56.1,X
7|D,44,2,,4.5,,52.7,36.7,X
7|S,203,11,,5.4,,77.9,55.1,X
8|A,55,1,,1.8,,9.1,141.6,O
8|B,72,3,,4.2,,203.4,142.0,O
8|C,32,1,,3.1,,157.4,53.5,X
8|S,45,2,,4.4,,87.4,76.7,X
