bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
2|01,1818,144,,7.9,,62.4,70.6,X
2|03,4365,457,,10.5,,81.5,74.5,X
2|04,1977,223,,11.3,,96.4,82.7,O
2|05,797,84,,10.5,,74.7,79.8,X
2|06,86,11,,12.8,,214.2,86.7,O
2|07,555,55,,9.9,,85.6,80.7,O
3|01,3013,279,,9.3,,79.7,77.6,X
3|02,41,0,,0.0,,0.0,125.8,O
3|03,7613,751,,9.9,,84.4,78.9,X
3|04,3771,351,,9.3,,75.5,74.4,X
3|05,1317,122,,9.3,,76.2,74.3,X
3|06,205,13,,6.3,,79.6,93.3,O
3|07,998,104,,10.4,,72.6,77.2,X
4|01,1397,102,,7.3,,68.1,67.7,X
4|03,3782,338,,8.9,,73.6,79.7,X
4|04,1899,158,,8.3,,69.1,74.0,X
4|05,634,55,,8.7,,86.2,82.9,O
4|06,91,5,,5.5,,26.7,49.2,X
4|07,514,32,,6.2,,59.0,98.8,O
5|01,912,62,,6.8,,105.1,84.4,O
5|03,2448,183,,7.5,,87.3,84.8,O
5|04,1217,81,,6.7,,73.7,72.2,X
5|05,437,29,,6.6,,86.7,78.8,X
5|06,40,1,,2.5,,12.5,103.4,O
5|07,344,18,,5.2,,39.2,68.3,X
6|01,387,28,,7.2,,80.9,92.3,O
6|03,1061,56,,5.3,,85.9,79.8,X
6|04,466,15,,3.2,,57.8,75.6,X
6|05,175,14,,8.0,,150.9,79.4,X
6|07,125,11,,8.8,,146.9,143.1,O
7|01,149,3,,2.0,,88.7,87.8,O
7|03,377,10,,2.7,,33.4,57.3,X
7|04,175,9,,5.1,,84.8,72.2,X
7|05,65,1,,1.5,,153.5,71.2,X
7|07,52,2,,3.8,,38.3,63.6,X
8|01,41,0,,0.0,,0.0,48.9,X
8|03,104,4,,3.8,,144.6,144.7,O
8|04,49,3,,6.1,,181.9,117.9,O
