bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-10|360,32,0,,0.0,,0.0,75.5,X
-10|380,286,10,,3.5,,80.8,64.9,X
-10|400,1957,118,,6.0,,92.0,71.7,X
-10|420,6307,449,,7.1,,71.9,74.6,X
-10|440,11749,951,,8.1,,76.3,77.2,X
-10|460,14817,1373,,9.3,,79.5,80.5,O
-10|480,11723,1233,,10.5,,80.7,80.6,O
-10|500,6167,631,,10.2,,80.2,79.4,X
-10|520,1914,213,,11.1,,92.4,76.4,X
-10|540,391,49,,12.5,,126.1,80.6,O
-10|560,55,3,,5.5,,65.5,69.0,X
-20|400,111,1,,0.9,,9.3,87.5,O
-20|420,375,22,,5.9,,68.2,96.3,O
-20|440,791,42,,5.3,,56.7,74.1,X
-20|460,1086,78,,7.2,,86.9,84.7,O
-20|480,993,78,,7.9,,76.8,96.5,O
-20|500,700,51,,7.3,,77.2,70.8,X
-20|520,278,25,,9.0,,107.7,83.5,O
-20|540,62,3,,4.8,,53.4,71.2,X
-30|440,30,1,,3.3,,19.1,71.1,X
-30|460,37,2,,5.4,,79.8,89.4,O
-30|480,42,3,,7.1,,75.9,16.9,X
-30|500,30,1,,3.3,,27.3,38.3,X
0|360,50,1,,2.0,,14.2,50.6,X
0|380,556,25,,4.5,,36.7,73.8,X
0|400,3359,240,,7.1,,80.4,74.7,X
0|420,9959,809,,8.1,,74.1,76.7,X
0|440,17812,1586,,8.9,,79.8,81.5,O
0|460,20094,1969,,9.8,,77.5,77.0,X
0|480,14369,1493,,10.4,,78.4,78.2,X
0|500,6521,719,,11.0,,84.8,77.8,X
0|520,1794,182,,10.1,,74.1,73.9,X
0|540,318,32,,10.1,,63.2,76.2,X
0|560,39,1,,2.6,,52.0,49.6,X
10|380,133,6,,4.5,,43.0,54.5,X
10|400,708,54,,7.6,,117.1,85.6,O
10|420,1860,146,,7.8,,58.2,77.1,X
10|440,2865,252,,8.8,,80.4,87.2,O
10|460,3182,327,,10.3,,93.1,74.6,X
10|480,2149,209,,9.7,,75.8,79.1,X
10|500,961,101,,10.5,,76.3,91.3,O
10|520,270,33,,12.2,,160.8,96.3,O
10|540,38,4,,10.5,,338.2,200.0,O
20|400,99,13,,13.1,,67.2,94.3,O
20|420,229,25,,10.9,,99.4,78.5,X
20|440,304,25,,8.2,,137.4,110.4,O
20|460,301,30,,10.0,,97.1,94.9,O
20|480,195,26,,13.3,,116.7,75.9,X
20|500,93,9,,9.7,,91.0,78.2,X
30|440,34,3,,8.8,,181.7,121.3,O
