bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-10|1,5738,549,,9.6,,80.8,78.8,X
-10|2,6092,577,,9.5,,80.8,82.5,O
-10|3,6301,563,,8.9,,82.3,79.8,X
-10|4,6652,610,,9.2,,74.2,79.2,X
-10|5,6898,666,,9.7,,80.3,77.6,X
-10|6,7374,640,,8.7,,72.9,76.2,X
-10|7,8189,719,,8.8,,83.4,82.1,O
-10|8,8169,707,,8.7,,80.6,72.7,X
-20|1,467,30,,6.4,,97.0,92.2,O
-20|2,495,34,,6.9,,53.6,83.7,O
-20|3,569,43,,7.6,,67.9,84.9,O
-20|4,529,30,,5.7,,80.6,90.6,O
-20|5,515,33,,6.4,,89.8,68.6,X
-20|6,568,38,,6.7,,77.6,87.1,O
-20|7,622,53,,8.5,,61.5,73.9,X
-20|8,663,40,,6.0,,73.7,88.8,O
-30|2,30,2,,6.7,,36.7,28.2,X
-30|8,32,1,,3.1,,10.5,127.4,O
0|1,7840,805,,10.3,,87.5,79.8,X
0|2,8104,743,,9.2,,82.2,78.5,X
0|3,8636,804,,9.3,,76.7,80.2,O
0|4,8995,884,,9.8,,78.2,78.5,X
0|5,9499,864,,9.1,,69.5,77.4,X
0|6,9714,934,,9.6,,83.7,77.2,X
0|7,10767,986,,9.2,,76.5,79.1,X
0|8,11338,1040,,9.2,,73.3,75.2,X
10|1,1300,122,,9.4,,80.1,86.5,O
10|2,1267,124,,9.8,,89.2,82.6,O
10|3,1428,119,,8.3,,79.4,82.0,O
10|4,1489,153,,10.3,,94.1,88.0,O
10|5,1540,140,,9.1,,80.3,80.7,O
10|6,1592,132,,8.3,,67.4,72.3,X
10|7,1722,175,,10.2,,97.5,77.7,X
10|8,1852,168,,9.1,,78.9,83.4,O
20|1,144,20,,13.9,,145.9,92.6,O
20|2,136,14,,10.3,,65.9,75.0,X
20|3,150,18,,12.0,,52.0,87.5,O
20|4,160,18,,11.2,,218.2,145.1,O
20|5,150,13,,8.7,,149.6,66.7,X
20|6,165,15,,9.1,,95.8,69.3,X
20|7,175,12,,6.9,,35.7,59.8,X
20|8,185,19,,10.3,,79.2,104.2,O
