bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|A,116,34,,29.3,,79.3,95.5,O
1|B,82,19,,23.2,,54.8,71.6,X
1|C,107,30,,28.0,,129.2,94.0,O
1|S,204,79,,38.7,,92.7,91.3,O
2|A,2671,396,,14.8,,90.4,81.4,O
2|B,1806,229,,12.7,,82.7,80.9,O
2|C,2126,254,,11.9,,84.8,73.9,X
2|D,791,76,,9.6,,123.3,84.7,O
2|S,3945,741,,18.8,,85.6,82.2,O
3|A,6804,461,,6.8,,79.6,78.3,X
3|B,5232,276,,5.3,,70.6,72.1,X
3|C,7390,345,,4.7,,68.4,75.4,X
3|D,3799,146,,3.8,,69.4,73.6,X
3|S,7836,720,,9.2,,87.2,81.7,O
4|A,100,0,,0.0,,0.0,67.3,X
4|B,92,1,,1.1,,58.7,102.0,O
4|C,229,4,,1.7,,40.3,74.3,X
4|D,184,7,,3.8,,57.4,34.2,X
4|S,60,1,,1.7,,40.4,76.8,X
