bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|52.0,36,12,,33.3,,134.5,110.1,O
1|54.0,216,72,,33.3,,82.5,89.2,O
1|55.0,123,49,,39.8,,104.5,97.7,O
1|56.0,60,11,,18.3,,74.3,68.9,X
1|57.0,46,8,,17.4,,34.7,74.4,X
2|50.0,72,15,,20.8,,153.6,100.5,O
2|51.0,262,36,,13.7,,105.8,90.1,O
2|52.0,746,123,,16.5,,93.6,82.8,O
2|53.0,869,125,,14.4,,82.3,73.9,X
2|54.0,3230,541,,16.7,,88.8,83.9,O
2|55.0,2598,386,,14.9,,92.6,83.7,O
2|56.0,1589,207,,13.0,,79.1,77.4,X
2|57.0,1526,209,,13.7,,92.4,79.2,X
2|58.0,411,49,,11.9,,74.0,67.3,X
3|49.0,97,6,,6.2,,68.9,70.0,X
3|50.0,240,21,,8.8,,142.2,93.0,O
3|51.0,1114,54,,4.8,,102.2,72.5,X
3|52.0,2198,151,,6.9,,95.0,84.3,O
3|53.0,2369,121,,5.1,,61.6,73.9,X
3|54.0,8722,592,,6.8,,82.2,79.2,X
3|55.0,6705,435,,6.5,,70.8,68.5,X
3|56.0,4336,267,,6.2,,68.6,77.3,X
3|57.0,3942,215,,5.5,,74.4,80.8,O
3|57.5,32,5,,15.6,,239.9,143.2,O
3|58.0,1306,82,,6.3,,74.5,88.1,O
4|51.0,48,0,,0.0,,0.0,105.3,O
4|52.0,57,0,,0.0,,0.0,56.2,X
4|53.0,43,1,,2.3,,47.9,42.1,X
4|54.0,269,5,,1.9,,47.0,65.2,X
4|55.0,114,3,,2.6,,52.5,93.0,O
4|56.0,68,2,,2.9,,68.0,42.8,X
4|57.0,57,2,,3.5,,35.7,14.0,X
