bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|A,111,30,,27.0,,96.0,92.1,O
1|B,101,28,,27.7,,110.4,90.4,O
1|S,288,97,,33.7,,72.8,89.7,O
2|A,3453,476,,13.8,,78.7,79.7,X
2|B,2282,269,,11.8,,93.7,76.6,X
2|C,1209,90,,7.4,,75.6,82.4,O
2|D,348,30,,8.6,,90.2,69.0,X
2|S,4017,830,,20.7,,97.8,84.2,O
3|A,8950,559,,6.2,,84.2,76.2,X
3|B,7954,374,,4.7,,79.5,76.7,X
3|C,4230,153,,3.6,,62.5,78.9,X
3|D,1680,46,,2.7,,63.0,62.0,X
3|S,8202,815,,9.9,,74.9,79.9,X
4|A,113,1,,0.9,,7.6,64.9,X
4|B,227,9,,4.0,,91.4,83.1,O
4|C,138,1,,0.7,,11.4,65.9,X
4|D,97,2,,2.1,,72.1,51.9,X
4|S,90,0,,0.0,,0.0,49.7,X
