bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|01,109,33,,30.3,,84.7,85.2,O
1|03,225,76,,33.8,,94.9,94.7,O
1|04,107,34,,31.8,,103.9,84.7,O
1|05,54,13,,24.1,,57.5,93.0,O
2|01,1884,257,,13.6,,84.6,79.8,X
2|03,5200,803,,15.4,,91.1,81.4,O
2|04,2521,381,,15.1,,83.9,80.1,O
2|05,916,129,,14.1,,89.7,76.2,X
2|06,131,15,,11.5,,50.7,84.9,O
2|07,671,109,,16.2,,102.7,85.3,O
3|01,5579,323,,5.8,,72.9,74.4,X
3|02,56,3,,5.4,,56.4,174.4,O
3|03,14092,917,,6.5,,78.6,77.7,X
3|04,6794,423,,6.2,,76.4,74.4,X
3|05,2415,162,,6.7,,82.9,78.6,X
3|06,313,16,,5.1,,97.1,81.5,O
3|07,1845,105,,5.7,,60.9,82.4,O
4|01,150,5,,3.3,,99.4,55.4,X
4|03,265,4,,1.5,,16.4,64.6,X
4|04,143,2,,1.4,,24.2,62.7,X
4|05,55,1,,1.8,,33.6,23.9,X
4|07,46,1,,2.2,,72.4,158.3,O
