bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|千歳,634,195,,30.8,,99.1,91.3,O
1|安平,1825,589,,32.3,,82.5,88.1,O
1|平取,68,14,,20.6,,55.6,80.7,O
1|愛,55,25,,45.5,,133.2,99.0,O
1|新ひだか,673,152,,22.6,,82.0,85.8,O
1|新冠,506,121,,23.9,,76.8,92.4,O
1|日高,613,148,,24.1,,90.4,95.4,O
1|洞爺湖,57,16,,28.1,,76.4,84.2,O
1|浦河,577,118,,20.5,,73.3,82.6,O
1|白老,182,60,,33.0,,97.0,90.8,O
1|米,109,27,,24.8,,63.4,92.0,O
1|英,34,8,,23.5,,66.2,89.5,O
2|むかわ,215,20,,9.3,,42.7,65.5,X
2|仏,46,9,,19.6,,103.2,74.1,X
2|千歳,3982,645,,16.2,,85.3,81.4,O
2|安平,9230,1851,,20.1,,83.0,79.3,X
2|平取,500,79,,15.8,,115.7,87.0,O
2|愛,305,63,,20.7,,112.8,94.4,O
2|新ひだか,5896,821,,13.9,,84.4,82.2,O
2|新冠,4359,622,,14.3,,88.4,84.8,O
2|日高,4499,663,,14.7,,86.0,82.0,O
2|栃木,49,4,,8.2,,18.2,50.1,X
2|様似,203,17,,8.4,,44.9,59.0,X
2|洞爺湖,382,56,,14.7,,64.8,71.5,X
2|浦河,4860,668,,13.7,,83.5,80.0,O
2|熊本,32,6,,18.8,,125.8,67.6,X
2|登別,56,8,,14.3,,84.7,54.1,X
2|白老,1357,219,,16.1,,80.5,84.9,O
2|米,635,121,,19.1,,98.0,87.5,O
2|英,266,50,,18.8,,88.5,69.6,X
2|豪,90,17,,18.9,,69.9,73.1,X
2|青森,98,12,,12.2,,76.4,84.9,O
3|えりも,119,3,,2.5,,30.5,77.2,X
3|むかわ,930,44,,4.7,,83.3,83.6,O
3|仏,131,9,,6.9,,53.4,41.2,X
3|伊達,33,1,,3.0,,27.8,92.1,O
3|千歳,12539,895,,7.1,,82.3,80.3,O
3|厚真,40,3,,7.5,,83.5,58.7,X
3|安平,22761,2028,,8.9,,70.7,75.5,X
3|宮崎,51,1,,2.0,,0.9,72.0,X
3|平取,2083,112,,5.4,,66.3,73.6,X
3|愛,828,62,,7.5,,77.3,81.3,O
3|新ひだか,23214,1318,,5.7,,78.8,74.9,X
3|新冠,18266,1064,,5.8,,85.4,80.9,O
3|日高,16517,966,,5.8,,76.6,77.5,X
3|栃木,209,20,,9.6,,151.8,93.4,O
3|森,39,1,,2.6,,15.7,52.7,X
3|様似,826,44,,5.3,,88.5,73.3,X
3|洞爺湖,1073,90,,8.4,,74.8,66.7,X
3|浦河,19011,1062,,5.6,,80.8,78.0,X
3|清水,63,1,,1.6,,4.2,88.1,O
3|熊本,226,15,,6.6,,92.7,59.4,X
3|登別,240,14,,5.8,,44.5,77.4,X
3|白老,3929,272,,6.9,,70.9,77.8,X
3|米,1564,106,,6.8,,85.9,77.2,X
3|苫小牧,59,3,,5.1,,121.2,103.2,O
3|英,604,46,,7.6,,62.2,78.8,X
3|豊浦,71,2,,2.8,,11.7,43.8,X
3|豪,151,14,,9.3,,56.1,93.3,O
3|青森,320,12,,3.8,,64.5,88.4,O
3|鹿児島,197,15,,7.6,,80.1,69.2,X
4|むかわ,30,2,,6.7,,43.1,47.2,X
4|千歳,134,4,,3.0,,113.4,85.3,O
4|安平,211,2,,0.9,,12.8,51.7,X
4|平取,40,0,,0.0,,0.0,51.8,X
4|新ひだか,413,4,,1.0,,19.0,62.5,X
4|新冠,406,12,,3.0,,47.5,67.5,X
4|日高,299,6,,2.0,,41.3,45.0,X
4|浦河,333,2,,0.6,,5.9,56.2,X
4|白老,49,1,,2.0,,19.4,31.5,X
