bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|1,565,34,,6.0,,66.9,62.4,X
A|2,374,30,,8.0,,79.0,82.3,O
A|3,598,39,,6.5,,67.2,68.1,X
A|4,76,13,,17.1,,219.6,152.3,O
A|9,65,7,,10.8,,48.7,78.4,X
B|1,436,28,,6.4,,75.7,68.9,X
B|2,250,13,,5.2,,45.0,66.5,X
B|3,522,33,,6.3,,69.9,73.5,X
B|4,81,3,,3.7,,74.3,73.3,X
B|9,64,1,,1.6,,69.0,70.0,X
C|1,517,30,,5.8,,87.9,69.1,X
C|2,328,25,,7.6,,146.4,85.0,O
C|3,639,34,,5.3,,94.0,62.4,X
C|4,84,2,,2.4,,6.3,61.4,X
C|9,86,7,,8.1,,108.1,62.3,X
D|1,202,5,,2.5,,51.4,54.0,X
D|2,266,15,,5.6,,57.8,50.5,X
D|3,514,20,,3.9,,80.6,83.2,O
D|4,37,2,,5.4,,89.9,59.7,X
D|9,69,1,,1.4,,11.6,32.2,X
S|1,526,57,,10.8,,91.9,88.6,O
S|2,232,26,,11.2,,119.4,76.4,X
S|3,493,38,,7.7,,76.5,87.0,O
S|4,83,16,,19.3,,172.2,102.2,O
S|9,63,7,,11.1,,51.0,49.2,X
