bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|A,2906,265,,9.1,,91.4,82.9,O
A|B,2248,159,,7.1,,77.5,75.9,X
A|C,1126,59,,5.2,,60.1,69.8,X
A|D,299,15,,5.0,,105.1,72.4,X
A|S,3085,391,,12.7,,80.5,81.8,O
B|A,2183,157,,7.2,,68.3,75.1,X
B|B,1958,125,,6.4,,75.9,71.7,X
B|C,937,39,,4.2,,52.6,76.0,X
B|D,387,19,,4.9,,76.9,63.0,X
B|S,1731,184,,10.6,,85.1,78.1,X
C|A,2804,200,,7.1,,78.5,75.7,X
C|B,2872,158,,5.5,,73.1,75.1,X
C|C,1593,60,,3.8,,68.4,72.2,X
C|D,669,21,,3.1,,54.8,59.4,X
C|S,1889,193,,10.2,,69.7,81.7,O
D|A,997,50,,5.0,,73.2,71.2,X
D|B,1437,78,,5.4,,110.1,77.5,X
D|C,1174,47,,4.0,,58.1,90.3,O
D|D,624,18,,2.9,,48.4,55.1,X
D|S,535,38,,7.1,,80.0,62.2,X
S|A,3726,394,,10.6,,88.7,76.4,X
S|B,2036,158,,7.8,,87.3,84.0,O
S|C,749,45,,6.0,,83.2,93.6,O
S|D,143,6,,4.2,,96.5,89.0,O
S|S,5354,936,,17.5,,85.4,83.9,O
