bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|A,954,85,,8.9,,78.5,62.7,X
10|B,510,38,,7.5,,58.5,68.0,X
10|C,479,29,,6.1,,103.9,80.1,O
10|D,392,18,,4.6,,65.6,57.0,X
10|E,136,5,,3.7,,41.2,101.5,O
11|A,865,77,,8.9,,99.0,80.6,O
11|B,489,25,,5.1,,43.7,72.1,X
11|C,410,24,,5.9,,159.0,98.9,O
11|D,373,26,,7.0,,127.7,80.6,O
11|E,106,5,,4.7,,57.2,72.4,X
12|A,773,71,,9.2,,101.9,91.5,O
12|B,454,29,,6.4,,47.7,67.6,X
12|C,364,17,,4.7,,57.5,65.6,X
12|D,341,17,,5.0,,92.0,75.3,X
12|E,103,4,,3.9,,67.6,93.0,O
13|A,680,61,,9.0,,65.3,69.0,X
13|B,376,17,,4.5,,47.0,77.4,X
13|C,338,22,,6.5,,65.4,72.8,X
13|D,321,17,,5.3,,119.5,69.8,X
13|E,97,6,,6.2,,274.5,76.7,X
14|A,580,56,,9.7,,92.6,82.8,O
14|B,353,28,,7.9,,72.3,87.0,O
14|C,313,15,,4.8,,74.7,85.5,O
14|D,248,11,,4.4,,37.9,69.1,X
14|E,87,5,,5.7,,17.8,105.6,O
15|A,450,22,,4.9,,70.0,76.1,X
15|B,242,13,,5.4,,59.1,120.3,O
15|C,242,15,,6.2,,105.1,93.9,O
15|D,212,14,,6.6,,139.9,105.6,O
15|E,85,4,,4.7,,46.4,132.0,O
16|A,371,27,,7.3,,76.4,65.1,X
16|B,198,12,,6.1,,96.9,101.3,O
16|C,190,5,,2.6,,46.3,64.5,X
16|D,160,3,,1.9,,25.2,63.8,X
16|E,61,3,,4.9,,104.8,143.5,O
17|A,113,7,,6.2,,73.8,84.0,O
17|B,49,3,,6.1,,253.4,160.9,O
17|C,47,1,,2.1,,57.9,69.9,X
17|D,60,2,,3.3,,3.6,57.4,X
18|A,87,5,,5.7,,42.2,43.7,X
18|B,45,1,,2.2,,15.2,72.9,X
18|D,34,1,,2.9,,80.7,111.3,O
1|A,1405,254,,18.1,,108.2,84.7,O
1|B,734,90,,12.3,,90.3,93.0,O
1|C,589,69,,11.7,,78.3,91.1,O
1|D,503,67,,13.3,,80.8,84.0,O
1|E,146,12,,8.2,,36.9,69.0,X
2|A,1344,217,,16.1,,76.4,76.3,X
2|B,744,89,,12.0,,86.6,74.7,X
2|C,609,70,,11.5,,90.6,75.7,X
2|D,485,37,,7.6,,51.1,65.5,X
2|E,136,9,,6.6,,117.6,92.1,O
3|A,1300,166,,12.8,,83.4,80.7,O
3|B,706,78,,11.0,,109.5,77.0,X
3|C,574,51,,8.9,,66.8,78.3,X
3|D,493,42,,8.5,,56.7,68.6,X
3|E,137,11,,8.0,,100.4,72.6,X
4|A,1255,141,,11.2,,83.3,75.6,X
4|B,655,61,,9.3,,72.6,74.1,X
4|C,596,42,,7.0,,60.2,87.9,O
4|D,474,28,,5.9,,43.4,56.4,X
4|E,154,13,,8.4,,68.8,69.0,X
5|A,1211,129,,10.7,,56.4,67.8,X
5|B,654,56,,8.6,,82.2,86.2,O
5|C,539,50,,9.3,,120.3,83.5,O
5|D,492,40,,8.1,,77.9,82.8,O
5|E,164,9,,5.5,,97.1,85.3,O
6|A,1198,135,,11.3,,59.3,65.9,X
6|B,649,48,,7.4,,87.7,83.6,O
6|C,556,28,,5.0,,61.4,72.3,X
6|D,469,34,,7.2,,86.6,81.9,O
6|E,140,5,,3.6,,41.0,65.8,X
7|A,1088,121,,11.1,,97.0,87.8,O
7|B,585,41,,7.0,,44.5,77.0,X
7|C,522,40,,7.7,,105.7,91.3,O
7|D,520,29,,5.6,,56.5,70.4,X
7|E,142,7,,4.9,,45.0,99.0,O
8|A,1077,115,,10.7,,100.1,87.8,O
8|B,619,49,,7.9,,74.9,78.6,X
8|C,537,29,,5.4,,51.4,70.2,X
8|D,413,27,,6.5,,59.8,81.2,O
8|E,116,6,,5.2,,66.4,56.4,X
9|A,1012,89,,8.8,,55.9,73.0,X
9|B,572,39,,6.8,,106.5,82.8,O
9|C,446,30,,6.7,,94.0,75.4,X
9|D,456,29,,6.4,,96.2,75.6,X
9|E,147,5,,3.4,,27.9,50.5,X
