bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|2,199,18,,9.0,,48.9,70.3,X
10|3,104,9,,8.7,,111.9,55.7,X
10|5,154,17,,11.0,,119.7,92.2,O
11|2,191,16,,8.4,,150.7,90.5,O
11|3,84,10,,11.9,,115.1,88.3,O
11|5,128,5,,3.9,,57.3,56.9,X
12|2,158,10,,6.3,,56.9,62.6,X
12|3,69,9,,13.0,,32.6,43.7,X
12|5,141,11,,7.8,,78.4,82.9,O
13|2,155,9,,5.8,,69.7,72.1,X
13|3,58,5,,8.6,,97.5,69.2,X
13|5,111,7,,6.3,,121.2,55.5,X
14|2,134,10,,7.5,,42.8,45.8,X
14|3,51,4,,7.8,,34.1,104.2,O
14|5,92,8,,8.7,,82.7,79.7,X
15|2,75,6,,8.0,,109.8,75.2,X
15|3,35,1,,2.9,,56.3,27.5,X
15|5,79,5,,6.3,,72.4,110.6,O
16|2,76,4,,5.3,,20.9,86.0,O
16|5,68,3,,4.4,,17.4,84.6,O
1|2,226,35,,15.5,,113.9,85.2,O
1|3,82,8,,9.8,,22.8,81.0,O
1|5,167,23,,13.8,,71.0,92.8,O
2|2,244,33,,13.5,,96.3,92.6,O
2|3,73,8,,11.0,,83.5,76.2,X
2|5,167,15,,9.0,,53.6,63.4,X
3|2,243,28,,11.5,,120.6,86.0,O
3|3,75,14,,18.7,,137.7,85.7,O
3|5,147,15,,10.2,,78.5,70.6,X
4|2,235,23,,9.8,,48.8,71.0,X
4|3,109,14,,12.8,,84.0,115.6,O
4|5,170,15,,8.8,,43.5,70.0,X
5|2,221,36,,16.3,,95.1,85.9,O
5|3,92,13,,14.1,,56.2,71.2,X
5|5,165,11,,6.7,,52.5,78.6,X
6|2,240,26,,10.8,,94.1,92.7,O
6|3,84,7,,8.3,,79.8,65.4,X
6|5,168,16,,9.5,,45.0,53.0,X
7|2,223,21,,9.4,,113.7,70.9,X
7|3,89,12,,13.5,,151.8,91.9,O
7|5,154,12,,7.8,,46.7,64.2,X
8|2,212,17,,8.0,,114.0,112.2,O
8|3,96,9,,9.4,,47.8,52.1,X
8|5,158,14,,8.9,,50.7,69.0,X
9|2,205,14,,6.8,,40.2,84.8,O
9|3,108,12,,11.1,,90.2,110.7,O
9|5,160,11,,6.9,,44.6,76.5,X
