bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
49.0|03,47,7,,14.9,,123.2,69.1,X
50.0|01,53,4,,7.5,,45.1,43.0,X
50.0|03,126,21,,16.7,,289.1,114.3,O
50.0|04,86,7,,8.1,,46.6,79.9,X
51.0|01,259,13,,5.0,,100.7,63.8,X
51.0|03,628,43,,6.8,,101.6,80.2,O
51.0|04,312,22,,7.1,,101.0,75.7,X
51.0|05,114,7,,6.1,,142.8,76.0,X
51.0|07,100,6,,6.0,,45.5,93.8,O
52.0|01,524,46,,8.8,,125.8,88.7,O
52.0|03,1381,130,,9.4,,110.3,86.5,O
52.0|04,692,61,,8.8,,62.6,85.4,O
52.0|05,221,17,,7.7,,41.7,71.6,X
52.0|06,36,2,,5.6,,25.7,37.7,X
52.0|07,171,28,,16.4,,60.3,67.1,X
53.0|01,604,42,,7.0,,55.6,62.0,X
53.0|03,1537,124,,8.1,,67.0,74.1,X
53.0|04,693,51,,7.4,,66.1,77.5,X
53.0|05,241,14,,5.8,,54.1,67.9,X
53.0|06,37,3,,8.1,,232.2,126.8,O
53.0|07,186,19,,10.2,,92.4,77.1,X
54.0|01,2306,192,,8.3,,65.2,75.5,X
54.0|03,5507,556,,10.1,,81.3,81.0,O
54.0|04,2701,271,,10.0,,91.4,81.2,O
54.0|05,1006,108,,10.7,,96.7,83.6,O
54.0|06,160,14,,8.8,,130.3,98.9,O
54.0|07,721,64,,8.9,,93.1,74.8,X
55.0|01,1651,131,,7.9,,78.3,74.6,X
55.0|03,4412,417,,9.5,,80.1,73.7,X
55.0|04,2097,199,,9.5,,66.8,67.7,X
55.0|05,728,63,,8.7,,84.9,76.4,X
55.0|06,70,3,,4.3,,12.5,67.0,X
55.0|07,567,59,,10.4,,84.9,85.7,O
56.0|01,1074,93,,8.7,,74.2,75.1,X
56.0|03,2777,218,,7.9,,70.3,79.0,X
56.0|04,1324,103,,7.8,,69.8,74.9,X
56.0|05,470,48,,10.2,,90.9,79.0,X
56.0|06,59,4,,6.8,,50.2,52.0,X
56.0|07,337,21,,6.2,,58.5,77.4,X
57.0|01,929,67,,7.2,,76.6,71.8,X
57.0|03,2577,227,,8.8,,81.5,84.5,O
57.0|04,1232,86,,7.0,,87.8,76.8,X
57.0|05,447,34,,7.6,,70.8,67.5,X
57.0|06,52,2,,3.8,,56.5,93.4,O
57.0|07,330,18,,5.5,,47.9,89.7,O
58.0|01,280,28,,10.0,,89.2,103.2,O
58.0|03,742,53,,7.1,,67.5,71.9,X
58.0|04,385,33,,8.6,,82.7,73.2,X
58.0|05,157,9,,5.7,,91.3,80.0,O
58.0|07,142,7,,4.9,,45.8,126.9,O
